user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e426645d-75a4-4b2a-b4e4-ba3937d03988,App Installed,system,2026-01-08 18:53:51.010000+05:30,2026-01-08,Thursday,'18:53:51.010000
e426645d-75a4-4b2a-b4e4-ba3937d03988,DeviceInfo,application,2026-01-08 18:53:50.830000+05:30,2026-01-08,Thursday,'18:53:50.830000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Journey Ended,system,2026-01-08 18:54:19.417000+05:30,2026-01-08,Thursday,'18:54:19.417000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Journey Started,system,2026-01-08 18:53:51.040000+05:30,2026-01-08,Thursday,'18:53:51.040000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Journey Started,system,2026-01-08 18:54:19.416000+05:30,2026-01-08,Thursday,'18:54:19.416000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Onboarding_Language,application,2026-01-08 18:53:59.787000+05:30,2026-01-08,Thursday,'18:53:59.787000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Onboarding_Profile Saved,application,2026-01-08 18:54:35.783000+05:30,2026-01-08,Thursday,'18:54:35.783000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Onboarding_get_otp,application,2026-01-08 18:54:19.450000+05:30,2026-01-08,Thursday,'18:54:19.450000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Onboarding_signup_,application,2026-01-08 18:54:23.575000+05:30,2026-01-08,Thursday,'18:54:23.575000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Push Failure,system,2026-01-09 18:54:01.123000+05:30,2026-01-09,Friday,'18:54:01.123000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Push Failure,system,2026-01-10 18:54:17.264000+05:30,2026-01-10,Saturday,'18:54:17.264000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Push Failure,system,2026-01-11 18:54:43.896000+05:30,2026-01-11,Sunday,'18:54:43.896000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Push Failure,system,2026-01-12 18:55:13.700000+05:30,2026-01-12,Monday,'18:55:13.700000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Push Failure,system,2026-01-13 18:55:43.513000+05:30,2026-01-13,Tuesday,'18:55:43.513000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Push Failure,system,2026-01-15 18:56:08.953000+05:30,2026-01-15,Thursday,'18:56:08.953000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Push Failure,system,2026-01-17 18:56:20.316000+05:30,2026-01-17,Saturday,'18:56:20.316000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Push Subscribe Process - Device Registered (Push),system,2026-01-08 18:53:55.240000+05:30,2026-01-08,Thursday,'18:53:55.240000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Session Started,system,2026-01-08 18:53:51.010000+05:30,2026-01-08,Thursday,'18:53:51.010000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Session Started,system,2026-01-08 18:55:50.872000+05:30,2026-01-08,Thursday,'18:55:50.872000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Session Started,system,2026-01-08 18:57:00.680000+05:30,2026-01-08,Thursday,'18:57:00.680000
e426645d-75a4-4b2a-b4e4-ba3937d03988,Session Started,system,2026-01-08 18:57:23.851000+05:30,2026-01-08,Thursday,'18:57:23.851000
e426645d-75a4-4b2a-b4e4-ba3937d03988,User Login,system,2026-01-08 18:54:30.383000+05:30,2026-01-08,Thursday,'18:54:30.383000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_auth_generate-otp,application,2026-01-08 18:54:23.546000+05:30,2026-01-08,Thursday,'18:54:23.546000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_auth_verify-otp,application,2026-01-08 18:54:30.040000+05:30,2026-01-08,Thursday,'18:54:30.040000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_history_recommended-journey,application,2026-01-08 18:56:02.374000+05:30,2026-01-08,Thursday,'18:56:02.374000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_history_recommended-journey,application,2026-01-08 18:57:02.161000+05:30,2026-01-08,Thursday,'18:57:02.161000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_history_recommended-journey,application,2026-01-08 18:57:24.666000+05:30,2026-01-08,Thursday,'18:57:24.666000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_location_elastic-town-search,application,2026-01-08 18:56:25.617000+05:30,2026-01-08,Thursday,'18:56:25.617000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_location_elastic-town-search,application,2026-01-08 18:56:26.909000+05:30,2026-01-08,Thursday,'18:56:26.909000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_location_elastic-town-search,application,2026-01-08 18:56:27.211000+05:30,2026-01-08,Thursday,'18:56:27.211000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_location_elastic-town-search,application,2026-01-08 18:56:27.511000+05:30,2026-01-08,Thursday,'18:56:27.511000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_location_elastic-town-search,application,2026-01-08 18:56:27.743000+05:30,2026-01-08,Thursday,'18:56:27.743000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_location_elastic-town-search,application,2026-01-08 18:56:28.170000+05:30,2026-01-08,Thursday,'18:56:28.170000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_location_elastic-town-search,application,2026-01-08 18:56:28.705000+05:30,2026-01-08,Thursday,'18:56:28.705000
e426645d-75a4-4b2a-b4e4-ba3937d03988,_location_elastic-town-search,application,2026-01-08 18:56:29.009000+05:30,2026-01-08,Thursday,'18:56:29.009000
