user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e5fcaa19-ef32-4abf-9247-8a80f953118d,DeviceInfo,application,2026-01-04 04:39:43.447000+05:30,2026-01-04,Sunday,'04:39:43.447000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Session Started,system,2026-01-04 04:39:43.607000+05:30,2026-01-04,Sunday,'04:39:43.607000
e5fcaa19-ef32-4abf-9247-8a80f953118d,App Installed,system,2026-01-04 04:39:43.608000+05:30,2026-01-04,Sunday,'04:39:43.608000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Journey Started,system,2026-01-04 04:39:43.647000+05:30,2026-01-04,Sunday,'04:39:43.647000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Push Subscribe Process - Device Registered (Push),system,2026-01-04 04:39:44.847000+05:30,2026-01-04,Sunday,'04:39:44.847000
e5fcaa19-ef32-4abf-9247-8a80f953118d,app_start,application,2026-01-04 04:39:44.847000+05:30,2026-01-04,Sunday,'04:39:44.847000
e5fcaa19-ef32-4abf-9247-8a80f953118d,choose_language,application,2026-01-04 04:39:47.120000+05:30,2026-01-04,Sunday,'04:39:47.120000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Onboarding_Language,application,2026-01-04 04:39:47.120000+05:30,2026-01-04,Sunday,'04:39:47.120000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Journey Ended,system,2026-01-04 04:39:47.158000+05:30,2026-01-04,Sunday,'04:39:47.158000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Journey Started,system,2026-01-04 04:39:47.158000+05:30,2026-01-04,Sunday,'04:39:47.158000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Journey Ended,system,2026-01-04 04:39:47.186000+05:30,2026-01-04,Sunday,'04:39:47.186000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Journey Started,system,2026-01-04 04:39:47.186000+05:30,2026-01-04,Sunday,'04:39:47.186000
e5fcaa19-ef32-4abf-9247-8a80f953118d,choose_language,application,2026-01-04 04:39:48.179000+05:30,2026-01-04,Sunday,'04:39:48.179000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Onboarding_Language,application,2026-01-04 04:39:48.186000+05:30,2026-01-04,Sunday,'04:39:48.186000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Onboarding_get_otp,application,2026-01-04 04:39:53.531000+05:30,2026-01-04,Sunday,'04:39:53.531000
e5fcaa19-ef32-4abf-9247-8a80f953118d,generate_otp,application,2026-01-04 04:39:53.531000+05:30,2026-01-04,Sunday,'04:39:53.531000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Journey Ended,system,2026-01-04 04:39:53.542000+05:30,2026-01-04,Sunday,'04:39:53.542000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Journey Started,system,2026-01-04 04:39:53.542000+05:30,2026-01-04,Sunday,'04:39:53.542000
e5fcaa19-ef32-4abf-9247-8a80f953118d,_auth_generate-otp,application,2026-01-04 04:39:56.090000+05:30,2026-01-04,Sunday,'04:39:56.090000
e5fcaa19-ef32-4abf-9247-8a80f953118d,get_otp,application,2026-01-04 04:39:56.101000+05:30,2026-01-04,Sunday,'04:39:56.101000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Onboarding_signup_,application,2026-01-04 04:39:56.121000+05:30,2026-01-04,Sunday,'04:39:56.121000
e5fcaa19-ef32-4abf-9247-8a80f953118d,_auth_verify-otp,application,2026-01-04 04:40:00.805000+05:30,2026-01-04,Sunday,'04:40:00.805000
e5fcaa19-ef32-4abf-9247-8a80f953118d,verify_otp,application,2026-01-04 04:40:00.805000+05:30,2026-01-04,Sunday,'04:40:00.805000
e5fcaa19-ef32-4abf-9247-8a80f953118d,enter_otp,application,2026-01-04 04:40:01.614000+05:30,2026-01-04,Sunday,'04:40:01.614000
e5fcaa19-ef32-4abf-9247-8a80f953118d,User Login,system,2026-01-04 04:40:01.637000+05:30,2026-01-04,Sunday,'04:40:01.637000
e5fcaa19-ef32-4abf-9247-8a80f953118d,login,application,2026-01-04 04:40:01.949000+05:30,2026-01-04,Sunday,'04:40:01.949000
e5fcaa19-ef32-4abf-9247-8a80f953118d,_user,application,2026-01-04 04:40:01.970000+05:30,2026-01-04,Sunday,'04:40:01.970000
e5fcaa19-ef32-4abf-9247-8a80f953118d,Onboarding_Profile Saved,application,2026-01-04 04:40:02.331000+05:30,2026-01-04,Sunday,'04:40:02.331000
e5fcaa19-ef32-4abf-9247-8a80f953118d,_location_from-town,application,2026-01-04 04:40:02.331000+05:30,2026-01-04,Sunday,'04:40:02.331000
e5fcaa19-ef32-4abf-9247-8a80f953118d,_user,application,2026-01-04 04:40:24.645000+05:30,2026-01-04,Sunday,'04:40:24.645000
