user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e68b08f0-e042-4e1d-aa69-0a04b92eec95,DeviceInfo,application,2026-01-15 22:40:20.397000+05:30,2026-01-15,Thursday,'22:40:20.397000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Session Started,system,2026-01-15 22:40:21.493000+05:30,2026-01-15,Thursday,'22:40:21.493000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,App Installed,system,2026-01-15 22:40:24.417000+05:30,2026-01-15,Thursday,'22:40:24.417000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Push Subscribe Process - Device Registered (Push),system,2026-01-15 22:40:24.688000+05:30,2026-01-15,Thursday,'22:40:24.688000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,app_start,application,2026-01-15 22:40:24.800000+05:30,2026-01-15,Thursday,'22:40:24.800000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Started,system,2026-01-15 22:40:25.399000+05:30,2026-01-15,Thursday,'22:40:25.399000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Session Started,system,2026-01-15 22:40:39.706000+05:30,2026-01-15,Thursday,'22:40:39.706000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,choose_language,application,2026-01-15 22:40:41.544000+05:30,2026-01-15,Thursday,'22:40:41.544000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Onboarding_Language,application,2026-01-15 22:40:41.562000+05:30,2026-01-15,Thursday,'22:40:41.562000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,generate_otp,application,2026-01-15 22:40:48.386000+05:30,2026-01-15,Thursday,'22:40:48.386000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Onboarding_get_otp,application,2026-01-15 22:40:48.408000+05:30,2026-01-15,Thursday,'22:40:48.408000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Ended,system,2026-01-15 22:40:49.038000+05:30,2026-01-15,Thursday,'22:40:49.038000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Started,system,2026-01-15 22:40:49.038000+05:30,2026-01-15,Thursday,'22:40:49.038000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_auth_generate-otp,application,2026-01-15 22:40:49.275000+05:30,2026-01-15,Thursday,'22:40:49.275000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,get_otp,application,2026-01-15 22:40:49.290000+05:30,2026-01-15,Thursday,'22:40:49.290000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Onboarding_signup_,application,2026-01-15 22:40:49.326000+05:30,2026-01-15,Thursday,'22:40:49.326000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,verify_otp,application,2026-01-15 22:40:54.191000+05:30,2026-01-15,Thursday,'22:40:54.191000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_auth_verify-otp,application,2026-01-15 22:40:54.480000+05:30,2026-01-15,Thursday,'22:40:54.480000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,enter_otp,application,2026-01-15 22:40:54.608000+05:30,2026-01-15,Thursday,'22:40:54.608000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,User Login,system,2026-01-15 22:40:54.659000+05:30,2026-01-15,Thursday,'22:40:54.659000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,login,application,2026-01-15 22:40:54.800000+05:30,2026-01-15,Thursday,'22:40:54.800000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_user,application,2026-01-15 22:40:54.903000+05:30,2026-01-15,Thursday,'22:40:54.903000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_location_from-town,application,2026-01-15 22:40:55.387000+05:30,2026-01-15,Thursday,'22:40:55.387000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Onboarding_Profile Saved,application,2026-01-15 22:41:00.605000+05:30,2026-01-15,Thursday,'22:41:00.605000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_user,application,2026-01-15 22:41:10.848000+05:30,2026-01-15,Thursday,'22:41:10.848000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_history_recommended-journey,application,2026-01-15 22:41:13.562000+05:30,2026-01-15,Thursday,'22:41:13.562000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_user_device,application,2026-01-15 22:41:13.590000+05:30,2026-01-15,Thursday,'22:41:13.590000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_user,application,2026-01-15 22:41:13.734000+05:30,2026-01-15,Thursday,'22:41:13.734000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_location_from-town,application,2026-01-15 22:41:13.760000+05:30,2026-01-15,Thursday,'22:41:13.760000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_ticket,application,2026-01-15 22:41:14.878000+05:30,2026-01-15,Thursday,'22:41:14.878000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_location_special-town-search,application,2026-01-15 22:41:15.311000+05:30,2026-01-15,Thursday,'22:41:15.311000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_location_elastic-town-search,application,2026-01-15 22:41:15.657000+05:30,2026-01-15,Thursday,'22:41:15.657000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_location_special-town-search,application,2026-01-15 22:41:35.412000+05:30,2026-01-15,Thursday,'22:41:35.412000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_location_elastic-town-search,application,2026-01-15 22:41:35.652000+05:30,2026-01-15,Thursday,'22:41:35.652000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Buslist_date change,application,2026-01-15 22:41:50.751000+05:30,2026-01-15,Thursday,'22:41:50.751000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_user,application,2026-01-15 22:41:51.100000+05:30,2026-01-15,Thursday,'22:41:51.100000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,pageview_bus_list,application,2026-01-15 22:41:51.110000+05:30,2026-01-15,Thursday,'22:41:51.110000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_bus-search_user-bus-search,application,2026-01-15 22:41:51.175000+05:30,2026-01-15,Thursday,'22:41:51.175000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_bus-search_list,application,2026-01-15 22:42:11.335000+05:30,2026-01-15,Thursday,'22:42:11.335000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_rewards_best-V2,application,2026-01-15 22:42:12.202000+05:30,2026-01-15,Thursday,'22:42:12.202000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Buslist_date change,application,2026-01-15 22:42:12.222000+05:30,2026-01-15,Thursday,'22:42:12.222000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,bus_search,application,2026-01-15 22:42:13.175000+05:30,2026-01-15,Thursday,'22:42:13.175000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,bus_result,application,2026-01-15 22:42:13.182000+05:30,2026-01-15,Thursday,'22:42:13.182000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Started,system,2026-01-15 22:42:13.814000+05:30,2026-01-15,Thursday,'22:42:13.814000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Buslist_bus_selection,application,2026-01-15 22:42:27.653000+05:30,2026-01-15,Thursday,'22:42:27.653000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,bus_detail,application,2026-01-15 22:42:27.687000+05:30,2026-01-15,Thursday,'22:42:27.687000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,pageview_seat_selection,application,2026-01-15 22:42:27.906000+05:30,2026-01-15,Thursday,'22:42:27.906000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,SeatSelection_Click On Back,application,2026-01-15 22:42:27.938000+05:30,2026-01-15,Thursday,'22:42:27.938000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_bus-search_v2_layout,application,2026-01-15 22:42:28.105000+05:30,2026-01-15,Thursday,'22:42:28.105000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Ended,system,2026-01-15 22:42:28.667000+05:30,2026-01-15,Thursday,'22:42:28.667000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Started,system,2026-01-15 22:42:28.670000+05:30,2026-01-15,Thursday,'22:42:28.670000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_profile,application,2026-01-15 22:42:29.272000+05:30,2026-01-15,Thursday,'22:42:29.272000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,select_seat,application,2026-01-15 22:42:38.271000+05:30,2026-01-15,Thursday,'22:42:38.271000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,boarding_change_pickup,application,2026-01-15 22:42:59.110000+05:30,2026-01-15,Thursday,'22:42:59.110000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,seats_finalized,application,2026-01-15 22:43:00.654000+05:30,2026-01-15,Thursday,'22:43:00.654000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Ended,system,2026-01-15 22:43:00.737000+05:30,2026-01-15,Thursday,'22:43:00.737000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Boarding_drop_locations,application,2026-01-15 22:43:00.758000+05:30,2026-01-15,Thursday,'22:43:00.758000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,pageview_booking_details,application,2026-01-15 22:43:04.256000+05:30,2026-01-15,Thursday,'22:43:04.256000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,auto_apply_coupon,application,2026-01-15 22:43:04.274000+05:30,2026-01-15,Thursday,'22:43:04.274000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_bus-search_get-distance,application,2026-01-15 22:43:04.791000+05:30,2026-01-15,Thursday,'22:43:04.791000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_profile,application,2026-01-15 22:43:04.816000+05:30,2026-01-15,Thursday,'22:43:04.816000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_ticket,application,2026-01-15 22:43:04.859000+05:30,2026-01-15,Thursday,'22:43:04.859000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_coupon,application,2026-01-15 22:43:05.213000+05:30,2026-01-15,Thursday,'22:43:05.213000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,PaymentPage_DiscountApplied,application,2026-01-15 22:43:05.225000+05:30,2026-01-15,Thursday,'22:43:05.225000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Started,system,2026-01-15 22:43:05.382000+05:30,2026-01-15,Thursday,'22:43:05.382000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,PaymentPage_Click On Back,application,2026-01-15 22:43:13.579000+05:30,2026-01-15,Thursday,'22:43:13.579000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,booking_page_dropoff,application,2026-01-15 22:43:13.602000+05:30,2026-01-15,Thursday,'22:43:13.602000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,booking_dropoff_popup,application,2026-01-15 22:43:15.156000+05:30,2026-01-15,Thursday,'22:43:15.156000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,PaymentPage_Click On Back,application,2026-01-15 22:43:15.902000+05:30,2026-01-15,Thursday,'22:43:15.902000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,booking_page_dropoff,application,2026-01-15 22:43:15.947000+05:30,2026-01-15,Thursday,'22:43:15.947000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,booking_dropoff_popup,application,2026-01-15 22:43:16.913000+05:30,2026-01-15,Thursday,'22:43:16.913000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,PaymentPage_Click On Back,application,2026-01-15 22:43:17.889000+05:30,2026-01-15,Thursday,'22:43:17.889000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,booking_page_dropoff,application,2026-01-15 22:43:17.925000+05:30,2026-01-15,Thursday,'22:43:17.925000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,booking_dropoff_popup,application,2026-01-15 22:43:20.517000+05:30,2026-01-15,Thursday,'22:43:20.517000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,checkout_backpress,application,2026-01-15 22:43:20.572000+05:30,2026-01-15,Thursday,'22:43:20.572000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,backpress,application,2026-01-15 22:43:20.617000+05:30,2026-01-15,Thursday,'22:43:20.617000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,select_seat,application,2026-01-15 22:43:20.634000+05:30,2026-01-15,Thursday,'22:43:20.634000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Buslist_bus_selection,application,2026-01-15 22:43:28.795000+05:30,2026-01-15,Thursday,'22:43:28.795000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,bus_detail,application,2026-01-15 22:43:28.816000+05:30,2026-01-15,Thursday,'22:43:28.816000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,pageview_seat_selection,application,2026-01-15 22:43:28.880000+05:30,2026-01-15,Thursday,'22:43:28.880000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,SeatSelection_Click On Back,application,2026-01-15 22:43:28.906000+05:30,2026-01-15,Thursday,'22:43:28.906000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_bus-search_v2_layout,application,2026-01-15 22:43:29.139000+05:30,2026-01-15,Thursday,'22:43:29.139000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Started,system,2026-01-15 22:43:29.537000+05:30,2026-01-15,Thursday,'22:43:29.537000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_profile,application,2026-01-15 22:43:30.216000+05:30,2026-01-15,Thursday,'22:43:30.216000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,select_seat,application,2026-01-15 22:43:31.939000+05:30,2026-01-15,Thursday,'22:43:31.939000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Ended,system,2026-01-15 22:44:12.607000+05:30,2026-01-15,Thursday,'22:44:12.607000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_location_special-town-search,application,2026-01-15 22:44:35.059000+05:30,2026-01-15,Thursday,'22:44:35.059000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_location_elastic-town-search,application,2026-01-15 22:44:35.337000+05:30,2026-01-15,Thursday,'22:44:35.337000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Buslist_date change,application,2026-01-15 22:44:41.727000+05:30,2026-01-15,Thursday,'22:44:41.727000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_user,application,2026-01-15 22:44:42.185000+05:30,2026-01-15,Thursday,'22:44:42.185000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_bus-search_user-bus-search,application,2026-01-15 22:44:42.203000+05:30,2026-01-15,Thursday,'22:44:42.203000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,pageview_bus_list,application,2026-01-15 22:44:42.217000+05:30,2026-01-15,Thursday,'22:44:42.217000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_bus-search_list,application,2026-01-15 22:44:48.542000+05:30,2026-01-15,Thursday,'22:44:48.542000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,_rewards_best-V2,application,2026-01-15 22:44:49.033000+05:30,2026-01-15,Thursday,'22:44:49.033000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Buslist_date change,application,2026-01-15 22:44:49.051000+05:30,2026-01-15,Thursday,'22:44:49.051000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,bus_search,application,2026-01-15 22:44:49.638000+05:30,2026-01-15,Thursday,'22:44:49.638000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,bus_result,application,2026-01-15 22:44:49.679000+05:30,2026-01-15,Thursday,'22:44:49.679000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Journey Started,system,2026-01-15 22:44:50.273000+05:30,2026-01-15,Thursday,'22:44:50.273000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,Buslist_bus_selection,application,2026-01-15 22:45:02.760000+05:30,2026-01-15,Thursday,'22:45:02.760000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,bus_detail,application,2026-01-15 22:45:02.788000+05:30,2026-01-15,Thursday,'22:45:02.788000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,pageview_seat_selection,application,2026-01-15 22:45:02.848000+05:30,2026-01-15,Thursday,'22:45:02.848000
e68b08f0-e042-4e1d-aa69-0a04b92eec95,SeatSelection_Click On Back,application,2026-01-15 22:45:02.863000+05:30,2026-01-15,Thursday,'22:45:02.863000
