user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e78e4d09-1d63-469c-a3fb-8fe223fd7238,DeviceInfo,application,2026-01-05 09:50:09.619000+05:30,2026-01-05,Monday,'09:50:09.619000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,Session Started,system,2026-01-05 09:50:09.849000+05:30,2026-01-05,Monday,'09:50:09.849000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,App Installed,system,2026-01-05 09:50:09.849000+05:30,2026-01-05,Monday,'09:50:09.849000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,Journey Started,system,2026-01-05 09:50:09.884000+05:30,2026-01-05,Monday,'09:50:09.884000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,app_start,application,2026-01-05 09:50:10.947000+05:30,2026-01-05,Monday,'09:50:10.947000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,Push Subscribe Process - Device Registered (Push),system,2026-01-05 09:50:11.700000+05:30,2026-01-05,Monday,'09:50:11.700000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,choose_language,application,2026-01-05 09:50:12.691000+05:30,2026-01-05,Monday,'09:50:12.691000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,Onboarding_Language,application,2026-01-05 09:50:12.691000+05:30,2026-01-05,Monday,'09:50:12.691000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,Journey Ended,system,2026-01-05 09:50:12.709000+05:30,2026-01-05,Monday,'09:50:12.709000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,Journey Started,system,2026-01-05 09:50:12.709000+05:30,2026-01-05,Monday,'09:50:12.709000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,Journey Ended,system,2026-01-05 09:50:12.720000+05:30,2026-01-05,Monday,'09:50:12.720000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,generate_otp,application,2026-01-05 09:50:22.015000+05:30,2026-01-05,Monday,'09:50:22.015000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,Onboarding_get_otp,application,2026-01-05 09:50:22.043000+05:30,2026-01-05,Monday,'09:50:22.043000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,_auth_generate-otp,application,2026-01-05 09:50:23.006000+05:30,2026-01-05,Monday,'09:50:23.006000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,get_otp,application,2026-01-05 09:50:23.021000+05:30,2026-01-05,Monday,'09:50:23.021000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,Onboarding_signup_,application,2026-01-05 09:50:23.035000+05:30,2026-01-05,Monday,'09:50:23.035000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,_auth_verify-otp,application,2026-01-05 09:50:27.921000+05:30,2026-01-05,Monday,'09:50:27.921000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,verify_otp,application,2026-01-05 09:50:27.921000+05:30,2026-01-05,Monday,'09:50:27.921000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,enter_otp,application,2026-01-05 09:50:28.578000+05:30,2026-01-05,Monday,'09:50:28.578000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,User Login,system,2026-01-05 09:50:28.595000+05:30,2026-01-05,Monday,'09:50:28.595000
e78e4d09-1d63-469c-a3fb-8fe223fd7238,login,application,2026-01-05 09:50:28.978000+05:30,2026-01-05,Monday,'09:50:28.978000
