user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,DeviceInfo,application,2026-01-15 20:59:30.272000+05:30,2026-01-15,Thursday,'20:59:30.272000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Session Started,system,2026-01-15 20:59:30.641000+05:30,2026-01-15,Thursday,'20:59:30.641000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,App Installed,system,2026-01-15 20:59:30.706000+05:30,2026-01-15,Thursday,'20:59:30.706000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,app_start,application,2026-01-15 20:59:31.363000+05:30,2026-01-15,Thursday,'20:59:31.363000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Push Subscribe Process - Device Registered (Push),system,2026-01-15 20:59:32.111000+05:30,2026-01-15,Thursday,'20:59:32.111000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Journey Started,system,2026-01-15 20:59:32.578000+05:30,2026-01-15,Thursday,'20:59:32.578000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,choose_language,application,2026-01-15 20:59:34.992000+05:30,2026-01-15,Thursday,'20:59:34.992000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Onboarding_Language,application,2026-01-15 20:59:35.017000+05:30,2026-01-15,Thursday,'20:59:35.017000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,choose_language,application,2026-01-15 20:59:35.163000+05:30,2026-01-15,Thursday,'20:59:35.163000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Onboarding_Language,application,2026-01-15 20:59:35.179000+05:30,2026-01-15,Thursday,'20:59:35.179000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Journey Started,system,2026-01-15 20:59:38.118000+05:30,2026-01-15,Thursday,'20:59:38.118000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Journey Ended,system,2026-01-15 20:59:38.118000+05:30,2026-01-15,Thursday,'20:59:38.118000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Journey Started,system,2026-01-15 20:59:38.129000+05:30,2026-01-15,Thursday,'20:59:38.129000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Journey Ended,system,2026-01-15 20:59:38.129000+05:30,2026-01-15,Thursday,'20:59:38.129000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,generate_otp,application,2026-01-15 20:59:55.274000+05:30,2026-01-15,Thursday,'20:59:55.274000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Onboarding_get_otp,application,2026-01-15 20:59:55.294000+05:30,2026-01-15,Thursday,'20:59:55.294000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,_auth_generate-otp,application,2026-01-15 20:59:56.885000+05:30,2026-01-15,Thursday,'20:59:56.885000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,get_otp,application,2026-01-15 20:59:56.913000+05:30,2026-01-15,Thursday,'20:59:56.913000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,Onboarding_signup_,application,2026-01-15 20:59:56.933000+05:30,2026-01-15,Thursday,'20:59:56.933000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,verify_otp,application,2026-01-15 20:59:59.291000+05:30,2026-01-15,Thursday,'20:59:59.291000
e7ea40e4-fc91-419e-aaee-a35f7e451bd9,_auth_verify-otp,application,2026-01-15 20:59:59.483000+05:30,2026-01-15,Thursday,'20:59:59.483000
