user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e84279bb-a4a9-436c-a52f-5579f73269da,DeviceInfo,application,2026-01-17 01:58:50.611000+05:30,2026-01-17,Saturday,'01:58:50.611000
e84279bb-a4a9-436c-a52f-5579f73269da,Session Started,system,2026-01-17 01:58:50.911000+05:30,2026-01-17,Saturday,'01:58:50.911000
e84279bb-a4a9-436c-a52f-5579f73269da,App Installed,system,2026-01-17 01:58:50.934000+05:30,2026-01-17,Saturday,'01:58:50.934000
e84279bb-a4a9-436c-a52f-5579f73269da,Journey Started,system,2026-01-17 01:58:51.159000+05:30,2026-01-17,Saturday,'01:58:51.159000
e84279bb-a4a9-436c-a52f-5579f73269da,app_start,application,2026-01-17 01:58:51.417000+05:30,2026-01-17,Saturday,'01:58:51.417000
e84279bb-a4a9-436c-a52f-5579f73269da,Push Subscribe Process - Device Registered (Push),system,2026-01-17 01:58:53.041000+05:30,2026-01-17,Saturday,'01:58:53.041000
e84279bb-a4a9-436c-a52f-5579f73269da,choose_language,application,2026-01-17 01:58:53.466000+05:30,2026-01-17,Saturday,'01:58:53.466000
e84279bb-a4a9-436c-a52f-5579f73269da,Onboarding_Language,application,2026-01-17 01:58:53.469000+05:30,2026-01-17,Saturday,'01:58:53.469000
e84279bb-a4a9-436c-a52f-5579f73269da,generate_otp,application,2026-01-17 01:59:01.364000+05:30,2026-01-17,Saturday,'01:59:01.364000
e84279bb-a4a9-436c-a52f-5579f73269da,Onboarding_get_otp,application,2026-01-17 01:59:01.371000+05:30,2026-01-17,Saturday,'01:59:01.371000
e84279bb-a4a9-436c-a52f-5579f73269da,Journey Started,system,2026-01-17 01:59:01.504000+05:30,2026-01-17,Saturday,'01:59:01.504000
e84279bb-a4a9-436c-a52f-5579f73269da,Journey Ended,system,2026-01-17 01:59:01.504000+05:30,2026-01-17,Saturday,'01:59:01.504000
e84279bb-a4a9-436c-a52f-5579f73269da,_auth_generate-otp,application,2026-01-17 01:59:02.980000+05:30,2026-01-17,Saturday,'01:59:02.980000
e84279bb-a4a9-436c-a52f-5579f73269da,get_otp,application,2026-01-17 01:59:02.986000+05:30,2026-01-17,Saturday,'01:59:02.986000
e84279bb-a4a9-436c-a52f-5579f73269da,Onboarding_signup_,application,2026-01-17 01:59:02.993000+05:30,2026-01-17,Saturday,'01:59:02.993000
e84279bb-a4a9-436c-a52f-5579f73269da,verify_otp,application,2026-01-17 01:59:04.676000+05:30,2026-01-17,Saturday,'01:59:04.676000
e84279bb-a4a9-436c-a52f-5579f73269da,_auth_verify-otp,application,2026-01-17 01:59:04.934000+05:30,2026-01-17,Saturday,'01:59:04.934000
e84279bb-a4a9-436c-a52f-5579f73269da,enter_otp,application,2026-01-17 01:59:04.941000+05:30,2026-01-17,Saturday,'01:59:04.941000
e84279bb-a4a9-436c-a52f-5579f73269da,User Login,system,2026-01-17 01:59:04.968000+05:30,2026-01-17,Saturday,'01:59:04.968000
e84279bb-a4a9-436c-a52f-5579f73269da,login,application,2026-01-17 01:59:05.112000+05:30,2026-01-17,Saturday,'01:59:05.112000
