user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e907659a-88d8-4008-9eea-480b644d8a4d,DeviceInfo,application,2026-01-08 23:30:25.097000+05:30,2026-01-08,Thursday,'23:30:25.097000
e907659a-88d8-4008-9eea-480b644d8a4d,Session Started,system,2026-01-08 23:30:25.543000+05:30,2026-01-08,Thursday,'23:30:25.543000
e907659a-88d8-4008-9eea-480b644d8a4d,App Installed,system,2026-01-08 23:30:25.572000+05:30,2026-01-08,Thursday,'23:30:25.572000
e907659a-88d8-4008-9eea-480b644d8a4d,Journey Started,system,2026-01-08 23:30:26.164000+05:30,2026-01-08,Thursday,'23:30:26.164000
e907659a-88d8-4008-9eea-480b644d8a4d,app_start,application,2026-01-08 23:30:26.497000+05:30,2026-01-08,Thursday,'23:30:26.497000
e907659a-88d8-4008-9eea-480b644d8a4d,Push Subscribe Process - Device Registered (Push),system,2026-01-08 23:30:27.038000+05:30,2026-01-08,Thursday,'23:30:27.038000
e907659a-88d8-4008-9eea-480b644d8a4d,choose_language,application,2026-01-08 23:30:31.288000+05:30,2026-01-08,Thursday,'23:30:31.288000
e907659a-88d8-4008-9eea-480b644d8a4d,Onboarding_Language,application,2026-01-08 23:30:31.295000+05:30,2026-01-08,Thursday,'23:30:31.295000
e907659a-88d8-4008-9eea-480b644d8a4d,generate_otp,application,2026-01-08 23:30:48.687000+05:30,2026-01-08,Thursday,'23:30:48.687000
e907659a-88d8-4008-9eea-480b644d8a4d,Onboarding_get_otp,application,2026-01-08 23:30:48.696000+05:30,2026-01-08,Thursday,'23:30:48.696000
e907659a-88d8-4008-9eea-480b644d8a4d,Journey Ended,system,2026-01-08 23:30:49.728000+05:30,2026-01-08,Thursday,'23:30:49.728000
e907659a-88d8-4008-9eea-480b644d8a4d,Journey Started,system,2026-01-08 23:30:49.728000+05:30,2026-01-08,Thursday,'23:30:49.728000
e907659a-88d8-4008-9eea-480b644d8a4d,_auth_generate-otp,application,2026-01-08 23:30:49.856000+05:30,2026-01-08,Thursday,'23:30:49.856000
e907659a-88d8-4008-9eea-480b644d8a4d,get_otp,application,2026-01-08 23:30:49.873000+05:30,2026-01-08,Thursday,'23:30:49.873000
e907659a-88d8-4008-9eea-480b644d8a4d,Onboarding_signup_,application,2026-01-08 23:30:49.889000+05:30,2026-01-08,Thursday,'23:30:49.889000
e907659a-88d8-4008-9eea-480b644d8a4d,verify_otp,application,2026-01-08 23:30:51.244000+05:30,2026-01-08,Thursday,'23:30:51.244000
e907659a-88d8-4008-9eea-480b644d8a4d,_auth_verify-otp,application,2026-01-08 23:30:51.576000+05:30,2026-01-08,Thursday,'23:30:51.576000
e907659a-88d8-4008-9eea-480b644d8a4d,enter_otp,application,2026-01-08 23:30:51.603000+05:30,2026-01-08,Thursday,'23:30:51.603000
e907659a-88d8-4008-9eea-480b644d8a4d,User Login,system,2026-01-08 23:30:51.608000+05:30,2026-01-08,Thursday,'23:30:51.608000
e907659a-88d8-4008-9eea-480b644d8a4d,login,application,2026-01-08 23:30:51.998000+05:30,2026-01-08,Thursday,'23:30:51.998000
e907659a-88d8-4008-9eea-480b644d8a4d,_user,application,2026-01-08 23:30:52.008000+05:30,2026-01-08,Thursday,'23:30:52.008000
e907659a-88d8-4008-9eea-480b644d8a4d,_location_from-town,application,2026-01-08 23:30:52.463000+05:30,2026-01-08,Thursday,'23:30:52.463000
e907659a-88d8-4008-9eea-480b644d8a4d,Onboarding_Profile Saved,application,2026-01-08 23:30:55.626000+05:30,2026-01-08,Thursday,'23:30:55.626000
e907659a-88d8-4008-9eea-480b644d8a4d,_user,application,2026-01-08 23:31:54.939000+05:30,2026-01-08,Thursday,'23:31:54.939000
e907659a-88d8-4008-9eea-480b644d8a4d,Onboarding_backpressed,application,2026-01-08 23:34:01.175000+05:30,2026-01-08,Thursday,'23:34:01.175000
e907659a-88d8-4008-9eea-480b644d8a4d,Session Started,system,2026-01-09 10:51:47.302000+05:30,2026-01-09,Friday,'10:51:47.302000
e907659a-88d8-4008-9eea-480b644d8a4d,_user_device,application,2026-01-09 10:51:53.218000+05:30,2026-01-09,Friday,'10:51:53.218000
e907659a-88d8-4008-9eea-480b644d8a4d,_history_recommended-journey,application,2026-01-09 10:51:53.241000+05:30,2026-01-09,Friday,'10:51:53.241000
e907659a-88d8-4008-9eea-480b644d8a4d,_user,application,2026-01-09 10:51:53.247000+05:30,2026-01-09,Friday,'10:51:53.247000
e907659a-88d8-4008-9eea-480b644d8a4d,_location_from-town,application,2026-01-09 10:51:53.286000+05:30,2026-01-09,Friday,'10:51:53.286000
e907659a-88d8-4008-9eea-480b644d8a4d,_user,application,2026-01-09 10:51:53.514000+05:30,2026-01-09,Friday,'10:51:53.514000
e907659a-88d8-4008-9eea-480b644d8a4d,_location_special-town-search,application,2026-01-09 10:51:53.593000+05:30,2026-01-09,Friday,'10:51:53.593000
e907659a-88d8-4008-9eea-480b644d8a4d,_ticket,application,2026-01-09 10:51:53.898000+05:30,2026-01-09,Friday,'10:51:53.898000
e907659a-88d8-4008-9eea-480b644d8a4d,Push Failure,system,2026-01-09 23:30:46.839000+05:30,2026-01-09,Friday,'23:30:46.839000
