user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,DeviceInfo,application,2026-01-13 19:32:59.886000+05:30,2026-01-13,Tuesday,'19:32:59.886000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,Session Started,system,2026-01-13 19:33:01.764000+05:30,2026-01-13,Tuesday,'19:33:01.764000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,App Installed,system,2026-01-13 19:33:02.050000+05:30,2026-01-13,Tuesday,'19:33:02.050000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,Journey Started,system,2026-01-13 19:33:03.109000+05:30,2026-01-13,Tuesday,'19:33:03.109000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,app_start,application,2026-01-13 19:33:04.430000+05:30,2026-01-13,Tuesday,'19:33:04.430000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,choose_language,application,2026-01-13 19:33:06.378000+05:30,2026-01-13,Tuesday,'19:33:06.378000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,Onboarding_Language,application,2026-01-13 19:33:06.401000+05:30,2026-01-13,Tuesday,'19:33:06.401000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,generate_otp,application,2026-01-13 19:33:27.037000+05:30,2026-01-13,Tuesday,'19:33:27.037000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,Onboarding_get_otp,application,2026-01-13 19:33:27.092000+05:30,2026-01-13,Tuesday,'19:33:27.092000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,Journey Ended,system,2026-01-13 19:33:27.365000+05:30,2026-01-13,Tuesday,'19:33:27.365000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,Journey Started,system,2026-01-13 19:33:27.365000+05:30,2026-01-13,Tuesday,'19:33:27.365000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_auth_generate-otp,application,2026-01-13 19:33:27.919000+05:30,2026-01-13,Tuesday,'19:33:27.919000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,get_otp,application,2026-01-13 19:33:27.933000+05:30,2026-01-13,Tuesday,'19:33:27.933000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,Onboarding_signup_,application,2026-01-13 19:33:28.002000+05:30,2026-01-13,Tuesday,'19:33:28.002000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,verify_otp,application,2026-01-13 19:33:49.799000+05:30,2026-01-13,Tuesday,'19:33:49.799000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_auth_verify-otp,application,2026-01-13 19:33:50.353000+05:30,2026-01-13,Tuesday,'19:33:50.353000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,enter_otp,application,2026-01-13 19:33:50.477000+05:30,2026-01-13,Tuesday,'19:33:50.477000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,User Login,system,2026-01-13 19:33:50.540000+05:30,2026-01-13,Tuesday,'19:33:50.540000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,login,application,2026-01-13 19:33:50.963000+05:30,2026-01-13,Tuesday,'19:33:50.963000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_user,application,2026-01-13 19:33:51.147000+05:30,2026-01-13,Tuesday,'19:33:51.147000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,Onboarding_Profile Saved,application,2026-01-13 19:33:51.165000+05:30,2026-01-13,Tuesday,'19:33:51.165000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_location_from-town,application,2026-01-13 19:33:51.966000+05:30,2026-01-13,Tuesday,'19:33:51.966000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_user,application,2026-01-13 19:33:55.886000+05:30,2026-01-13,Tuesday,'19:33:55.886000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_location_from-town,application,2026-01-13 19:33:56.357000+05:30,2026-01-13,Tuesday,'19:33:56.357000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_history_recommended-journey,application,2026-01-13 19:33:56.836000+05:30,2026-01-13,Tuesday,'19:33:56.836000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_user,application,2026-01-13 19:33:57.116000+05:30,2026-01-13,Tuesday,'19:33:57.116000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_user_device,application,2026-01-13 19:33:57.125000+05:30,2026-01-13,Tuesday,'19:33:57.125000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_location_special-town-search,application,2026-01-13 19:33:57.207000+05:30,2026-01-13,Tuesday,'19:33:57.207000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_ticket,application,2026-01-13 19:33:57.362000+05:30,2026-01-13,Tuesday,'19:33:57.362000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_location_special-town-search,application,2026-01-13 19:33:58.764000+05:30,2026-01-13,Tuesday,'19:33:58.764000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_location_elastic-town-search,application,2026-01-13 19:33:58.935000+05:30,2026-01-13,Tuesday,'19:33:58.935000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_location_special-town-search,application,2026-01-13 19:34:07.923000+05:30,2026-01-13,Tuesday,'19:34:07.923000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,_location_elastic-town-search,application,2026-01-13 19:34:12.394000+05:30,2026-01-13,Tuesday,'19:34:12.394000
ec5ffbc8-b28f-4b54-b4a4-e18eafb30016,Buslist_date change,application,2026-01-13 19:34:37.987000+05:30,2026-01-13,Tuesday,'19:34:37.987000
