user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ed8860dd-4511-4647-b627-18f2b6e3901e,DeviceInfo,application,2026-01-06 19:30:14.434000+05:30,2026-01-06,Tuesday,'19:30:14.434000
ed8860dd-4511-4647-b627-18f2b6e3901e,Session Started,system,2026-01-06 19:30:19.550000+05:30,2026-01-06,Tuesday,'19:30:19.550000
ed8860dd-4511-4647-b627-18f2b6e3901e,App Installed,system,2026-01-06 19:30:19.639000+05:30,2026-01-06,Tuesday,'19:30:19.639000
ed8860dd-4511-4647-b627-18f2b6e3901e,Push Subscribe Process - Device Registered (Push),system,2026-01-06 19:30:23.061000+05:30,2026-01-06,Tuesday,'19:30:23.061000
ed8860dd-4511-4647-b627-18f2b6e3901e,app_start,application,2026-01-06 19:30:40.774000+05:30,2026-01-06,Tuesday,'19:30:40.774000
ed8860dd-4511-4647-b627-18f2b6e3901e,Journey Started,system,2026-01-06 19:31:04.281000+05:30,2026-01-06,Tuesday,'19:31:04.281000
ed8860dd-4511-4647-b627-18f2b6e3901e,Session Started,system,2026-01-06 19:31:04.699000+05:30,2026-01-06,Tuesday,'19:31:04.699000
ed8860dd-4511-4647-b627-18f2b6e3901e,choose_language,application,2026-01-06 19:31:04.790000+05:30,2026-01-06,Tuesday,'19:31:04.790000
ed8860dd-4511-4647-b627-18f2b6e3901e,Onboarding_Language,application,2026-01-06 19:31:04.807000+05:30,2026-01-06,Tuesday,'19:31:04.807000
ed8860dd-4511-4647-b627-18f2b6e3901e,generate_otp,application,2026-01-06 19:31:37.245000+05:30,2026-01-06,Tuesday,'19:31:37.245000
ed8860dd-4511-4647-b627-18f2b6e3901e,Onboarding_get_otp,application,2026-01-06 19:31:37.262000+05:30,2026-01-06,Tuesday,'19:31:37.262000
ed8860dd-4511-4647-b627-18f2b6e3901e,Journey Started,system,2026-01-06 19:31:42.532000+05:30,2026-01-06,Tuesday,'19:31:42.532000
ed8860dd-4511-4647-b627-18f2b6e3901e,Journey Ended,system,2026-01-06 19:31:42.532000+05:30,2026-01-06,Tuesday,'19:31:42.532000
ed8860dd-4511-4647-b627-18f2b6e3901e,_auth_generate-otp,application,2026-01-06 19:31:48.110000+05:30,2026-01-06,Tuesday,'19:31:48.110000
ed8860dd-4511-4647-b627-18f2b6e3901e,get_otp,application,2026-01-06 19:31:48.137000+05:30,2026-01-06,Tuesday,'19:31:48.137000
ed8860dd-4511-4647-b627-18f2b6e3901e,Onboarding_signup_,application,2026-01-06 19:31:48.214000+05:30,2026-01-06,Tuesday,'19:31:48.214000
ed8860dd-4511-4647-b627-18f2b6e3901e,resend_otp,application,2026-01-06 19:32:11.485000+05:30,2026-01-06,Tuesday,'19:32:11.485000
ed8860dd-4511-4647-b627-18f2b6e3901e,_auth_generate-otp,application,2026-01-06 19:32:15.043000+05:30,2026-01-06,Tuesday,'19:32:15.043000
ed8860dd-4511-4647-b627-18f2b6e3901e,get_otp,application,2026-01-06 19:32:15.058000+05:30,2026-01-06,Tuesday,'19:32:15.058000
ed8860dd-4511-4647-b627-18f2b6e3901e,Onboarding_signup_,application,2026-01-06 19:32:15.071000+05:30,2026-01-06,Tuesday,'19:32:15.071000
ed8860dd-4511-4647-b627-18f2b6e3901e,verify_otp,application,2026-01-06 19:32:22.042000+05:30,2026-01-06,Tuesday,'19:32:22.042000
ed8860dd-4511-4647-b627-18f2b6e3901e,_auth_verify-otp,application,2026-01-06 19:32:22.487000+05:30,2026-01-06,Tuesday,'19:32:22.487000
ed8860dd-4511-4647-b627-18f2b6e3901e,enter_otp,application,2026-01-06 19:32:22.503000+05:30,2026-01-06,Tuesday,'19:32:22.503000
ed8860dd-4511-4647-b627-18f2b6e3901e,User Login,system,2026-01-06 19:32:22.534000+05:30,2026-01-06,Tuesday,'19:32:22.534000
ed8860dd-4511-4647-b627-18f2b6e3901e,login,application,2026-01-06 19:32:24.605000+05:30,2026-01-06,Tuesday,'19:32:24.605000
ed8860dd-4511-4647-b627-18f2b6e3901e,_user,application,2026-01-06 19:32:24.622000+05:30,2026-01-06,Tuesday,'19:32:24.622000
