user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ee16a88e-eab4-413f-8d59-35d2dd2fe939,DeviceInfo,application,2026-01-04 16:12:42.738000+05:30,2026-01-04,Sunday,'16:12:42.738000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Session Started,system,2026-01-04 16:12:45.107000+05:30,2026-01-04,Sunday,'16:12:45.107000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,App Installed,system,2026-01-04 16:12:45.130000+05:30,2026-01-04,Sunday,'16:12:45.130000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Journey Started,system,2026-01-04 16:12:46.877000+05:30,2026-01-04,Sunday,'16:12:46.877000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Push Subscribe Process - Device Registered (Push),system,2026-01-04 16:12:48.424000+05:30,2026-01-04,Sunday,'16:12:48.424000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,app_start,application,2026-01-04 16:12:52.464000+05:30,2026-01-04,Sunday,'16:12:52.464000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,choose_language,application,2026-01-04 16:12:55.562000+05:30,2026-01-04,Sunday,'16:12:55.562000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Onboarding_Language,application,2026-01-04 16:12:55.575000+05:30,2026-01-04,Sunday,'16:12:55.575000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Onboarding_backpressed,application,2026-01-04 16:13:13.901000+05:30,2026-01-04,Sunday,'16:13:13.901000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Journey Ended,system,2026-01-04 16:13:14.392000+05:30,2026-01-04,Sunday,'16:13:14.392000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Journey Started,system,2026-01-04 16:13:14.392000+05:30,2026-01-04,Sunday,'16:13:14.392000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,choose_language,application,2026-01-04 16:13:17.263000+05:30,2026-01-04,Sunday,'16:13:17.263000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Onboarding_Language,application,2026-01-04 16:13:17.291000+05:30,2026-01-04,Sunday,'16:13:17.291000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,choose_language,application,2026-01-04 16:13:18.116000+05:30,2026-01-04,Sunday,'16:13:18.116000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Onboarding_Language,application,2026-01-04 16:13:18.137000+05:30,2026-01-04,Sunday,'16:13:18.137000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Journey Started,system,2026-01-04 16:13:18.404000+05:30,2026-01-04,Sunday,'16:13:18.404000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Journey Ended,system,2026-01-04 16:13:18.404000+05:30,2026-01-04,Sunday,'16:13:18.404000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Journey Started,system,2026-01-04 16:13:18.411000+05:30,2026-01-04,Sunday,'16:13:18.411000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Journey Ended,system,2026-01-04 16:13:18.411000+05:30,2026-01-04,Sunday,'16:13:18.411000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,generate_otp,application,2026-01-04 16:13:24.341000+05:30,2026-01-04,Sunday,'16:13:24.341000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Onboarding_get_otp,application,2026-01-04 16:13:24.372000+05:30,2026-01-04,Sunday,'16:13:24.372000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,_auth_generate-otp,application,2026-01-04 16:13:26.149000+05:30,2026-01-04,Sunday,'16:13:26.149000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,get_otp,application,2026-01-04 16:13:26.187000+05:30,2026-01-04,Sunday,'16:13:26.187000
ee16a88e-eab4-413f-8d59-35d2dd2fe939,Onboarding_signup_,application,2026-01-04 16:13:26.202000+05:30,2026-01-04,Sunday,'16:13:26.202000
