user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
f00ae389-a9d7-480c-a309-a8e114248b79,DeviceInfo,application,2026-01-12 17:21:04.964000+05:30,2026-01-12,Monday,'17:21:04.964000
f00ae389-a9d7-480c-a309-a8e114248b79,Session Started,system,2026-01-12 17:21:05.244000+05:30,2026-01-12,Monday,'17:21:05.244000
f00ae389-a9d7-480c-a309-a8e114248b79,App Installed,system,2026-01-12 17:21:05.312000+05:30,2026-01-12,Monday,'17:21:05.312000
f00ae389-a9d7-480c-a309-a8e114248b79,app_start,application,2026-01-12 17:21:05.937000+05:30,2026-01-12,Monday,'17:21:05.937000
f00ae389-a9d7-480c-a309-a8e114248b79,Push Subscribe Process - Device Registered (Push),system,2026-01-12 17:21:06.612000+05:30,2026-01-12,Monday,'17:21:06.612000
f00ae389-a9d7-480c-a309-a8e114248b79,Journey Started,system,2026-01-12 17:21:06.976000+05:30,2026-01-12,Monday,'17:21:06.976000
f00ae389-a9d7-480c-a309-a8e114248b79,choose_language,application,2026-01-12 17:21:13.804000+05:30,2026-01-12,Monday,'17:21:13.804000
f00ae389-a9d7-480c-a309-a8e114248b79,Onboarding_Language,application,2026-01-12 17:21:13.823000+05:30,2026-01-12,Monday,'17:21:13.823000
f00ae389-a9d7-480c-a309-a8e114248b79,generate_otp,application,2026-01-12 17:21:42.583000+05:30,2026-01-12,Monday,'17:21:42.583000
f00ae389-a9d7-480c-a309-a8e114248b79,Onboarding_get_otp,application,2026-01-12 17:21:42.603000+05:30,2026-01-12,Monday,'17:21:42.603000
f00ae389-a9d7-480c-a309-a8e114248b79,_auth_generate-otp,application,2026-01-12 17:21:43.485000+05:30,2026-01-12,Monday,'17:21:43.485000
f00ae389-a9d7-480c-a309-a8e114248b79,get_otp,application,2026-01-12 17:21:43.505000+05:30,2026-01-12,Monday,'17:21:43.505000
f00ae389-a9d7-480c-a309-a8e114248b79,Onboarding_signup_,application,2026-01-12 17:21:43.524000+05:30,2026-01-12,Monday,'17:21:43.524000
f00ae389-a9d7-480c-a309-a8e114248b79,Journey Started,system,2026-01-12 17:21:43.690000+05:30,2026-01-12,Monday,'17:21:43.690000
f00ae389-a9d7-480c-a309-a8e114248b79,Journey Ended,system,2026-01-12 17:21:43.690000+05:30,2026-01-12,Monday,'17:21:43.690000
f00ae389-a9d7-480c-a309-a8e114248b79,verify_otp,application,2026-01-12 17:21:44.173000+05:30,2026-01-12,Monday,'17:21:44.173000
f00ae389-a9d7-480c-a309-a8e114248b79,_auth_verify-otp,application,2026-01-12 17:21:44.341000+05:30,2026-01-12,Monday,'17:21:44.341000
f00ae389-a9d7-480c-a309-a8e114248b79,enter_otp,application,2026-01-12 17:21:44.362000+05:30,2026-01-12,Monday,'17:21:44.362000
f00ae389-a9d7-480c-a309-a8e114248b79,User Login,system,2026-01-12 17:21:44.400000+05:30,2026-01-12,Monday,'17:21:44.400000
f00ae389-a9d7-480c-a309-a8e114248b79,login,application,2026-01-12 17:21:44.622000+05:30,2026-01-12,Monday,'17:21:44.622000
f00ae389-a9d7-480c-a309-a8e114248b79,_user,application,2026-01-12 17:21:44.651000+05:30,2026-01-12,Monday,'17:21:44.651000
f00ae389-a9d7-480c-a309-a8e114248b79,_location_from-town,application,2026-01-12 17:21:44.964000+05:30,2026-01-12,Monday,'17:21:44.964000
f00ae389-a9d7-480c-a309-a8e114248b79,Onboarding_Profile Saved,application,2026-01-12 17:21:48.271000+05:30,2026-01-12,Monday,'17:21:48.271000
f00ae389-a9d7-480c-a309-a8e114248b79,_user,application,2026-01-12 17:22:04.789000+05:30,2026-01-12,Monday,'17:22:04.789000
f00ae389-a9d7-480c-a309-a8e114248b79,_history_recommended-journey,application,2026-01-12 17:22:06.430000+05:30,2026-01-12,Monday,'17:22:06.430000
f00ae389-a9d7-480c-a309-a8e114248b79,_user_device,application,2026-01-12 17:22:06.455000+05:30,2026-01-12,Monday,'17:22:06.455000
f00ae389-a9d7-480c-a309-a8e114248b79,_user,application,2026-01-12 17:22:06.469000+05:30,2026-01-12,Monday,'17:22:06.469000
f00ae389-a9d7-480c-a309-a8e114248b79,_location_from-town,application,2026-01-12 17:22:06.477000+05:30,2026-01-12,Monday,'17:22:06.477000
f00ae389-a9d7-480c-a309-a8e114248b79,_ticket,application,2026-01-12 17:22:06.633000+05:30,2026-01-12,Monday,'17:22:06.633000
f00ae389-a9d7-480c-a309-a8e114248b79,_location_special-town-search,application,2026-01-12 17:22:06.654000+05:30,2026-01-12,Monday,'17:22:06.654000
f00ae389-a9d7-480c-a309-a8e114248b79,Session Started,system,2026-01-12 17:24:23.038000+05:30,2026-01-12,Monday,'17:24:23.038000
f00ae389-a9d7-480c-a309-a8e114248b79,Push Failure,system,2026-01-13 17:21:20.061000+05:30,2026-01-13,Tuesday,'17:21:20.061000
