user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
f260d399-d29b-4c3a-ae79-234aaa27d14e,DeviceInfo,application,2026-01-09 17:25:06.712000+05:30,2026-01-09,Friday,'17:25:06.712000
f260d399-d29b-4c3a-ae79-234aaa27d14e,Session Started,system,2026-01-09 17:25:07.095000+05:30,2026-01-09,Friday,'17:25:07.095000
f260d399-d29b-4c3a-ae79-234aaa27d14e,App Installed,system,2026-01-09 17:25:07.145000+05:30,2026-01-09,Friday,'17:25:07.145000
f260d399-d29b-4c3a-ae79-234aaa27d14e,app_start,application,2026-01-09 17:25:07.283000+05:30,2026-01-09,Friday,'17:25:07.283000
f260d399-d29b-4c3a-ae79-234aaa27d14e,Journey Started,system,2026-01-09 17:25:07.877000+05:30,2026-01-09,Friday,'17:25:07.877000
f260d399-d29b-4c3a-ae79-234aaa27d14e,Push Subscribe Process - Device Registered (Push),system,2026-01-09 17:25:08.787000+05:30,2026-01-09,Friday,'17:25:08.787000
f260d399-d29b-4c3a-ae79-234aaa27d14e,choose_language,application,2026-01-09 17:25:10.411000+05:30,2026-01-09,Friday,'17:25:10.411000
f260d399-d29b-4c3a-ae79-234aaa27d14e,Onboarding_Language,application,2026-01-09 17:25:10.419000+05:30,2026-01-09,Friday,'17:25:10.419000
f260d399-d29b-4c3a-ae79-234aaa27d14e,generate_otp,application,2026-01-09 17:25:29.443000+05:30,2026-01-09,Friday,'17:25:29.443000
f260d399-d29b-4c3a-ae79-234aaa27d14e,Onboarding_get_otp,application,2026-01-09 17:25:29.464000+05:30,2026-01-09,Friday,'17:25:29.464000
f260d399-d29b-4c3a-ae79-234aaa27d14e,Journey Started,system,2026-01-09 17:25:30.337000+05:30,2026-01-09,Friday,'17:25:30.337000
f260d399-d29b-4c3a-ae79-234aaa27d14e,Journey Ended,system,2026-01-09 17:25:30.337000+05:30,2026-01-09,Friday,'17:25:30.337000
