user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
f2683f67-d557-449c-80e8-80db9d03ebfd,DeviceInfo,application,2026-01-10 00:31:04.353000+05:30,2026-01-10,Saturday,'00:31:04.353000
f2683f67-d557-449c-80e8-80db9d03ebfd,Session Started,system,2026-01-10 00:31:04.815000+05:30,2026-01-10,Saturday,'00:31:04.815000
f2683f67-d557-449c-80e8-80db9d03ebfd,App Installed,system,2026-01-10 00:31:04.840000+05:30,2026-01-10,Saturday,'00:31:04.840000
f2683f67-d557-449c-80e8-80db9d03ebfd,Journey Started,system,2026-01-10 00:31:05.038000+05:30,2026-01-10,Saturday,'00:31:05.038000
f2683f67-d557-449c-80e8-80db9d03ebfd,Push Subscribe Process - Device Registered (Push),system,2026-01-10 00:31:05.177000+05:30,2026-01-10,Saturday,'00:31:05.177000
f2683f67-d557-449c-80e8-80db9d03ebfd,app_start,application,2026-01-10 00:31:06.263000+05:30,2026-01-10,Saturday,'00:31:06.263000
f2683f67-d557-449c-80e8-80db9d03ebfd,choose_language,application,2026-01-10 00:31:08.483000+05:30,2026-01-10,Saturday,'00:31:08.483000
f2683f67-d557-449c-80e8-80db9d03ebfd,Onboarding_Language,application,2026-01-10 00:31:08.495000+05:30,2026-01-10,Saturday,'00:31:08.495000
f2683f67-d557-449c-80e8-80db9d03ebfd,Journey Started,system,2026-01-10 00:31:13.228000+05:30,2026-01-10,Saturday,'00:31:13.228000
f2683f67-d557-449c-80e8-80db9d03ebfd,Journey Ended,system,2026-01-10 00:31:13.228000+05:30,2026-01-10,Saturday,'00:31:13.228000
f2683f67-d557-449c-80e8-80db9d03ebfd,Push Failure,system,2026-01-11 00:31:15.765000+05:30,2026-01-11,Sunday,'00:31:15.765000
f2683f67-d557-449c-80e8-80db9d03ebfd,Session Started,system,2026-01-11 20:38:11.630000+05:30,2026-01-11,Sunday,'20:38:11.630000
f2683f67-d557-449c-80e8-80db9d03ebfd,choose_language,application,2026-01-11 20:38:16.421000+05:30,2026-01-11,Sunday,'20:38:16.421000
f2683f67-d557-449c-80e8-80db9d03ebfd,Onboarding_Language,application,2026-01-11 20:38:16.431000+05:30,2026-01-11,Sunday,'20:38:16.431000
f2683f67-d557-449c-80e8-80db9d03ebfd,Onboarding_Whtsapp unchecked,application,2026-01-11 20:38:29.659000+05:30,2026-01-11,Sunday,'20:38:29.659000
f2683f67-d557-449c-80e8-80db9d03ebfd,Journey Started,system,2026-01-11 20:38:30.075000+05:30,2026-01-11,Sunday,'20:38:30.075000
f2683f67-d557-449c-80e8-80db9d03ebfd,Journey Ended,system,2026-01-11 20:38:30.075000+05:30,2026-01-11,Sunday,'20:38:30.075000
f2683f67-d557-449c-80e8-80db9d03ebfd,generate_otp,application,2026-01-11 20:38:35.712000+05:30,2026-01-11,Sunday,'20:38:35.712000
f2683f67-d557-449c-80e8-80db9d03ebfd,Onboarding_get_otp,application,2026-01-11 20:38:35.725000+05:30,2026-01-11,Sunday,'20:38:35.725000
f2683f67-d557-449c-80e8-80db9d03ebfd,_auth_generate-otp,application,2026-01-11 20:38:36.842000+05:30,2026-01-11,Sunday,'20:38:36.842000
f2683f67-d557-449c-80e8-80db9d03ebfd,get_otp,application,2026-01-11 20:38:36.858000+05:30,2026-01-11,Sunday,'20:38:36.858000
f2683f67-d557-449c-80e8-80db9d03ebfd,Onboarding_signup_,application,2026-01-11 20:38:36.890000+05:30,2026-01-11,Sunday,'20:38:36.890000
f2683f67-d557-449c-80e8-80db9d03ebfd,verify_otp,application,2026-01-11 20:38:42.583000+05:30,2026-01-11,Sunday,'20:38:42.583000
f2683f67-d557-449c-80e8-80db9d03ebfd,_auth_verify-otp,application,2026-01-11 20:38:42.801000+05:30,2026-01-11,Sunday,'20:38:42.801000
f2683f67-d557-449c-80e8-80db9d03ebfd,enter_otp,application,2026-01-11 20:38:42.848000+05:30,2026-01-11,Sunday,'20:38:42.848000
f2683f67-d557-449c-80e8-80db9d03ebfd,User Login,system,2026-01-11 20:38:42.889000+05:30,2026-01-11,Sunday,'20:38:42.889000
f2683f67-d557-449c-80e8-80db9d03ebfd,login,application,2026-01-11 20:38:43.123000+05:30,2026-01-11,Sunday,'20:38:43.123000
f2683f67-d557-449c-80e8-80db9d03ebfd,_user,application,2026-01-11 20:38:43.201000+05:30,2026-01-11,Sunday,'20:38:43.201000
f2683f67-d557-449c-80e8-80db9d03ebfd,_location_from-town,application,2026-01-11 20:38:43.841000+05:30,2026-01-11,Sunday,'20:38:43.841000
f2683f67-d557-449c-80e8-80db9d03ebfd,Onboarding_Profile Saved,application,2026-01-11 20:38:57.134000+05:30,2026-01-11,Sunday,'20:38:57.134000
f2683f67-d557-449c-80e8-80db9d03ebfd,_user,application,2026-01-11 20:39:21.912000+05:30,2026-01-11,Sunday,'20:39:21.912000
f2683f67-d557-449c-80e8-80db9d03ebfd,_history_recommended-journey,application,2026-01-11 20:39:24.464000+05:30,2026-01-11,Sunday,'20:39:24.464000
f2683f67-d557-449c-80e8-80db9d03ebfd,_user_device,application,2026-01-11 20:39:24.486000+05:30,2026-01-11,Sunday,'20:39:24.486000
f2683f67-d557-449c-80e8-80db9d03ebfd,_user,application,2026-01-11 20:39:24.573000+05:30,2026-01-11,Sunday,'20:39:24.573000
f2683f67-d557-449c-80e8-80db9d03ebfd,_location_from-town,application,2026-01-11 20:39:24.639000+05:30,2026-01-11,Sunday,'20:39:24.639000
f2683f67-d557-449c-80e8-80db9d03ebfd,_ticket,application,2026-01-11 20:39:24.738000+05:30,2026-01-11,Sunday,'20:39:24.738000
f2683f67-d557-449c-80e8-80db9d03ebfd,_location_special-town-search,application,2026-01-11 20:39:25.290000+05:30,2026-01-11,Sunday,'20:39:25.290000
f2683f67-d557-449c-80e8-80db9d03ebfd,_location_elastic-town-search,application,2026-01-11 20:39:27.399000+05:30,2026-01-11,Sunday,'20:39:27.399000
f2683f67-d557-449c-80e8-80db9d03ebfd,_location_special-town-search,application,2026-01-11 20:39:56.543000+05:30,2026-01-11,Sunday,'20:39:56.543000
f2683f67-d557-449c-80e8-80db9d03ebfd,_location_elastic-town-search,application,2026-01-11 20:39:56.653000+05:30,2026-01-11,Sunday,'20:39:56.653000
f2683f67-d557-449c-80e8-80db9d03ebfd,Buslist_date change,application,2026-01-11 20:40:30.457000+05:30,2026-01-11,Sunday,'20:40:30.457000
