user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,DeviceInfo,application,2026-01-08 13:37:47.637000+05:30,2026-01-08,Thursday,'13:37:47.637000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,Session Started,system,2026-01-08 13:37:48.093000+05:30,2026-01-08,Thursday,'13:37:48.093000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,App Installed,system,2026-01-08 13:37:48.147000+05:30,2026-01-08,Thursday,'13:37:48.147000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,Push Subscribe Process - Device Registered (Push),system,2026-01-08 13:37:48.765000+05:30,2026-01-08,Thursday,'13:37:48.765000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,app_start,application,2026-01-08 13:37:49.018000+05:30,2026-01-08,Thursday,'13:37:49.018000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,choose_language,application,2026-01-08 13:37:50.396000+05:30,2026-01-08,Thursday,'13:37:50.396000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,Onboarding_Language,application,2026-01-08 13:37:50.413000+05:30,2026-01-08,Thursday,'13:37:50.413000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,generate_otp,application,2026-01-08 13:38:04.275000+05:30,2026-01-08,Thursday,'13:38:04.275000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,Onboarding_get_otp,application,2026-01-08 13:38:04.306000+05:30,2026-01-08,Thursday,'13:38:04.306000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,_auth_generate-otp,application,2026-01-08 13:38:05.134000+05:30,2026-01-08,Thursday,'13:38:05.134000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,get_otp,application,2026-01-08 13:38:05.154000+05:30,2026-01-08,Thursday,'13:38:05.154000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,Onboarding_signup_,application,2026-01-08 13:38:05.200000+05:30,2026-01-08,Thursday,'13:38:05.200000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,verify_otp,application,2026-01-08 13:38:12.596000+05:30,2026-01-08,Thursday,'13:38:12.596000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,_auth_verify-otp,application,2026-01-08 13:38:12.808000+05:30,2026-01-08,Thursday,'13:38:12.808000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,enter_otp,application,2026-01-08 13:38:12.918000+05:30,2026-01-08,Thursday,'13:38:12.918000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,User Login,system,2026-01-08 13:38:12.944000+05:30,2026-01-08,Thursday,'13:38:12.944000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,login,application,2026-01-08 13:38:13.101000+05:30,2026-01-08,Thursday,'13:38:13.101000
f381dcd7-5b6c-4226-abbe-b0fdd01ac097,_user,application,2026-01-08 13:38:13.121000+05:30,2026-01-08,Thursday,'13:38:13.121000
