user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
f4cf1458-ff0b-40bc-8999-75e71787c2b4,App Installed,system,2026-01-06 19:35:19.485000+05:30,2026-01-06,Tuesday,'19:35:19.485000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Buslist_Live Chat Icon,application,2026-01-06 19:46:11.539000+05:30,2026-01-06,Tuesday,'19:46:11.539000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Buslist_date change,application,2026-01-06 19:46:05.573000+05:30,2026-01-06,Tuesday,'19:46:05.573000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Buslist_date change,application,2026-01-06 19:46:09.092000+05:30,2026-01-06,Tuesday,'19:46:09.092000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Buslist_date change,application,2026-01-06 19:46:20.946000+05:30,2026-01-06,Tuesday,'19:46:20.946000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Buslist_date change,application,2026-01-06 19:46:23.085000+05:30,2026-01-06,Tuesday,'19:46:23.085000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,DeviceInfo,application,2026-01-06 19:35:19.213000+05:30,2026-01-06,Tuesday,'19:35:19.213000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Journey Ended,system,2026-01-06 19:35:28.655000+05:30,2026-01-06,Tuesday,'19:35:28.655000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Journey Ended,system,2026-01-07 02:01:49.896000+05:30,2026-01-07,Wednesday,'02:01:49.896000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Journey Started,system,2026-01-06 19:35:20.225000+05:30,2026-01-06,Tuesday,'19:35:20.225000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Journey Started,system,2026-01-06 19:35:28.654000+05:30,2026-01-06,Tuesday,'19:35:28.654000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Journey Started,system,2026-01-06 19:46:09.737000+05:30,2026-01-06,Tuesday,'19:46:09.737000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Onboarding_Language,application,2026-01-06 19:35:23.239000+05:30,2026-01-06,Tuesday,'19:35:23.239000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Onboarding_Profile Saved,application,2026-01-06 19:38:48.959000+05:30,2026-01-06,Tuesday,'19:38:48.959000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Onboarding_get_otp,application,2026-01-06 19:38:28.340000+05:30,2026-01-06,Tuesday,'19:38:28.340000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Onboarding_signup_,application,2026-01-06 19:38:29.052000+05:30,2026-01-06,Tuesday,'19:38:29.052000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Push Failure,system,2026-01-06 20:01:23.973000+05:30,2026-01-06,Tuesday,'20:01:23.973000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Push Failure,system,2026-01-07 19:35:53+05:30,2026-01-07,Wednesday,'19:35:53.000000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Push Failure,system,2026-01-08 19:36:25.129000+05:30,2026-01-08,Thursday,'19:36:25.129000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Push Failure,system,2026-01-09 19:36:55.243000+05:30,2026-01-09,Friday,'19:36:55.243000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Push Failure,system,2026-01-10 19:37:18.633000+05:30,2026-01-10,Saturday,'19:37:18.633000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Push Failure,system,2026-01-11 19:37:48.172000+05:30,2026-01-11,Sunday,'19:37:48.172000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Push Failure,system,2026-01-13 19:38:16.380000+05:30,2026-01-13,Tuesday,'19:38:16.380000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Push Failure,system,2026-01-15 19:38:38.819000+05:30,2026-01-15,Thursday,'19:38:38.819000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Push Failure,system,2026-01-17 19:39:08.713000+05:30,2026-01-17,Saturday,'19:39:08.713000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Push Subscribe Process - Device Registered (Push),system,2026-01-06 19:35:20.912000+05:30,2026-01-06,Tuesday,'19:35:20.912000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,Session Started,system,2026-01-06 19:35:19.448000+05:30,2026-01-06,Tuesday,'19:35:19.448000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,User Login,system,2026-01-06 19:38:31.323000+05:30,2026-01-06,Tuesday,'19:38:31.323000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_auth_generate-otp,application,2026-01-06 19:38:29.023000+05:30,2026-01-06,Tuesday,'19:38:29.023000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_auth_verify-otp,application,2026-01-06 19:38:31.277000+05:30,2026-01-06,Tuesday,'19:38:31.277000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_bus-search_list,application,2026-01-06 19:46:08.471000+05:30,2026-01-06,Tuesday,'19:46:08.471000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_bus-search_list,application,2026-01-06 19:46:22.879000+05:30,2026-01-06,Tuesday,'19:46:22.879000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_bus-search_user-bus-search,application,2026-01-06 19:46:05.943000+05:30,2026-01-06,Tuesday,'19:46:05.943000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_bus-search_user-bus-search,application,2026-01-06 19:46:21.060000+05:30,2026-01-06,Tuesday,'19:46:21.060000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_history_recommended-journey,application,2026-01-06 19:38:57.597000+05:30,2026-01-06,Tuesday,'19:38:57.597000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:38:57.997000+05:30,2026-01-06,Tuesday,'19:38:57.997000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:38:59.712000+05:30,2026-01-06,Tuesday,'19:38:59.712000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:39:01.924000+05:30,2026-01-06,Tuesday,'19:39:01.924000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:39:03.155000+05:30,2026-01-06,Tuesday,'19:39:03.155000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:39:04.210000+05:30,2026-01-06,Tuesday,'19:39:04.210000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:39:04.493000+05:30,2026-01-06,Tuesday,'19:39:04.493000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:39:07.960000+05:30,2026-01-06,Tuesday,'19:39:07.960000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:39:08.345000+05:30,2026-01-06,Tuesday,'19:39:08.345000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:39:08.547000+05:30,2026-01-06,Tuesday,'19:39:08.547000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:39:10.845000+05:30,2026-01-06,Tuesday,'19:39:10.845000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:39:11.060000+05:30,2026-01-06,Tuesday,'19:39:11.060000
f4cf1458-ff0b-40bc-8999-75e71787c2b4,_location_elastic-town-search,application,2026-01-06 19:39:11.348000+05:30,2026-01-06,Tuesday,'19:39:11.348000
