user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
f5742859-0e7d-48e7-b699-c83650d6ee40,App Installed,system,2026-01-08 13:54:29.115000+05:30,2026-01-08,Thursday,'13:54:29.115000
f5742859-0e7d-48e7-b699-c83650d6ee40,DeviceInfo,application,2026-01-08 13:54:28.830000+05:30,2026-01-08,Thursday,'13:54:28.830000
f5742859-0e7d-48e7-b699-c83650d6ee40,Journey Ended,system,2026-01-08 13:54:42.712000+05:30,2026-01-08,Thursday,'13:54:42.712000
f5742859-0e7d-48e7-b699-c83650d6ee40,Journey Started,system,2026-01-08 13:54:30.149000+05:30,2026-01-08,Thursday,'13:54:30.149000
f5742859-0e7d-48e7-b699-c83650d6ee40,Journey Started,system,2026-01-08 13:54:42.712000+05:30,2026-01-08,Thursday,'13:54:42.712000
f5742859-0e7d-48e7-b699-c83650d6ee40,Onboarding_Language,application,2026-01-08 13:54:36.658000+05:30,2026-01-08,Thursday,'13:54:36.658000
f5742859-0e7d-48e7-b699-c83650d6ee40,Onboarding_Profile Saved,application,2026-01-08 13:54:46.747000+05:30,2026-01-08,Thursday,'13:54:46.747000
f5742859-0e7d-48e7-b699-c83650d6ee40,Onboarding_backpressed,application,2026-01-08 13:57:10.115000+05:30,2026-01-08,Thursday,'13:57:10.115000
f5742859-0e7d-48e7-b699-c83650d6ee40,Onboarding_backpressed,application,2026-01-08 13:57:10.685000+05:30,2026-01-08,Thursday,'13:57:10.685000
f5742859-0e7d-48e7-b699-c83650d6ee40,Onboarding_backpressed,application,2026-01-08 13:57:11.300000+05:30,2026-01-08,Thursday,'13:57:11.300000
f5742859-0e7d-48e7-b699-c83650d6ee40,Onboarding_get_otp,application,2026-01-08 13:54:41.577000+05:30,2026-01-08,Thursday,'13:54:41.577000
f5742859-0e7d-48e7-b699-c83650d6ee40,Onboarding_signup_,application,2026-01-08 13:54:42.387000+05:30,2026-01-08,Thursday,'13:54:42.387000
f5742859-0e7d-48e7-b699-c83650d6ee40,Push Failure,system,2026-01-09 13:54:59.007000+05:30,2026-01-09,Friday,'13:54:59.007000
f5742859-0e7d-48e7-b699-c83650d6ee40,Push Failure,system,2026-01-10 13:55:19.482000+05:30,2026-01-10,Saturday,'13:55:19.482000
f5742859-0e7d-48e7-b699-c83650d6ee40,Push Failure,system,2026-01-11 13:55:49.120000+05:30,2026-01-11,Sunday,'13:55:49.120000
f5742859-0e7d-48e7-b699-c83650d6ee40,Push Failure,system,2026-01-12 13:56:19.055000+05:30,2026-01-12,Monday,'13:56:19.055000
f5742859-0e7d-48e7-b699-c83650d6ee40,Push Failure,system,2026-01-13 13:56:47.652000+05:30,2026-01-13,Tuesday,'13:56:47.652000
f5742859-0e7d-48e7-b699-c83650d6ee40,Push Failure,system,2026-01-15 13:57:11.095000+05:30,2026-01-15,Thursday,'13:57:11.095000
f5742859-0e7d-48e7-b699-c83650d6ee40,Push Failure,system,2026-01-17 13:57:39.187000+05:30,2026-01-17,Saturday,'13:57:39.187000
f5742859-0e7d-48e7-b699-c83650d6ee40,Push Subscribe Process - Device Registered (Push),system,2026-01-08 13:54:30.888000+05:30,2026-01-08,Thursday,'13:54:30.888000
