user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
f5df9952-a8c9-4051-8762-08f58d363923,DeviceInfo,application,2026-01-09 12:15:33.692000+05:30,2026-01-09,Friday,'12:15:33.692000
f5df9952-a8c9-4051-8762-08f58d363923,Session Started,system,2026-01-09 12:15:34.108000+05:30,2026-01-09,Friday,'12:15:34.108000
f5df9952-a8c9-4051-8762-08f58d363923,App Installed,system,2026-01-09 12:15:34.183000+05:30,2026-01-09,Friday,'12:15:34.183000
f5df9952-a8c9-4051-8762-08f58d363923,app_start,application,2026-01-09 12:15:34.985000+05:30,2026-01-09,Friday,'12:15:34.985000
f5df9952-a8c9-4051-8762-08f58d363923,Push Subscribe Process - Device Registered (Push),system,2026-01-09 12:15:35.601000+05:30,2026-01-09,Friday,'12:15:35.601000
f5df9952-a8c9-4051-8762-08f58d363923,Journey Started,system,2026-01-09 12:15:36.678000+05:30,2026-01-09,Friday,'12:15:36.678000
f5df9952-a8c9-4051-8762-08f58d363923,choose_language,application,2026-01-09 12:15:42.351000+05:30,2026-01-09,Friday,'12:15:42.351000
f5df9952-a8c9-4051-8762-08f58d363923,Onboarding_Language,application,2026-01-09 12:15:42.364000+05:30,2026-01-09,Friday,'12:15:42.364000
f5df9952-a8c9-4051-8762-08f58d363923,generate_otp,application,2026-01-09 12:15:50.604000+05:30,2026-01-09,Friday,'12:15:50.604000
f5df9952-a8c9-4051-8762-08f58d363923,Onboarding_get_otp,application,2026-01-09 12:15:50.617000+05:30,2026-01-09,Friday,'12:15:50.617000
f5df9952-a8c9-4051-8762-08f58d363923,_auth_generate-otp,application,2026-01-09 12:15:51.426000+05:30,2026-01-09,Friday,'12:15:51.426000
f5df9952-a8c9-4051-8762-08f58d363923,get_otp,application,2026-01-09 12:15:51.434000+05:30,2026-01-09,Friday,'12:15:51.434000
f5df9952-a8c9-4051-8762-08f58d363923,Onboarding_signup_,application,2026-01-09 12:15:51.460000+05:30,2026-01-09,Friday,'12:15:51.460000
f5df9952-a8c9-4051-8762-08f58d363923,verify_otp,application,2026-01-09 12:15:54.044000+05:30,2026-01-09,Friday,'12:15:54.044000
f5df9952-a8c9-4051-8762-08f58d363923,_auth_verify-otp,application,2026-01-09 12:15:54.426000+05:30,2026-01-09,Friday,'12:15:54.426000
f5df9952-a8c9-4051-8762-08f58d363923,enter_otp,application,2026-01-09 12:15:54.522000+05:30,2026-01-09,Friday,'12:15:54.522000
f5df9952-a8c9-4051-8762-08f58d363923,User Login,system,2026-01-09 12:15:54.530000+05:30,2026-01-09,Friday,'12:15:54.530000
f5df9952-a8c9-4051-8762-08f58d363923,login,application,2026-01-09 12:15:54.977000+05:30,2026-01-09,Friday,'12:15:54.977000
f5df9952-a8c9-4051-8762-08f58d363923,_user,application,2026-01-09 12:15:54.990000+05:30,2026-01-09,Friday,'12:15:54.990000
f5df9952-a8c9-4051-8762-08f58d363923,_location_from-town,application,2026-01-09 12:15:55.476000+05:30,2026-01-09,Friday,'12:15:55.476000
f5df9952-a8c9-4051-8762-08f58d363923,Onboarding_Profile Saved,application,2026-01-09 12:15:56.075000+05:30,2026-01-09,Friday,'12:15:56.075000
f5df9952-a8c9-4051-8762-08f58d363923,_user,application,2026-01-09 12:15:57.265000+05:30,2026-01-09,Friday,'12:15:57.265000
f5df9952-a8c9-4051-8762-08f58d363923,_location_from-town,application,2026-01-09 12:15:59.368000+05:30,2026-01-09,Friday,'12:15:59.368000
