user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
f5e7099c-5703-4205-bb87-022560677255,App Installed,system,2026-01-17 13:41:28.263000+05:30,2026-01-17,Saturday,'13:41:28.263000
f5e7099c-5703-4205-bb87-022560677255,Buslist_bus_selection,application,2026-01-17 08:54:32.714000+05:30,2026-01-17,Saturday,'08:54:32.714000
f5e7099c-5703-4205-bb87-022560677255,Buslist_date change,application,2026-01-17 08:51:50.181000+05:30,2026-01-17,Saturday,'08:51:50.181000
f5e7099c-5703-4205-bb87-022560677255,Buslist_date change,application,2026-01-17 08:51:55.515000+05:30,2026-01-17,Saturday,'08:51:55.515000
f5e7099c-5703-4205-bb87-022560677255,Buslist_date change,application,2026-01-17 08:53:52.024000+05:30,2026-01-17,Saturday,'08:53:52.024000
f5e7099c-5703-4205-bb87-022560677255,Buslist_date change,application,2026-01-17 08:53:57.678000+05:30,2026-01-17,Saturday,'08:53:57.678000
f5e7099c-5703-4205-bb87-022560677255,Buslist_date change,application,2026-01-17 08:54:55.550000+05:30,2026-01-17,Saturday,'08:54:55.550000
f5e7099c-5703-4205-bb87-022560677255,Buslist_date change,application,2026-01-17 08:55:02.870000+05:30,2026-01-17,Saturday,'08:55:02.870000
f5e7099c-5703-4205-bb87-022560677255,DeviceInfo,application,2026-01-17 06:35:17.007000+05:30,2026-01-17,Saturday,'06:35:17.007000
f5e7099c-5703-4205-bb87-022560677255,DeviceInfo,application,2026-01-17 13:41:18.068000+05:30,2026-01-17,Saturday,'13:41:18.068000
f5e7099c-5703-4205-bb87-022560677255,Journey Ended,system,2026-01-17 06:42:01.949000+05:30,2026-01-17,Saturday,'06:42:01.949000
f5e7099c-5703-4205-bb87-022560677255,Journey Ended,system,2026-01-17 08:54:32.737000+05:30,2026-01-17,Saturday,'08:54:32.737000
f5e7099c-5703-4205-bb87-022560677255,Journey Ended,system,2026-01-17 15:09:50.196000+05:30,2026-01-17,Saturday,'15:09:50.196000
f5e7099c-5703-4205-bb87-022560677255,Journey Ended,system,2026-01-17 15:10:20.836000+05:30,2026-01-17,Saturday,'15:10:20.836000
f5e7099c-5703-4205-bb87-022560677255,Journey Ended,system,2026-01-19 05:58:03.627000+05:30,2026-01-19,Monday,'05:58:03.627000
f5e7099c-5703-4205-bb87-022560677255,Journey Started,system,2026-01-17 06:42:01.949000+05:30,2026-01-17,Saturday,'06:42:01.949000
f5e7099c-5703-4205-bb87-022560677255,Journey Started,system,2026-01-17 08:51:55.564000+05:30,2026-01-17,Saturday,'08:51:55.564000
f5e7099c-5703-4205-bb87-022560677255,Journey Started,system,2026-01-17 08:54:32.738000+05:30,2026-01-17,Saturday,'08:54:32.738000
f5e7099c-5703-4205-bb87-022560677255,Journey Started,system,2026-01-17 08:55:02.890000+05:30,2026-01-17,Saturday,'08:55:02.890000
f5e7099c-5703-4205-bb87-022560677255,Journey Started,system,2026-01-18 10:48:26.783000+05:30,2026-01-18,Sunday,'10:48:26.783000
f5e7099c-5703-4205-bb87-022560677255,Journey Started,system,2026-01-19 05:58:03.627000+05:30,2026-01-19,Monday,'05:58:03.627000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_Language,application,2026-01-17 06:36:54.518000+05:30,2026-01-17,Saturday,'06:36:54.518000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_Language,application,2026-01-19 05:57:02.153000+05:30,2026-01-19,Monday,'05:57:02.153000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_Language,application,2026-01-19 05:57:04.411000+05:30,2026-01-19,Monday,'05:57:04.411000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_Profile Saved,application,2026-01-17 06:37:13.265000+05:30,2026-01-17,Saturday,'06:37:13.265000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_backpressed,application,2026-01-17 06:38:39.946000+05:30,2026-01-17,Saturday,'06:38:39.946000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_backpressed,application,2026-01-17 06:39:27.932000+05:30,2026-01-17,Saturday,'06:39:27.932000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_backpressed,application,2026-01-17 06:39:29.482000+05:30,2026-01-17,Saturday,'06:39:29.482000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_backpressed,application,2026-01-17 06:39:29.735000+05:30,2026-01-17,Saturday,'06:39:29.735000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_backpressed,application,2026-01-17 06:39:38.304000+05:30,2026-01-17,Saturday,'06:39:38.304000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_get_otp,application,2026-01-17 06:37:05.293000+05:30,2026-01-17,Saturday,'06:37:05.293000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_get_otp,application,2026-01-19 05:57:21.929000+05:30,2026-01-19,Monday,'05:57:21.929000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_signup_,application,2026-01-17 06:37:06.249000+05:30,2026-01-17,Saturday,'06:37:06.249000
f5e7099c-5703-4205-bb87-022560677255,Onboarding_signup_,application,2026-01-19 05:57:23.795000+05:30,2026-01-19,Monday,'05:57:23.795000
f5e7099c-5703-4205-bb87-022560677255,Push Failure,system,2026-01-17 09:09:44.034000+05:30,2026-01-17,Saturday,'09:09:44.034000
f5e7099c-5703-4205-bb87-022560677255,Push Failure,system,2026-01-17 09:10:14.052000+05:30,2026-01-17,Saturday,'09:10:14.052000
f5e7099c-5703-4205-bb87-022560677255,Push Subscribe Process - Device Registered (Push),system,2026-01-17 13:44:46.239000+05:30,2026-01-17,Saturday,'13:44:46.239000
f5e7099c-5703-4205-bb87-022560677255,SeatSelection_Click On Back,application,2026-01-17 08:54:32.714000+05:30,2026-01-17,Saturday,'08:54:32.714000
f5e7099c-5703-4205-bb87-022560677255,Session Started,system,2026-01-17 06:36:15.055000+05:30,2026-01-17,Saturday,'06:36:15.055000
f5e7099c-5703-4205-bb87-022560677255,Session Started,system,2026-01-17 08:49:48.267000+05:30,2026-01-17,Saturday,'08:49:48.267000
f5e7099c-5703-4205-bb87-022560677255,Session Started,system,2026-01-17 13:36:57.806000+05:30,2026-01-17,Saturday,'13:36:57.806000
f5e7099c-5703-4205-bb87-022560677255,Session Started,system,2026-01-17 13:37:26.163000+05:30,2026-01-17,Saturday,'13:37:26.163000
f5e7099c-5703-4205-bb87-022560677255,Session Started,system,2026-01-17 13:41:28.154000+05:30,2026-01-17,Saturday,'13:41:28.154000
f5e7099c-5703-4205-bb87-022560677255,Session Started,system,2026-01-17 13:42:05.872000+05:30,2026-01-17,Saturday,'13:42:05.872000
f5e7099c-5703-4205-bb87-022560677255,Session Started,system,2026-01-18 13:07:13.277000+05:30,2026-01-18,Sunday,'13:07:13.277000
f5e7099c-5703-4205-bb87-022560677255,Session Started,system,2026-01-18 13:07:44.625000+05:30,2026-01-18,Sunday,'13:07:44.625000
f5e7099c-5703-4205-bb87-022560677255,Session Started,system,2026-01-19 05:56:58.437000+05:30,2026-01-19,Monday,'05:56:58.437000
f5e7099c-5703-4205-bb87-022560677255,User Login,system,2026-01-17 06:37:09.570000+05:30,2026-01-17,Saturday,'06:37:09.570000
f5e7099c-5703-4205-bb87-022560677255,User Login,system,2026-01-19 05:57:27.022000+05:30,2026-01-19,Monday,'05:57:27.022000
f5e7099c-5703-4205-bb87-022560677255,_auth_generate-otp,application,2026-01-17 06:37:06.199000+05:30,2026-01-17,Saturday,'06:37:06.199000
f5e7099c-5703-4205-bb87-022560677255,_auth_generate-otp,application,2026-01-19 05:57:23.730000+05:30,2026-01-19,Monday,'05:57:23.730000
f5e7099c-5703-4205-bb87-022560677255,_auth_verify-otp,application,2026-01-17 06:37:09.294000+05:30,2026-01-17,Saturday,'06:37:09.294000
f5e7099c-5703-4205-bb87-022560677255,_auth_verify-otp,application,2026-01-19 05:57:26.998000+05:30,2026-01-19,Monday,'05:57:26.998000
f5e7099c-5703-4205-bb87-022560677255,_bus-search_list,application,2026-01-17 08:51:54.525000+05:30,2026-01-17,Saturday,'08:51:54.525000
f5e7099c-5703-4205-bb87-022560677255,_bus-search_list,application,2026-01-17 08:53:56.839000+05:30,2026-01-17,Saturday,'08:53:56.839000
f5e7099c-5703-4205-bb87-022560677255,_bus-search_list,application,2026-01-17 08:54:58.206000+05:30,2026-01-17,Saturday,'08:54:58.206000
f5e7099c-5703-4205-bb87-022560677255,_bus-search_user-bus-search,application,2026-01-17 08:51:50.818000+05:30,2026-01-17,Saturday,'08:51:50.818000
f5e7099c-5703-4205-bb87-022560677255,_bus-search_user-bus-search,application,2026-01-17 08:53:52.380000+05:30,2026-01-17,Saturday,'08:53:52.380000
f5e7099c-5703-4205-bb87-022560677255,_bus-search_user-bus-search,application,2026-01-17 08:54:55.843000+05:30,2026-01-17,Saturday,'08:54:55.843000
f5e7099c-5703-4205-bb87-022560677255,_bus-search_v2_layout,application,2026-01-17 08:54:33.330000+05:30,2026-01-17,Saturday,'08:54:33.330000
f5e7099c-5703-4205-bb87-022560677255,_history_recommended-journey,application,2026-01-17 08:49:59.525000+05:30,2026-01-17,Saturday,'08:49:59.525000
f5e7099c-5703-4205-bb87-022560677255,_history_recommended-journey,application,2026-01-17 08:50:04.373000+05:30,2026-01-17,Saturday,'08:50:04.373000
f5e7099c-5703-4205-bb87-022560677255,_history_recommended-journey,application,2026-01-17 13:37:28.894000+05:30,2026-01-17,Saturday,'13:37:28.894000
f5e7099c-5703-4205-bb87-022560677255,_history_recommended-journey,application,2026-01-19 05:57:29.167000+05:30,2026-01-19,Monday,'05:57:29.167000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:50:29.346000+05:30,2026-01-17,Saturday,'08:50:29.346000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:50:34.476000+05:30,2026-01-17,Saturday,'08:50:34.476000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:50:35.784000+05:30,2026-01-17,Saturday,'08:50:35.784000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:50:48.338000+05:30,2026-01-17,Saturday,'08:50:48.338000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:51:35.306000+05:30,2026-01-17,Saturday,'08:51:35.306000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:51:35.513000+05:30,2026-01-17,Saturday,'08:51:35.513000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:51:35.855000+05:30,2026-01-17,Saturday,'08:51:35.855000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:51:36.036000+05:30,2026-01-17,Saturday,'08:51:36.036000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:51:37.070000+05:30,2026-01-17,Saturday,'08:51:37.070000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:51:37.283000+05:30,2026-01-17,Saturday,'08:51:37.283000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:52:58.797000+05:30,2026-01-17,Saturday,'08:52:58.797000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:06.263000+05:30,2026-01-17,Saturday,'08:53:06.263000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:06.465000+05:30,2026-01-17,Saturday,'08:53:06.465000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:06.525000+05:30,2026-01-17,Saturday,'08:53:06.525000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:10.768000+05:30,2026-01-17,Saturday,'08:53:10.768000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:11.256000+05:30,2026-01-17,Saturday,'08:53:11.256000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:11.436000+05:30,2026-01-17,Saturday,'08:53:11.436000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:11.575000+05:30,2026-01-17,Saturday,'08:53:11.575000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:12.290000+05:30,2026-01-17,Saturday,'08:53:12.290000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:12.601000+05:30,2026-01-17,Saturday,'08:53:12.601000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:22.263000+05:30,2026-01-17,Saturday,'08:53:22.263000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:22.386000+05:30,2026-01-17,Saturday,'08:53:22.386000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:22.861000+05:30,2026-01-17,Saturday,'08:53:22.861000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:23.158000+05:30,2026-01-17,Saturday,'08:53:23.158000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:23.639000+05:30,2026-01-17,Saturday,'08:53:23.639000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:36.866000+05:30,2026-01-17,Saturday,'08:53:36.866000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:37.375000+05:30,2026-01-17,Saturday,'08:53:37.375000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:37.965000+05:30,2026-01-17,Saturday,'08:53:37.965000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:38.223000+05:30,2026-01-17,Saturday,'08:53:38.223000
f5e7099c-5703-4205-bb87-022560677255,_location_elastic-town-search,application,2026-01-17 08:53:38.561000+05:30,2026-01-17,Saturday,'08:53:38.561000
