user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
f6e47633-649f-4489-ae44-b63364c37896,DeviceInfo,application,2026-01-04 20:52:33.370000+05:30,2026-01-04,Sunday,'20:52:33.370000
f6e47633-649f-4489-ae44-b63364c37896,Session Started,system,2026-01-04 20:52:36.915000+05:30,2026-01-04,Sunday,'20:52:36.915000
f6e47633-649f-4489-ae44-b63364c37896,App Installed,system,2026-01-04 20:52:36.963000+05:30,2026-01-04,Sunday,'20:52:36.963000
f6e47633-649f-4489-ae44-b63364c37896,Journey Started,system,2026-01-04 20:52:40.060000+05:30,2026-01-04,Sunday,'20:52:40.060000
f6e47633-649f-4489-ae44-b63364c37896,Push Subscribe Process - Device Registered (Push),system,2026-01-04 20:52:40.546000+05:30,2026-01-04,Sunday,'20:52:40.546000
f6e47633-649f-4489-ae44-b63364c37896,choose_language,application,2026-01-04 20:52:52.982000+05:30,2026-01-04,Sunday,'20:52:52.982000
f6e47633-649f-4489-ae44-b63364c37896,Onboarding_Language,application,2026-01-04 20:52:52.989000+05:30,2026-01-04,Sunday,'20:52:52.989000
f6e47633-649f-4489-ae44-b63364c37896,generate_otp,application,2026-01-04 20:52:58.083000+05:30,2026-01-04,Sunday,'20:52:58.083000
f6e47633-649f-4489-ae44-b63364c37896,Onboarding_get_otp,application,2026-01-04 20:52:58.090000+05:30,2026-01-04,Sunday,'20:52:58.090000
f6e47633-649f-4489-ae44-b63364c37896,_auth_generate-otp,application,2026-01-04 20:52:59.072000+05:30,2026-01-04,Sunday,'20:52:59.072000
f6e47633-649f-4489-ae44-b63364c37896,get_otp,application,2026-01-04 20:52:59.078000+05:30,2026-01-04,Sunday,'20:52:59.078000
f6e47633-649f-4489-ae44-b63364c37896,Onboarding_signup_,application,2026-01-04 20:52:59.087000+05:30,2026-01-04,Sunday,'20:52:59.087000
f6e47633-649f-4489-ae44-b63364c37896,Journey Ended,system,2026-01-04 20:52:59.801000+05:30,2026-01-04,Sunday,'20:52:59.801000
f6e47633-649f-4489-ae44-b63364c37896,Journey Started,system,2026-01-04 20:52:59.801000+05:30,2026-01-04,Sunday,'20:52:59.801000
f6e47633-649f-4489-ae44-b63364c37896,verify_otp,application,2026-01-04 20:53:03.089000+05:30,2026-01-04,Sunday,'20:53:03.089000
f6e47633-649f-4489-ae44-b63364c37896,_auth_verify-otp,application,2026-01-04 20:53:03.413000+05:30,2026-01-04,Sunday,'20:53:03.413000
f6e47633-649f-4489-ae44-b63364c37896,enter_otp,application,2026-01-04 20:53:03.427000+05:30,2026-01-04,Sunday,'20:53:03.427000
f6e47633-649f-4489-ae44-b63364c37896,User Login,system,2026-01-04 20:53:03.456000+05:30,2026-01-04,Sunday,'20:53:03.456000
f6e47633-649f-4489-ae44-b63364c37896,login,application,2026-01-04 20:53:04.082000+05:30,2026-01-04,Sunday,'20:53:04.082000
f6e47633-649f-4489-ae44-b63364c37896,_user,application,2026-01-04 20:53:04.093000+05:30,2026-01-04,Sunday,'20:53:04.093000
f6e47633-649f-4489-ae44-b63364c37896,_location_from-town,application,2026-01-04 20:53:04.426000+05:30,2026-01-04,Sunday,'20:53:04.426000
f6e47633-649f-4489-ae44-b63364c37896,Onboarding_Profile Saved,application,2026-01-04 20:53:06.861000+05:30,2026-01-04,Sunday,'20:53:06.861000
f6e47633-649f-4489-ae44-b63364c37896,_user,application,2026-01-04 20:53:14.687000+05:30,2026-01-04,Sunday,'20:53:14.687000
f6e47633-649f-4489-ae44-b63364c37896,_history_recommended-journey,application,2026-01-04 20:53:16.973000+05:30,2026-01-04,Sunday,'20:53:16.973000
f6e47633-649f-4489-ae44-b63364c37896,_location_from-town,application,2026-01-04 20:53:16.983000+05:30,2026-01-04,Sunday,'20:53:16.983000
f6e47633-649f-4489-ae44-b63364c37896,_user,application,2026-01-04 20:53:17.063000+05:30,2026-01-04,Sunday,'20:53:17.063000
f6e47633-649f-4489-ae44-b63364c37896,_user_device,application,2026-01-04 20:53:17.074000+05:30,2026-01-04,Sunday,'20:53:17.074000
f6e47633-649f-4489-ae44-b63364c37896,_location_special-town-search,application,2026-01-04 20:53:17.280000+05:30,2026-01-04,Sunday,'20:53:17.280000
f6e47633-649f-4489-ae44-b63364c37896,_ticket,application,2026-01-04 20:53:17.321000+05:30,2026-01-04,Sunday,'20:53:17.321000
f6e47633-649f-4489-ae44-b63364c37896,_location_special-town-search,application,2026-01-04 20:53:19.036000+05:30,2026-01-04,Sunday,'20:53:19.036000
f6e47633-649f-4489-ae44-b63364c37896,_location_elastic-town-search,application,2026-01-04 20:53:27.216000+05:30,2026-01-04,Sunday,'20:53:27.216000
f6e47633-649f-4489-ae44-b63364c37896,_location_special-town-search,application,2026-01-04 20:53:44.984000+05:30,2026-01-04,Sunday,'20:53:44.984000
f6e47633-649f-4489-ae44-b63364c37896,_location_elastic-town-search,application,2026-01-04 20:53:48.489000+05:30,2026-01-04,Sunday,'20:53:48.489000
f6e47633-649f-4489-ae44-b63364c37896,Buslist_date change,application,2026-01-04 20:54:01.858000+05:30,2026-01-04,Sunday,'20:54:01.858000
f6e47633-649f-4489-ae44-b63364c37896,_user,application,2026-01-04 20:54:02.050000+05:30,2026-01-04,Sunday,'20:54:02.050000
f6e47633-649f-4489-ae44-b63364c37896,pageview_bus_list,application,2026-01-04 20:54:02.073000+05:30,2026-01-04,Sunday,'20:54:02.073000
f6e47633-649f-4489-ae44-b63364c37896,_bus-search_user-bus-search,application,2026-01-04 20:54:02.143000+05:30,2026-01-04,Sunday,'20:54:02.143000
f6e47633-649f-4489-ae44-b63364c37896,_bus-search_list,application,2026-01-04 20:54:03.890000+05:30,2026-01-04,Sunday,'20:54:03.890000
f6e47633-649f-4489-ae44-b63364c37896,_rewards_best-V2,application,2026-01-04 20:54:04.871000+05:30,2026-01-04,Sunday,'20:54:04.871000
f6e47633-649f-4489-ae44-b63364c37896,Buslist_date change,application,2026-01-04 20:54:04.876000+05:30,2026-01-04,Sunday,'20:54:04.876000
f6e47633-649f-4489-ae44-b63364c37896,bus_search,application,2026-01-04 20:54:04.888000+05:30,2026-01-04,Sunday,'20:54:04.888000
f6e47633-649f-4489-ae44-b63364c37896,bus_result,application,2026-01-04 20:54:04.892000+05:30,2026-01-04,Sunday,'20:54:04.892000
f6e47633-649f-4489-ae44-b63364c37896,Buslist_date change,application,2026-01-04 20:54:22.544000+05:30,2026-01-04,Sunday,'20:54:22.544000
f6e47633-649f-4489-ae44-b63364c37896,_user,application,2026-01-04 20:54:22.977000+05:30,2026-01-04,Sunday,'20:54:22.977000
f6e47633-649f-4489-ae44-b63364c37896,_bus-search_user-bus-search,application,2026-01-04 20:54:22.990000+05:30,2026-01-04,Sunday,'20:54:22.990000
f6e47633-649f-4489-ae44-b63364c37896,pageview_bus_list,application,2026-01-04 20:54:23.031000+05:30,2026-01-04,Sunday,'20:54:23.031000
f6e47633-649f-4489-ae44-b63364c37896,_bus-search_list,application,2026-01-04 20:54:25.034000+05:30,2026-01-04,Sunday,'20:54:25.034000
f6e47633-649f-4489-ae44-b63364c37896,Journey Started,system,2026-01-04 20:54:25.283000+05:30,2026-01-04,Sunday,'20:54:25.283000
f6e47633-649f-4489-ae44-b63364c37896,Buslist_date change,application,2026-01-04 20:54:25.522000+05:30,2026-01-04,Sunday,'20:54:25.522000
f6e47633-649f-4489-ae44-b63364c37896,_bus-search_user-bus-search,application,2026-01-04 20:54:25.886000+05:30,2026-01-04,Sunday,'20:54:25.886000
f6e47633-649f-4489-ae44-b63364c37896,_user,application,2026-01-04 20:54:25.897000+05:30,2026-01-04,Sunday,'20:54:25.897000
f6e47633-649f-4489-ae44-b63364c37896,pageview_bus_list,application,2026-01-04 20:54:25.907000+05:30,2026-01-04,Sunday,'20:54:25.907000
f6e47633-649f-4489-ae44-b63364c37896,_bus-search_list,application,2026-01-04 20:54:27.102000+05:30,2026-01-04,Sunday,'20:54:27.102000
f6e47633-649f-4489-ae44-b63364c37896,_rewards_best-V2,application,2026-01-04 20:54:27.345000+05:30,2026-01-04,Sunday,'20:54:27.345000
f6e47633-649f-4489-ae44-b63364c37896,Buslist_date change,application,2026-01-04 20:54:27.353000+05:30,2026-01-04,Sunday,'20:54:27.353000
f6e47633-649f-4489-ae44-b63364c37896,bus_search,application,2026-01-04 20:54:27.361000+05:30,2026-01-04,Sunday,'20:54:27.361000
f6e47633-649f-4489-ae44-b63364c37896,bus_result,application,2026-01-04 20:54:27.371000+05:30,2026-01-04,Sunday,'20:54:27.371000
f6e47633-649f-4489-ae44-b63364c37896,Buslist_date change,application,2026-01-04 20:54:31.527000+05:30,2026-01-04,Sunday,'20:54:31.527000
f6e47633-649f-4489-ae44-b63364c37896,_bus-search_user-bus-search,application,2026-01-04 20:54:31.675000+05:30,2026-01-04,Sunday,'20:54:31.675000
f6e47633-649f-4489-ae44-b63364c37896,_user,application,2026-01-04 20:54:31.692000+05:30,2026-01-04,Sunday,'20:54:31.692000
f6e47633-649f-4489-ae44-b63364c37896,pageview_bus_list,application,2026-01-04 20:54:31.697000+05:30,2026-01-04,Sunday,'20:54:31.697000
f6e47633-649f-4489-ae44-b63364c37896,_bus-search_list,application,2026-01-04 20:54:33.100000+05:30,2026-01-04,Sunday,'20:54:33.100000
f6e47633-649f-4489-ae44-b63364c37896,_rewards_best-V2,application,2026-01-04 20:54:33.302000+05:30,2026-01-04,Sunday,'20:54:33.302000
f6e47633-649f-4489-ae44-b63364c37896,Buslist_date change,application,2026-01-04 20:54:33.311000+05:30,2026-01-04,Sunday,'20:54:33.311000
f6e47633-649f-4489-ae44-b63364c37896,bus_search,application,2026-01-04 20:54:33.317000+05:30,2026-01-04,Sunday,'20:54:33.317000
f6e47633-649f-4489-ae44-b63364c37896,bus_result,application,2026-01-04 20:54:33.321000+05:30,2026-01-04,Sunday,'20:54:33.321000
f6e47633-649f-4489-ae44-b63364c37896,Buslist_Live Chat Icon,application,2026-01-04 20:54:37.468000+05:30,2026-01-04,Sunday,'20:54:37.468000
f6e47633-649f-4489-ae44-b63364c37896,enquire_now,application,2026-01-04 20:54:37.505000+05:30,2026-01-04,Sunday,'20:54:37.505000
f6e47633-649f-4489-ae44-b63364c37896,_location_special-town-search,application,2026-01-04 20:54:45.535000+05:30,2026-01-04,Sunday,'20:54:45.535000
f6e47633-649f-4489-ae44-b63364c37896,_location_elastic-town-search,application,2026-01-04 20:54:45.676000+05:30,2026-01-04,Sunday,'20:54:45.676000
f6e47633-649f-4489-ae44-b63364c37896,Buslist_date change,application,2026-01-04 20:54:56.856000+05:30,2026-01-04,Sunday,'20:54:56.856000
f6e47633-649f-4489-ae44-b63364c37896,_user,application,2026-01-04 20:54:57.051000+05:30,2026-01-04,Sunday,'20:54:57.051000
