user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
fc6f4dbf-6eee-496c-adac-bcd101d84909,DeviceInfo,application,2026-01-01 23:18:19.057000+05:30,2026-01-01,Thursday,'23:18:19.057000
fc6f4dbf-6eee-496c-adac-bcd101d84909,Session Started,system,2026-01-01 23:18:20.833000+05:30,2026-01-01,Thursday,'23:18:20.833000
fc6f4dbf-6eee-496c-adac-bcd101d84909,App Installed,system,2026-01-01 23:18:24.963000+05:30,2026-01-01,Thursday,'23:18:24.963000
fc6f4dbf-6eee-496c-adac-bcd101d84909,Journey Started,system,2026-01-01 23:18:24.979000+05:30,2026-01-01,Thursday,'23:18:24.979000
fc6f4dbf-6eee-496c-adac-bcd101d84909,app_start,application,2026-01-01 23:18:26.337000+05:30,2026-01-01,Thursday,'23:18:26.337000
fc6f4dbf-6eee-496c-adac-bcd101d84909,Session Started,system,2026-01-01 23:26:37.867000+05:30,2026-01-01,Thursday,'23:26:37.867000
fc6f4dbf-6eee-496c-adac-bcd101d84909,choose_language,application,2026-01-01 23:26:41.022000+05:30,2026-01-01,Thursday,'23:26:41.022000
fc6f4dbf-6eee-496c-adac-bcd101d84909,Onboarding_Language,application,2026-01-01 23:26:41.035000+05:30,2026-01-01,Thursday,'23:26:41.035000
fc6f4dbf-6eee-496c-adac-bcd101d84909,generate_otp,application,2026-01-01 23:26:54.860000+05:30,2026-01-01,Thursday,'23:26:54.860000
fc6f4dbf-6eee-496c-adac-bcd101d84909,Onboarding_get_otp,application,2026-01-01 23:26:54.860000+05:30,2026-01-01,Thursday,'23:26:54.860000
fc6f4dbf-6eee-496c-adac-bcd101d84909,Journey Started,system,2026-01-01 23:26:54.877000+05:30,2026-01-01,Thursday,'23:26:54.877000
fc6f4dbf-6eee-496c-adac-bcd101d84909,Journey Ended,system,2026-01-01 23:26:54.877000+05:30,2026-01-01,Thursday,'23:26:54.877000
fc6f4dbf-6eee-496c-adac-bcd101d84909,_auth_generate-otp,application,2026-01-01 23:26:57.691000+05:30,2026-01-01,Thursday,'23:26:57.691000
fc6f4dbf-6eee-496c-adac-bcd101d84909,get_otp,application,2026-01-01 23:26:57.706000+05:30,2026-01-01,Thursday,'23:26:57.706000
fc6f4dbf-6eee-496c-adac-bcd101d84909,Onboarding_signup_,application,2026-01-01 23:26:57.731000+05:30,2026-01-01,Thursday,'23:26:57.731000
