user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
fdc506c8-1a2a-4e92-9a73-35706ed9b395,DeviceInfo,application,2026-01-14 13:19:36.918000+05:30,2026-01-14,Wednesday,'13:19:36.918000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,Session Started,system,2026-01-14 13:19:37.196000+05:30,2026-01-14,Wednesday,'13:19:37.196000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,App Installed,system,2026-01-14 13:19:37.309000+05:30,2026-01-14,Wednesday,'13:19:37.309000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,Journey Started,system,2026-01-14 13:19:37.983000+05:30,2026-01-14,Wednesday,'13:19:37.983000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,app_start,application,2026-01-14 13:19:38.069000+05:30,2026-01-14,Wednesday,'13:19:38.069000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,Push Subscribe Process - Device Registered (Push),system,2026-01-14 13:19:38.314000+05:30,2026-01-14,Wednesday,'13:19:38.314000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,choose_language,application,2026-01-14 13:19:40.724000+05:30,2026-01-14,Wednesday,'13:19:40.724000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,Onboarding_Language,application,2026-01-14 13:19:40.736000+05:30,2026-01-14,Wednesday,'13:19:40.736000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,choose_language,application,2026-01-14 13:19:42.247000+05:30,2026-01-14,Wednesday,'13:19:42.247000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,Onboarding_Language,application,2026-01-14 13:19:42.283000+05:30,2026-01-14,Wednesday,'13:19:42.283000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,Journey Ended,system,2026-01-14 13:19:42.944000+05:30,2026-01-14,Wednesday,'13:19:42.944000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,Journey Started,system,2026-01-14 13:19:42.944000+05:30,2026-01-14,Wednesday,'13:19:42.944000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,Journey Ended,system,2026-01-14 13:19:42.951000+05:30,2026-01-14,Wednesday,'13:19:42.951000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,Journey Started,system,2026-01-14 13:19:42.951000+05:30,2026-01-14,Wednesday,'13:19:42.951000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,generate_otp,application,2026-01-14 13:19:50.511000+05:30,2026-01-14,Wednesday,'13:19:50.511000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,Onboarding_get_otp,application,2026-01-14 13:19:50.526000+05:30,2026-01-14,Wednesday,'13:19:50.526000
fdc506c8-1a2a-4e92-9a73-35706ed9b395,_auth_generate-otp,application,2026-01-14 13:19:51.989000+05:30,2026-01-14,Wednesday,'13:19:51.989000
