user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ff44ab4f-bd41-4718-83a7-7e7ac2062005,DeviceInfo,application,2026-01-10 23:41:16.774000+05:30,2026-01-10,Saturday,'23:41:16.774000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Session Started,system,2026-01-10 23:41:17.087000+05:30,2026-01-10,Saturday,'23:41:17.087000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,App Installed,system,2026-01-10 23:41:17.128000+05:30,2026-01-10,Saturday,'23:41:17.128000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Journey Started,system,2026-01-10 23:41:17.487000+05:30,2026-01-10,Saturday,'23:41:17.487000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,app_start,application,2026-01-10 23:41:17.904000+05:30,2026-01-10,Saturday,'23:41:17.904000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Push Subscribe Process - Device Registered (Push),system,2026-01-10 23:41:18.490000+05:30,2026-01-10,Saturday,'23:41:18.490000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,choose_language,application,2026-01-10 23:41:21.250000+05:30,2026-01-10,Saturday,'23:41:21.250000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Onboarding_Language,application,2026-01-10 23:41:21.255000+05:30,2026-01-10,Saturday,'23:41:21.255000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,generate_otp,application,2026-01-10 23:41:28.729000+05:30,2026-01-10,Saturday,'23:41:28.729000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Onboarding_get_otp,application,2026-01-10 23:41:28.745000+05:30,2026-01-10,Saturday,'23:41:28.745000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Journey Started,system,2026-01-10 23:41:29.228000+05:30,2026-01-10,Saturday,'23:41:29.228000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Journey Ended,system,2026-01-10 23:41:29.229000+05:30,2026-01-10,Saturday,'23:41:29.229000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_auth_generate-otp,application,2026-01-10 23:41:29.519000+05:30,2026-01-10,Saturday,'23:41:29.519000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,get_otp,application,2026-01-10 23:41:29.526000+05:30,2026-01-10,Saturday,'23:41:29.526000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Onboarding_signup_,application,2026-01-10 23:41:29.565000+05:30,2026-01-10,Saturday,'23:41:29.565000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,verify_otp,application,2026-01-10 23:41:33.233000+05:30,2026-01-10,Saturday,'23:41:33.233000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_auth_verify-otp,application,2026-01-10 23:41:33.469000+05:30,2026-01-10,Saturday,'23:41:33.469000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,enter_otp,application,2026-01-10 23:41:33.518000+05:30,2026-01-10,Saturday,'23:41:33.518000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,User Login,system,2026-01-10 23:41:33.559000+05:30,2026-01-10,Saturday,'23:41:33.559000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,login,application,2026-01-10 23:41:33.735000+05:30,2026-01-10,Saturday,'23:41:33.735000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_user,application,2026-01-10 23:41:33.776000+05:30,2026-01-10,Saturday,'23:41:33.776000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_location_from-town,application,2026-01-10 23:41:34.207000+05:30,2026-01-10,Saturday,'23:41:34.207000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Onboarding_Profile Saved,application,2026-01-10 23:41:35.104000+05:30,2026-01-10,Saturday,'23:41:35.104000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_user,application,2026-01-10 23:41:40.945000+05:30,2026-01-10,Saturday,'23:41:40.945000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_history_recommended-journey,application,2026-01-10 23:41:44.785000+05:30,2026-01-10,Saturday,'23:41:44.785000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_location_from-town,application,2026-01-10 23:41:44.792000+05:30,2026-01-10,Saturday,'23:41:44.792000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_user_device,application,2026-01-10 23:41:44.843000+05:30,2026-01-10,Saturday,'23:41:44.843000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_user,application,2026-01-10 23:41:44.900000+05:30,2026-01-10,Saturday,'23:41:44.900000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_ticket,application,2026-01-10 23:41:45+05:30,2026-01-10,Saturday,'23:41:45.000000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_location_special-town-search,application,2026-01-10 23:41:45.016000+05:30,2026-01-10,Saturday,'23:41:45.016000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_location_elastic-town-search,application,2026-01-10 23:41:46.577000+05:30,2026-01-10,Saturday,'23:41:46.577000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_location_special-town-search,application,2026-01-10 23:41:53.527000+05:30,2026-01-10,Saturday,'23:41:53.527000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_location_elastic-town-search,application,2026-01-10 23:41:55.550000+05:30,2026-01-10,Saturday,'23:41:55.550000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_location_special-town-search,application,2026-01-10 23:42:14.962000+05:30,2026-01-10,Saturday,'23:42:14.962000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_location_elastic-town-search,application,2026-01-10 23:42:15.119000+05:30,2026-01-10,Saturday,'23:42:15.119000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Buslist_date change,application,2026-01-10 23:42:39.535000+05:30,2026-01-10,Saturday,'23:42:39.535000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_user,application,2026-01-10 23:42:39.712000+05:30,2026-01-10,Saturday,'23:42:39.712000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,pageview_bus_list,application,2026-01-10 23:42:39.727000+05:30,2026-01-10,Saturday,'23:42:39.727000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_bus-search_user-bus-search,application,2026-01-10 23:42:39.858000+05:30,2026-01-10,Saturday,'23:42:39.858000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_bus-search_list,application,2026-01-10 23:42:44.065000+05:30,2026-01-10,Saturday,'23:42:44.065000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_rewards_best-V2,application,2026-01-10 23:42:44.571000+05:30,2026-01-10,Saturday,'23:42:44.571000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Buslist_date change,application,2026-01-10 23:42:44.588000+05:30,2026-01-10,Saturday,'23:42:44.588000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,bus_search,application,2026-01-10 23:42:44.694000+05:30,2026-01-10,Saturday,'23:42:44.694000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,bus_result,application,2026-01-10 23:42:44.715000+05:30,2026-01-10,Saturday,'23:42:44.715000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Buslist_bus_selection,application,2026-01-10 23:43:02.166000+05:30,2026-01-10,Saturday,'23:43:02.166000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,bus_detail,application,2026-01-10 23:43:02.195000+05:30,2026-01-10,Saturday,'23:43:02.195000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,pageview_seat_selection,application,2026-01-10 23:43:02.237000+05:30,2026-01-10,Saturday,'23:43:02.237000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,SeatSelection_Click On Back,application,2026-01-10 23:43:02.274000+05:30,2026-01-10,Saturday,'23:43:02.274000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_profile,application,2026-01-10 23:43:02.435000+05:30,2026-01-10,Saturday,'23:43:02.435000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Journey Started,system,2026-01-10 23:43:02.523000+05:30,2026-01-10,Saturday,'23:43:02.523000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Journey Ended,system,2026-01-10 23:43:02.526000+05:30,2026-01-10,Saturday,'23:43:02.526000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Journey Started,system,2026-01-10 23:43:02.529000+05:30,2026-01-10,Saturday,'23:43:02.529000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_bus-search_v2_layout,application,2026-01-10 23:43:02.579000+05:30,2026-01-10,Saturday,'23:43:02.579000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,select_seat,application,2026-01-10 23:43:13.913000+05:30,2026-01-10,Saturday,'23:43:13.913000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Journey Ended,system,2026-01-10 23:43:25.004000+05:30,2026-01-10,Saturday,'23:43:25.004000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,select_seat,application,2026-01-10 23:43:26.565000+05:30,2026-01-10,Saturday,'23:43:26.565000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,boarding_change_pickup,application,2026-01-10 23:43:32.034000+05:30,2026-01-10,Saturday,'23:43:32.034000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,seats_finalized,application,2026-01-10 23:43:40.854000+05:30,2026-01-10,Saturday,'23:43:40.854000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Boarding_drop_locations,application,2026-01-10 23:43:40.886000+05:30,2026-01-10,Saturday,'23:43:40.886000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,pageview_booking_details,application,2026-01-10 23:43:41.670000+05:30,2026-01-10,Saturday,'23:43:41.670000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,auto_apply_coupon,application,2026-01-10 23:43:41.701000+05:30,2026-01-10,Saturday,'23:43:41.701000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_bus-search_get-distance,application,2026-01-10 23:43:41.920000+05:30,2026-01-10,Saturday,'23:43:41.920000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_ticket,application,2026-01-10 23:43:41.928000+05:30,2026-01-10,Saturday,'23:43:41.928000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_profile,application,2026-01-10 23:43:41.933000+05:30,2026-01-10,Saturday,'23:43:41.933000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,Journey Started,system,2026-01-10 23:43:42.068000+05:30,2026-01-10,Saturday,'23:43:42.068000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,_coupon,application,2026-01-10 23:43:42.150000+05:30,2026-01-10,Saturday,'23:43:42.150000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,PaymentPage_DiscountApplied,application,2026-01-10 23:43:42.184000+05:30,2026-01-10,Saturday,'23:43:42.184000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,PaymentPage_Click On Back,application,2026-01-10 23:43:47.973000+05:30,2026-01-10,Saturday,'23:43:47.973000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,booking_page_dropoff,application,2026-01-10 23:43:47.990000+05:30,2026-01-10,Saturday,'23:43:47.990000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,booking_dropoff_popup,application,2026-01-10 23:43:49.279000+05:30,2026-01-10,Saturday,'23:43:49.279000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,PaymentPage_Click On Back,application,2026-01-10 23:43:49.952000+05:30,2026-01-10,Saturday,'23:43:49.952000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,booking_page_dropoff,application,2026-01-10 23:43:49.969000+05:30,2026-01-10,Saturday,'23:43:49.969000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,booking_dropoff_popup,application,2026-01-10 23:43:50.775000+05:30,2026-01-10,Saturday,'23:43:50.775000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,PaymentPage_Click On Back,application,2026-01-10 23:43:51.461000+05:30,2026-01-10,Saturday,'23:43:51.461000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,booking_page_dropoff,application,2026-01-10 23:43:51.476000+05:30,2026-01-10,Saturday,'23:43:51.476000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,booking_dropoff_popup,application,2026-01-10 23:43:52.718000+05:30,2026-01-10,Saturday,'23:43:52.718000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,checkout_backpress,application,2026-01-10 23:43:52.756000+05:30,2026-01-10,Saturday,'23:43:52.756000
ff44ab4f-bd41-4718-83a7-7e7ac2062005,backpress,application,2026-01-10 23:43:52.770000+05:30,2026-01-10,Saturday,'23:43:52.770000
