user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,App Installed,system,2026-01-02 19:29:30.254000+05:30,2026-01-02,Friday,'19:29:30.254000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Buslist_Live Chat Icon,application,2026-01-03 03:13:30.093000+05:30,2026-01-03,Saturday,'03:13:30.093000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Buslist_date change,application,2026-01-03 03:10:26.070000+05:30,2026-01-03,Saturday,'03:10:26.070000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Buslist_date change,application,2026-01-03 03:10:31.612000+05:30,2026-01-03,Saturday,'03:10:31.612000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Buslist_date change,application,2026-01-03 03:13:21.143000+05:30,2026-01-03,Saturday,'03:13:21.143000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Buslist_date change,application,2026-01-03 03:13:25.424000+05:30,2026-01-03,Saturday,'03:13:25.424000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Buslist_date change,application,2026-01-03 03:14:06.920000+05:30,2026-01-03,Saturday,'03:14:06.920000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Buslist_date change,application,2026-01-03 03:14:10.166000+05:30,2026-01-03,Saturday,'03:14:10.166000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Buslist_date change,application,2026-01-03 03:14:35.611000+05:30,2026-01-03,Saturday,'03:14:35.611000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Buslist_date change,application,2026-01-03 03:14:38.878000+05:30,2026-01-03,Saturday,'03:14:38.878000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,DeviceInfo,application,2026-01-02 19:29:26.244000+05:30,2026-01-02,Friday,'19:29:26.244000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Journey Ended,system,2026-01-02 19:30:20.050000+05:30,2026-01-02,Friday,'19:30:20.050000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Journey Ended,system,2026-01-03 03:08:23.536000+05:30,2026-01-03,Saturday,'03:08:23.536000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Journey Ended,system,2026-01-03 09:26:29.560000+05:30,2026-01-03,Saturday,'09:26:29.560000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Journey Started,system,2026-01-02 19:29:31.408000+05:30,2026-01-02,Friday,'19:29:31.408000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Journey Started,system,2026-01-02 19:30:20.050000+05:30,2026-01-02,Friday,'19:30:20.050000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Journey Started,system,2026-01-03 03:08:23.536000+05:30,2026-01-03,Saturday,'03:08:23.536000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Journey Started,system,2026-01-03 03:10:32.953000+05:30,2026-01-03,Saturday,'03:10:32.953000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_Language,application,2026-01-02 19:29:39.891000+05:30,2026-01-02,Friday,'19:29:39.891000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_Language,application,2026-01-03 03:08:06.169000+05:30,2026-01-03,Saturday,'03:08:06.169000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_Profile Saved,application,2026-01-03 03:08:30.376000+05:30,2026-01-03,Saturday,'03:08:30.376000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:31:12.405000+05:30,2026-01-02,Friday,'19:31:12.405000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:31:15.614000+05:30,2026-01-02,Friday,'19:31:15.614000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:31:55.907000+05:30,2026-01-02,Friday,'19:31:55.907000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:31:57.390000+05:30,2026-01-02,Friday,'19:31:57.390000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:31:59.441000+05:30,2026-01-02,Friday,'19:31:59.441000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:32:00.728000+05:30,2026-01-02,Friday,'19:32:00.728000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:32:01.937000+05:30,2026-01-02,Friday,'19:32:01.937000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:32:03.106000+05:30,2026-01-02,Friday,'19:32:03.106000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:32:05.090000+05:30,2026-01-02,Friday,'19:32:05.090000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:32:06.291000+05:30,2026-01-02,Friday,'19:32:06.291000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_backpressed,application,2026-01-02 19:32:09.127000+05:30,2026-01-02,Friday,'19:32:09.127000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_get_otp,application,2026-01-02 19:30:02.880000+05:30,2026-01-02,Friday,'19:30:02.880000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_get_otp,application,2026-01-02 19:30:37.699000+05:30,2026-01-02,Friday,'19:30:37.699000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_get_otp,application,2026-01-02 19:31:34.247000+05:30,2026-01-02,Friday,'19:31:34.247000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_get_otp,application,2026-01-03 03:08:22.469000+05:30,2026-01-03,Saturday,'03:08:22.469000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Onboarding_signup_,application,2026-01-03 03:08:23.532000+05:30,2026-01-03,Saturday,'03:08:23.532000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-03 03:25:58.808000+05:30,2026-01-03,Saturday,'03:25:58.808000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-03 19:29:43.164000+05:30,2026-01-03,Saturday,'19:29:43.164000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-04 19:29:54.014000+05:30,2026-01-04,Sunday,'19:29:54.014000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-05 19:30:21.849000+05:30,2026-01-05,Monday,'19:30:21.849000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-06 19:30:50.697000+05:30,2026-01-06,Tuesday,'19:30:50.697000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-07 19:30:56.837000+05:30,2026-01-07,Wednesday,'19:30:56.837000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-09 19:31:26.519000+05:30,2026-01-09,Friday,'19:31:26.519000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-11 19:31:46.289000+05:30,2026-01-11,Sunday,'19:31:46.289000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-13 19:32:14.534000+05:30,2026-01-13,Tuesday,'19:32:14.534000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-15 19:32:38.667000+05:30,2026-01-15,Thursday,'19:32:38.667000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Failure,system,2026-01-17 19:33:09.968000+05:30,2026-01-17,Saturday,'19:33:09.968000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Push Subscribe Process - Device Registered (Push),system,2026-01-02 19:29:31.877000+05:30,2026-01-02,Friday,'19:29:31.877000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Session Started,system,2026-01-02 19:29:30.192000+05:30,2026-01-02,Friday,'19:29:30.192000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Session Started,system,2026-01-02 19:32:25.059000+05:30,2026-01-02,Friday,'19:32:25.059000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,Session Started,system,2026-01-03 03:07:54.429000+05:30,2026-01-03,Saturday,'03:07:54.429000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,User Login,system,2026-01-03 03:08:25.880000+05:30,2026-01-03,Saturday,'03:08:25.880000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_auth_generate-otp,application,2026-01-03 03:08:23.493000+05:30,2026-01-03,Saturday,'03:08:23.493000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_auth_verify-otp,application,2026-01-03 03:08:25.795000+05:30,2026-01-03,Saturday,'03:08:25.795000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_bus-search_list,application,2026-01-03 03:10:30.837000+05:30,2026-01-03,Saturday,'03:10:30.837000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_bus-search_list,application,2026-01-03 03:13:24.802000+05:30,2026-01-03,Saturday,'03:13:24.802000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_bus-search_list,application,2026-01-03 03:14:09.904000+05:30,2026-01-03,Saturday,'03:14:09.904000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_bus-search_list,application,2026-01-03 03:14:38.650000+05:30,2026-01-03,Saturday,'03:14:38.650000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_bus-search_user-bus-search,application,2026-01-03 03:10:26.750000+05:30,2026-01-03,Saturday,'03:10:26.750000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_bus-search_user-bus-search,application,2026-01-03 03:13:22.178000+05:30,2026-01-03,Saturday,'03:13:22.178000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_bus-search_user-bus-search,application,2026-01-03 03:14:07.489000+05:30,2026-01-03,Saturday,'03:14:07.489000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_bus-search_user-bus-search,application,2026-01-03 03:14:36.385000+05:30,2026-01-03,Saturday,'03:14:36.385000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_history_recommended-journey,application,2026-01-03 03:08:46.979000+05:30,2026-01-03,Saturday,'03:08:46.979000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:03.060000+05:30,2026-01-03,Saturday,'03:09:03.060000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:08.930000+05:30,2026-01-03,Saturday,'03:09:08.930000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:09.538000+05:30,2026-01-03,Saturday,'03:09:09.538000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:16.677000+05:30,2026-01-03,Saturday,'03:09:16.677000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:16.856000+05:30,2026-01-03,Saturday,'03:09:16.856000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:29.620000+05:30,2026-01-03,Saturday,'03:09:29.620000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:36.227000+05:30,2026-01-03,Saturday,'03:09:36.227000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:36.442000+05:30,2026-01-03,Saturday,'03:09:36.442000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:37.806000+05:30,2026-01-03,Saturday,'03:09:37.806000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:38.005000+05:30,2026-01-03,Saturday,'03:09:38.005000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:40.035000+05:30,2026-01-03,Saturday,'03:09:40.035000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:40.223000+05:30,2026-01-03,Saturday,'03:09:40.223000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:47.296000+05:30,2026-01-03,Saturday,'03:09:47.296000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:51.612000+05:30,2026-01-03,Saturday,'03:09:51.612000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:51.774000+05:30,2026-01-03,Saturday,'03:09:51.774000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:53.689000+05:30,2026-01-03,Saturday,'03:09:53.689000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:09:53.865000+05:30,2026-01-03,Saturday,'03:09:53.865000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:01.490000+05:30,2026-01-03,Saturday,'03:11:01.490000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:08.494000+05:30,2026-01-03,Saturday,'03:11:08.494000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:09.175000+05:30,2026-01-03,Saturday,'03:11:09.175000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:09.356000+05:30,2026-01-03,Saturday,'03:11:09.356000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:09.691000+05:30,2026-01-03,Saturday,'03:11:09.691000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:10.537000+05:30,2026-01-03,Saturday,'03:11:10.537000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:17.075000+05:30,2026-01-03,Saturday,'03:11:17.075000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:17.381000+05:30,2026-01-03,Saturday,'03:11:17.381000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:18.937000+05:30,2026-01-03,Saturday,'03:11:18.937000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:19.237000+05:30,2026-01-03,Saturday,'03:11:19.237000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:23.507000+05:30,2026-01-03,Saturday,'03:11:23.507000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:23.686000+05:30,2026-01-03,Saturday,'03:11:23.686000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:26.752000+05:30,2026-01-03,Saturday,'03:11:26.752000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:26.920000+05:30,2026-01-03,Saturday,'03:11:26.920000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:27.787000+05:30,2026-01-03,Saturday,'03:11:27.787000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:27.968000+05:30,2026-01-03,Saturday,'03:11:27.968000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:32.881000+05:30,2026-01-03,Saturday,'03:11:32.881000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_elastic-town-search,application,2026-01-03 03:11:33.079000+05:30,2026-01-03,Saturday,'03:11:33.079000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_from-town,application,2026-01-03 03:08:26.941000+05:30,2026-01-03,Saturday,'03:08:26.941000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_from-town,application,2026-01-03 03:08:46.931000+05:30,2026-01-03,Saturday,'03:08:46.931000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_special-town-search,application,2026-01-03 03:08:47.629000+05:30,2026-01-03,Saturday,'03:08:47.629000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_special-town-search,application,2026-01-03 03:09:03.018000+05:30,2026-01-03,Saturday,'03:09:03.018000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_special-town-search,application,2026-01-03 03:09:29.257000+05:30,2026-01-03,Saturday,'03:09:29.257000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_location_special-town-search,application,2026-01-03 03:11:01.214000+05:30,2026-01-03,Saturday,'03:11:01.214000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_rewards_best-V2,application,2026-01-03 03:10:31.596000+05:30,2026-01-03,Saturday,'03:10:31.596000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_rewards_best-V2,application,2026-01-03 03:13:25.360000+05:30,2026-01-03,Saturday,'03:13:25.360000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_rewards_best-V2,application,2026-01-03 03:14:10.116000+05:30,2026-01-03,Saturday,'03:14:10.116000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_rewards_best-V2,application,2026-01-03 03:14:38.853000+05:30,2026-01-03,Saturday,'03:14:38.853000
ff5f3f20-17af-49c8-91b6-e7d162ca06fa,_ticket,application,2026-01-03 03:08:47.601000+05:30,2026-01-03,Saturday,'03:08:47.601000
