user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,DeviceInfo,application,2026-01-16 21:57:17.657000+05:30,2026-01-16,Friday,'21:57:17.657000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Session Started,system,2026-01-16 21:57:17.933000+05:30,2026-01-16,Friday,'21:57:17.933000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,App Installed,system,2026-01-16 21:57:18.034000+05:30,2026-01-16,Friday,'21:57:18.034000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Journey Started,system,2026-01-16 21:57:18.362000+05:30,2026-01-16,Friday,'21:57:18.362000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,app_start,application,2026-01-16 21:57:18.872000+05:30,2026-01-16,Friday,'21:57:18.872000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Push Subscribe Process - Device Registered (Push),system,2026-01-16 21:57:18.936000+05:30,2026-01-16,Friday,'21:57:18.936000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,choose_language,application,2026-01-16 21:57:21.721000+05:30,2026-01-16,Friday,'21:57:21.721000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Onboarding_Language,application,2026-01-16 21:57:21.749000+05:30,2026-01-16,Friday,'21:57:21.749000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,choose_language,application,2026-01-16 21:57:22.165000+05:30,2026-01-16,Friday,'21:57:22.165000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Onboarding_Language,application,2026-01-16 21:57:22.182000+05:30,2026-01-16,Friday,'21:57:22.182000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Journey Started,system,2026-01-16 21:57:22.364000+05:30,2026-01-16,Friday,'21:57:22.364000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Journey Ended,system,2026-01-16 21:57:22.365000+05:30,2026-01-16,Friday,'21:57:22.365000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Journey Started,system,2026-01-16 21:57:22.371000+05:30,2026-01-16,Friday,'21:57:22.371000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Journey Ended,system,2026-01-16 21:57:22.371000+05:30,2026-01-16,Friday,'21:57:22.371000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,generate_otp,application,2026-01-16 21:57:28.668000+05:30,2026-01-16,Friday,'21:57:28.668000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Onboarding_get_otp,application,2026-01-16 21:57:28.696000+05:30,2026-01-16,Friday,'21:57:28.696000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_auth_generate-otp,application,2026-01-16 21:57:30.044000+05:30,2026-01-16,Friday,'21:57:30.044000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,get_otp,application,2026-01-16 21:57:30.054000+05:30,2026-01-16,Friday,'21:57:30.054000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Onboarding_signup_,application,2026-01-16 21:57:30.085000+05:30,2026-01-16,Friday,'21:57:30.085000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,verify_otp,application,2026-01-16 21:57:44.546000+05:30,2026-01-16,Friday,'21:57:44.546000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_auth_verify-otp,application,2026-01-16 21:57:44.713000+05:30,2026-01-16,Friday,'21:57:44.713000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,enter_otp,application,2026-01-16 21:57:44.753000+05:30,2026-01-16,Friday,'21:57:44.753000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,User Login,system,2026-01-16 21:57:44.821000+05:30,2026-01-16,Friday,'21:57:44.821000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,login,application,2026-01-16 21:57:44.932000+05:30,2026-01-16,Friday,'21:57:44.932000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_user,application,2026-01-16 21:57:44.952000+05:30,2026-01-16,Friday,'21:57:44.952000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_location_from-town,application,2026-01-16 21:57:45.313000+05:30,2026-01-16,Friday,'21:57:45.313000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Onboarding_Profile Saved,application,2026-01-16 21:57:46.067000+05:30,2026-01-16,Friday,'21:57:46.067000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_user,application,2026-01-16 21:57:52.384000+05:30,2026-01-16,Friday,'21:57:52.384000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_history_recommended-journey,application,2026-01-16 21:57:54.403000+05:30,2026-01-16,Friday,'21:57:54.403000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_user_device,application,2026-01-16 21:57:54.520000+05:30,2026-01-16,Friday,'21:57:54.520000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_location_from-town,application,2026-01-16 21:57:54.580000+05:30,2026-01-16,Friday,'21:57:54.580000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_user,application,2026-01-16 21:57:54.590000+05:30,2026-01-16,Friday,'21:57:54.590000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_ticket,application,2026-01-16 21:57:54.719000+05:30,2026-01-16,Friday,'21:57:54.719000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_location_special-town-search,application,2026-01-16 21:57:54.735000+05:30,2026-01-16,Friday,'21:57:54.735000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_location_elastic-town-search,application,2026-01-16 21:57:56.305000+05:30,2026-01-16,Friday,'21:57:56.305000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_location_special-town-search,application,2026-01-16 21:58:19.118000+05:30,2026-01-16,Friday,'21:58:19.118000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_location_elastic-town-search,application,2026-01-16 21:58:19.206000+05:30,2026-01-16,Friday,'21:58:19.206000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_location_special-town-search,application,2026-01-16 21:58:32.507000+05:30,2026-01-16,Friday,'21:58:32.507000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_location_elastic-town-search,application,2026-01-16 21:58:32.640000+05:30,2026-01-16,Friday,'21:58:32.640000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,Buslist_date change,application,2026-01-16 21:58:44.157000+05:30,2026-01-16,Friday,'21:58:44.157000
ffe6d8bd-bde3-4bf9-873b-6fc58b73203e,_user,application,2026-01-16 21:58:44.408000+05:30,2026-01-16,Friday,'21:58:44.408000
