user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,DeviceInfo,application,2026-01-10 18:00:00.550000+05:30,2026-01-10,Saturday,'18:00:00.550000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,Session Started,system,2026-01-10 18:00:01.356000+05:30,2026-01-10,Saturday,'18:00:01.356000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,App Installed,system,2026-01-10 18:00:01.499000+05:30,2026-01-10,Saturday,'18:00:01.499000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,Push Subscribe Process - Device Registered (Push),system,2026-01-10 18:00:05.367000+05:30,2026-01-10,Saturday,'18:00:05.367000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,Journey Started,system,2026-01-10 18:00:06.286000+05:30,2026-01-10,Saturday,'18:00:06.286000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,app_start,application,2026-01-10 18:00:08.117000+05:30,2026-01-10,Saturday,'18:00:08.117000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,Onboarding_backpressed,application,2026-01-10 18:00:13.617000+05:30,2026-01-10,Saturday,'18:00:13.617000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,choose_language,application,2026-01-10 18:00:45.921000+05:30,2026-01-10,Saturday,'18:00:45.921000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,Onboarding_Language,application,2026-01-10 18:00:45.942000+05:30,2026-01-10,Saturday,'18:00:45.942000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,generate_otp,application,2026-01-10 18:01:26.143000+05:30,2026-01-10,Saturday,'18:01:26.143000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,Onboarding_get_otp,application,2026-01-10 18:01:26.190000+05:30,2026-01-10,Saturday,'18:01:26.190000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,Journey Ended,system,2026-01-10 18:01:26.257000+05:30,2026-01-10,Saturday,'18:01:26.257000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,Journey Started,system,2026-01-10 18:01:26.257000+05:30,2026-01-10,Saturday,'18:01:26.257000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,_auth_generate-otp,application,2026-01-10 18:01:32.470000+05:30,2026-01-10,Saturday,'18:01:32.470000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,get_otp,application,2026-01-10 18:01:32.489000+05:30,2026-01-10,Saturday,'18:01:32.489000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,Onboarding_signup_,application,2026-01-10 18:01:32.686000+05:30,2026-01-10,Saturday,'18:01:32.686000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,_auth_verify-otp,application,2026-01-10 18:01:34.501000+05:30,2026-01-10,Saturday,'18:01:34.501000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,verify_otp,application,2026-01-10 18:01:34.501000+05:30,2026-01-10,Saturday,'18:01:34.501000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,enter_otp,application,2026-01-10 18:01:34.979000+05:30,2026-01-10,Saturday,'18:01:34.979000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,User Login,system,2026-01-10 18:01:35.047000+05:30,2026-01-10,Saturday,'18:01:35.047000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,login,application,2026-01-10 18:01:35.237000+05:30,2026-01-10,Saturday,'18:01:35.237000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,_user,application,2026-01-10 18:01:35.345000+05:30,2026-01-10,Saturday,'18:01:35.345000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,Onboarding_Profile Saved,application,2026-01-10 18:01:38.639000+05:30,2026-01-10,Saturday,'18:01:38.639000
22fc039b-5ae9-4aa3-bba0-6559f80cc0fc,_location_from-town,application,2026-01-10 18:01:41.087000+05:30,2026-01-10,Saturday,'18:01:41.087000
