user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
24f3cc5a-00dd-4982-a077-02bdfeb447f0,DeviceInfo,application,2026-01-11 16:09:09.399000+05:30,2026-01-11,Sunday,'16:09:09.399000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,App Installed,system,2026-01-11 16:09:09.576000+05:30,2026-01-11,Sunday,'16:09:09.576000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Session Started,system,2026-01-11 16:09:09.576000+05:30,2026-01-11,Sunday,'16:09:09.576000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Journey Started,system,2026-01-11 16:09:09.587000+05:30,2026-01-11,Sunday,'16:09:09.587000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,app_start,application,2026-01-11 16:09:10.546000+05:30,2026-01-11,Sunday,'16:09:10.546000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,choose_language,application,2026-01-11 16:09:14.632000+05:30,2026-01-11,Sunday,'16:09:14.632000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Onboarding_Language,application,2026-01-11 16:09:14.679000+05:30,2026-01-11,Sunday,'16:09:14.679000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,choose_language,application,2026-01-11 16:09:17.104000+05:30,2026-01-11,Sunday,'16:09:17.104000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Journey Ended,system,2026-01-11 16:09:17.120000+05:30,2026-01-11,Sunday,'16:09:17.120000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Journey Started,system,2026-01-11 16:09:17.120000+05:30,2026-01-11,Sunday,'16:09:17.120000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Onboarding_Language,application,2026-01-11 16:09:17.244000+05:30,2026-01-11,Sunday,'16:09:17.244000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Onboarding_Language,application,2026-01-11 16:09:17.611000+05:30,2026-01-11,Sunday,'16:09:17.611000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,choose_language,application,2026-01-11 16:09:17.611000+05:30,2026-01-11,Sunday,'16:09:17.611000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Journey Ended,system,2026-01-11 16:09:17.630000+05:30,2026-01-11,Sunday,'16:09:17.630000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Journey Started,system,2026-01-11 16:09:17.630000+05:30,2026-01-11,Sunday,'16:09:17.630000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Onboarding_get_otp,application,2026-01-11 16:09:23.475000+05:30,2026-01-11,Sunday,'16:09:23.475000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,generate_otp,application,2026-01-11 16:09:23.475000+05:30,2026-01-11,Sunday,'16:09:23.475000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,_auth_generate-otp,application,2026-01-11 16:09:24.630000+05:30,2026-01-11,Sunday,'16:09:24.630000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,get_otp,application,2026-01-11 16:09:24.643000+05:30,2026-01-11,Sunday,'16:09:24.643000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,Onboarding_signup_,application,2026-01-11 16:09:24.663000+05:30,2026-01-11,Sunday,'16:09:24.663000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,verify_otp,application,2026-01-11 16:09:33.425000+05:30,2026-01-11,Sunday,'16:09:33.425000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,_auth_verify-otp,application,2026-01-11 16:09:33.656000+05:30,2026-01-11,Sunday,'16:09:33.656000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,enter_otp,application,2026-01-11 16:09:33.973000+05:30,2026-01-11,Sunday,'16:09:33.973000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,User Login,system,2026-01-11 16:09:34.032000+05:30,2026-01-11,Sunday,'16:09:34.032000
24f3cc5a-00dd-4982-a077-02bdfeb447f0,login,application,2026-01-11 16:09:34.363000+05:30,2026-01-11,Sunday,'16:09:34.363000
