user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
272b9609-513d-4245-92cb-482602cd427f,DeviceInfo,application,2026-01-01 19:43:18.940000+05:30,2026-01-01,Thursday,'19:43:18.940000
272b9609-513d-4245-92cb-482602cd427f,App Installed,system,2026-01-01 19:43:19.936000+05:30,2026-01-01,Thursday,'19:43:19.936000
272b9609-513d-4245-92cb-482602cd427f,Session Started,system,2026-01-01 19:43:19.936000+05:30,2026-01-01,Thursday,'19:43:19.936000
272b9609-513d-4245-92cb-482602cd427f,Journey Started,system,2026-01-01 19:43:19.961000+05:30,2026-01-01,Thursday,'19:43:19.961000
272b9609-513d-4245-92cb-482602cd427f,app_start,application,2026-01-01 19:43:27.255000+05:30,2026-01-01,Thursday,'19:43:27.255000
272b9609-513d-4245-92cb-482602cd427f,choose_language,application,2026-01-01 19:43:27.255000+05:30,2026-01-01,Thursday,'19:43:27.255000
272b9609-513d-4245-92cb-482602cd427f,Onboarding_Language,application,2026-01-01 19:43:27.256000+05:30,2026-01-01,Thursday,'19:43:27.256000
272b9609-513d-4245-92cb-482602cd427f,Journey Ended,system,2026-01-01 19:43:27.273000+05:30,2026-01-01,Thursday,'19:43:27.273000
272b9609-513d-4245-92cb-482602cd427f,Journey Started,system,2026-01-01 19:43:27.273000+05:30,2026-01-01,Thursday,'19:43:27.273000
272b9609-513d-4245-92cb-482602cd427f,Onboarding_Language,application,2026-01-01 19:43:31.071000+05:30,2026-01-01,Thursday,'19:43:31.071000
272b9609-513d-4245-92cb-482602cd427f,choose_language,application,2026-01-01 19:43:31.071000+05:30,2026-01-01,Thursday,'19:43:31.071000
272b9609-513d-4245-92cb-482602cd427f,Journey Ended,system,2026-01-01 19:43:31.118000+05:30,2026-01-01,Thursday,'19:43:31.118000
272b9609-513d-4245-92cb-482602cd427f,Journey Started,system,2026-01-01 19:43:31.118000+05:30,2026-01-01,Thursday,'19:43:31.118000
272b9609-513d-4245-92cb-482602cd427f,Onboarding_Language,application,2026-01-01 19:43:51.195000+05:30,2026-01-01,Thursday,'19:43:51.195000
272b9609-513d-4245-92cb-482602cd427f,Onboarding_get_otp,application,2026-01-01 19:43:51.195000+05:30,2026-01-01,Thursday,'19:43:51.195000
272b9609-513d-4245-92cb-482602cd427f,choose_language,application,2026-01-01 19:43:51.195000+05:30,2026-01-01,Thursday,'19:43:51.195000
272b9609-513d-4245-92cb-482602cd427f,generate_otp,application,2026-01-01 19:43:51.195000+05:30,2026-01-01,Thursday,'19:43:51.195000
272b9609-513d-4245-92cb-482602cd427f,Journey Ended,system,2026-01-01 19:43:51.227000+05:30,2026-01-01,Thursday,'19:43:51.227000
272b9609-513d-4245-92cb-482602cd427f,Journey Started,system,2026-01-01 19:43:51.227000+05:30,2026-01-01,Thursday,'19:43:51.227000
272b9609-513d-4245-92cb-482602cd427f,Onboarding_signup_,application,2026-01-01 19:44:13.057000+05:30,2026-01-01,Thursday,'19:44:13.057000
272b9609-513d-4245-92cb-482602cd427f,_auth_generate-otp,application,2026-01-01 19:44:13.057000+05:30,2026-01-01,Thursday,'19:44:13.057000
272b9609-513d-4245-92cb-482602cd427f,_auth_verify-otp,application,2026-01-01 19:44:13.057000+05:30,2026-01-01,Thursday,'19:44:13.057000
272b9609-513d-4245-92cb-482602cd427f,get_otp,application,2026-01-01 19:44:13.057000+05:30,2026-01-01,Thursday,'19:44:13.057000
272b9609-513d-4245-92cb-482602cd427f,verify_otp,application,2026-01-01 19:44:13.057000+05:30,2026-01-01,Thursday,'19:44:13.057000
272b9609-513d-4245-92cb-482602cd427f,enter_otp,application,2026-01-01 19:44:14.055000+05:30,2026-01-01,Thursday,'19:44:14.055000
272b9609-513d-4245-92cb-482602cd427f,Onboarding_Profile Saved,application,2026-01-01 19:44:16.053000+05:30,2026-01-01,Thursday,'19:44:16.053000
272b9609-513d-4245-92cb-482602cd427f,User Login,system,2026-01-01 19:44:16.053000+05:30,2026-01-01,Thursday,'19:44:16.053000
272b9609-513d-4245-92cb-482602cd427f,_location_from-town,application,2026-01-01 19:44:16.053000+05:30,2026-01-01,Thursday,'19:44:16.053000
272b9609-513d-4245-92cb-482602cd427f,_user,application,2026-01-01 19:44:16.053000+05:30,2026-01-01,Thursday,'19:44:16.053000
272b9609-513d-4245-92cb-482602cd427f,login,application,2026-01-01 19:44:16.053000+05:30,2026-01-01,Thursday,'19:44:16.053000
272b9609-513d-4245-92cb-482602cd427f,_user,application,2026-01-01 19:44:18.444000+05:30,2026-01-01,Thursday,'19:44:18.444000
272b9609-513d-4245-92cb-482602cd427f,_user,application,2026-01-01 19:44:23.980000+05:30,2026-01-01,Thursday,'19:44:23.980000
272b9609-513d-4245-92cb-482602cd427f,_history_recommended-journey,application,2026-01-01 19:44:23.981000+05:30,2026-01-01,Thursday,'19:44:23.981000
272b9609-513d-4245-92cb-482602cd427f,_location_from-town,application,2026-01-01 19:44:23.981000+05:30,2026-01-01,Thursday,'19:44:23.981000
272b9609-513d-4245-92cb-482602cd427f,_user_device,application,2026-01-01 19:44:23.981000+05:30,2026-01-01,Thursday,'19:44:23.981000
272b9609-513d-4245-92cb-482602cd427f,_location_special-town-search,application,2026-01-01 19:44:24.443000+05:30,2026-01-01,Thursday,'19:44:24.443000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:44:50.681000+05:30,2026-01-01,Thursday,'19:44:50.681000
272b9609-513d-4245-92cb-482602cd427f,_location_special-town-search,application,2026-01-01 19:44:50.681000+05:30,2026-01-01,Thursday,'19:44:50.681000
272b9609-513d-4245-92cb-482602cd427f,_ticket,application,2026-01-01 19:44:50.681000+05:30,2026-01-01,Thursday,'19:44:50.681000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:45:19.772000+05:30,2026-01-01,Thursday,'19:45:19.772000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:45:45.039000+05:30,2026-01-01,Thursday,'19:45:45.039000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:45:53.303000+05:30,2026-01-01,Thursday,'19:45:53.303000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:46:36.742000+05:30,2026-01-01,Thursday,'19:46:36.742000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:46:52.015000+05:30,2026-01-01,Thursday,'19:46:52.015000
272b9609-513d-4245-92cb-482602cd427f,_location_special-town-search,application,2026-01-01 19:46:52.015000+05:30,2026-01-01,Thursday,'19:46:52.015000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:47:25.342000+05:30,2026-01-01,Thursday,'19:47:25.342000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:48:05.085000+05:30,2026-01-01,Thursday,'19:48:05.085000
272b9609-513d-4245-92cb-482602cd427f,_location_special-town-search,application,2026-01-01 19:48:05.086000+05:30,2026-01-01,Thursday,'19:48:05.086000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:48:16.209000+05:30,2026-01-01,Thursday,'19:48:16.209000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:48:31.943000+05:30,2026-01-01,Thursday,'19:48:31.943000
272b9609-513d-4245-92cb-482602cd427f,_location_special-town-search,application,2026-01-01 19:48:31.943000+05:30,2026-01-01,Thursday,'19:48:31.943000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:48:53.460000+05:30,2026-01-01,Thursday,'19:48:53.460000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:48:59.348000+05:30,2026-01-01,Thursday,'19:48:59.348000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:49:01.678000+05:30,2026-01-01,Thursday,'19:49:01.678000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:49:06.208000+05:30,2026-01-01,Thursday,'19:49:06.208000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:49:09.420000+05:30,2026-01-01,Thursday,'19:49:09.420000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:49:16.239000+05:30,2026-01-01,Thursday,'19:49:16.239000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:49:26.564000+05:30,2026-01-01,Thursday,'19:49:26.564000
272b9609-513d-4245-92cb-482602cd427f,Buslist_date change,application,2026-01-01 19:50:01.449000+05:30,2026-01-01,Thursday,'19:50:01.449000
272b9609-513d-4245-92cb-482602cd427f,_bus-search_list,application,2026-01-01 19:50:01.449000+05:30,2026-01-01,Thursday,'19:50:01.449000
272b9609-513d-4245-92cb-482602cd427f,_bus-search_user-bus-search,application,2026-01-01 19:50:01.449000+05:30,2026-01-01,Thursday,'19:50:01.449000
272b9609-513d-4245-92cb-482602cd427f,_user,application,2026-01-01 19:50:01.449000+05:30,2026-01-01,Thursday,'19:50:01.449000
272b9609-513d-4245-92cb-482602cd427f,pageview_bus_list,application,2026-01-01 19:50:01.449000+05:30,2026-01-01,Thursday,'19:50:01.449000
272b9609-513d-4245-92cb-482602cd427f,Buslist_date change,application,2026-01-01 19:50:07.009000+05:30,2026-01-01,Thursday,'19:50:07.009000
272b9609-513d-4245-92cb-482602cd427f,_rewards_best-V2,application,2026-01-01 19:50:07.009000+05:30,2026-01-01,Thursday,'19:50:07.009000
272b9609-513d-4245-92cb-482602cd427f,bus_result,application,2026-01-01 19:50:07.009000+05:30,2026-01-01,Thursday,'19:50:07.009000
272b9609-513d-4245-92cb-482602cd427f,bus_search,application,2026-01-01 19:50:07.009000+05:30,2026-01-01,Thursday,'19:50:07.009000
272b9609-513d-4245-92cb-482602cd427f,Journey Started,system,2026-01-01 19:50:07.069000+05:30,2026-01-01,Thursday,'19:50:07.069000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:50:32.185000+05:30,2026-01-01,Thursday,'19:50:32.185000
272b9609-513d-4245-92cb-482602cd427f,_location_special-town-search,application,2026-01-01 19:50:32.185000+05:30,2026-01-01,Thursday,'19:50:32.185000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:50:46.562000+05:30,2026-01-01,Thursday,'19:50:46.562000
272b9609-513d-4245-92cb-482602cd427f,_location_elastic-town-search,application,2026-01-01 19:51:22.620000+05:30,2026-01-01,Thursday,'19:51:22.620000
272b9609-513d-4245-92cb-482602cd427f,Session Started,system,2026-01-01 19:55:07.959000+05:30,2026-01-01,Thursday,'19:55:07.959000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-01 20:05:30.578000+05:30,2026-01-01,Thursday,'20:05:30.578000
272b9609-513d-4245-92cb-482602cd427f,Journey Ended,system,2026-01-02 02:05:57.579000+05:30,2026-01-02,Friday,'02:05:57.579000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-02 19:43:33.579000+05:30,2026-01-02,Friday,'19:43:33.579000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-03 19:43:46.496000+05:30,2026-01-03,Saturday,'19:43:46.496000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-04 19:43:55.021000+05:30,2026-01-04,Sunday,'19:43:55.021000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-05 19:44:22.478000+05:30,2026-01-05,Monday,'19:44:22.478000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-06 19:44:51.715000+05:30,2026-01-06,Tuesday,'19:44:51.715000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-08 19:44:59.548000+05:30,2026-01-08,Thursday,'19:44:59.548000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-10 19:45:27.260000+05:30,2026-01-10,Saturday,'19:45:27.260000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-12 19:45:51.208000+05:30,2026-01-12,Monday,'19:45:51.208000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-14 19:46:19.367000+05:30,2026-01-14,Wednesday,'19:46:19.367000
272b9609-513d-4245-92cb-482602cd427f,Push Failure,system,2026-01-16 19:46:49.554000+05:30,2026-01-16,Friday,'19:46:49.554000
