user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
2ce61130-a008-47c8-bd99-558668ab9196,DeviceInfo,application,2026-01-13 17:11:07.678000+05:30,2026-01-13,Tuesday,'17:11:07.678000
2ce61130-a008-47c8-bd99-558668ab9196,Session Started,system,2026-01-13 17:11:07.996000+05:30,2026-01-13,Tuesday,'17:11:07.996000
2ce61130-a008-47c8-bd99-558668ab9196,App Installed,system,2026-01-13 17:11:08.017000+05:30,2026-01-13,Tuesday,'17:11:08.017000
2ce61130-a008-47c8-bd99-558668ab9196,Journey Started,system,2026-01-13 17:11:08.892000+05:30,2026-01-13,Tuesday,'17:11:08.892000
2ce61130-a008-47c8-bd99-558668ab9196,app_start,application,2026-01-13 17:11:09.452000+05:30,2026-01-13,Tuesday,'17:11:09.452000
2ce61130-a008-47c8-bd99-558668ab9196,Push Subscribe Process - Device Registered (Push),system,2026-01-13 17:11:10.400000+05:30,2026-01-13,Tuesday,'17:11:10.400000
2ce61130-a008-47c8-bd99-558668ab9196,choose_language,application,2026-01-13 17:11:13.160000+05:30,2026-01-13,Tuesday,'17:11:13.160000
2ce61130-a008-47c8-bd99-558668ab9196,Onboarding_Language,application,2026-01-13 17:11:13.170000+05:30,2026-01-13,Tuesday,'17:11:13.170000
2ce61130-a008-47c8-bd99-558668ab9196,generate_otp,application,2026-01-13 17:11:20.831000+05:30,2026-01-13,Tuesday,'17:11:20.831000
2ce61130-a008-47c8-bd99-558668ab9196,Onboarding_get_otp,application,2026-01-13 17:11:20.842000+05:30,2026-01-13,Tuesday,'17:11:20.842000
2ce61130-a008-47c8-bd99-558668ab9196,_auth_generate-otp,application,2026-01-13 17:11:21.744000+05:30,2026-01-13,Tuesday,'17:11:21.744000
2ce61130-a008-47c8-bd99-558668ab9196,get_otp,application,2026-01-13 17:11:21.752000+05:30,2026-01-13,Tuesday,'17:11:21.752000
2ce61130-a008-47c8-bd99-558668ab9196,Onboarding_signup_,application,2026-01-13 17:11:21.769000+05:30,2026-01-13,Tuesday,'17:11:21.769000
2ce61130-a008-47c8-bd99-558668ab9196,Journey Started,system,2026-01-13 17:11:22.981000+05:30,2026-01-13,Tuesday,'17:11:22.981000
2ce61130-a008-47c8-bd99-558668ab9196,Journey Ended,system,2026-01-13 17:11:22.982000+05:30,2026-01-13,Tuesday,'17:11:22.982000
2ce61130-a008-47c8-bd99-558668ab9196,verify_otp,application,2026-01-13 17:11:24.723000+05:30,2026-01-13,Tuesday,'17:11:24.723000
2ce61130-a008-47c8-bd99-558668ab9196,_auth_verify-otp,application,2026-01-13 17:11:24.925000+05:30,2026-01-13,Tuesday,'17:11:24.925000
2ce61130-a008-47c8-bd99-558668ab9196,enter_otp,application,2026-01-13 17:11:24.941000+05:30,2026-01-13,Tuesday,'17:11:24.941000
2ce61130-a008-47c8-bd99-558668ab9196,User Login,system,2026-01-13 17:11:24.958000+05:30,2026-01-13,Tuesday,'17:11:24.958000
2ce61130-a008-47c8-bd99-558668ab9196,login,application,2026-01-13 17:11:25.278000+05:30,2026-01-13,Tuesday,'17:11:25.278000
2ce61130-a008-47c8-bd99-558668ab9196,_user,application,2026-01-13 17:11:25.288000+05:30,2026-01-13,Tuesday,'17:11:25.288000
2ce61130-a008-47c8-bd99-558668ab9196,_location_from-town,application,2026-01-13 17:11:25.632000+05:30,2026-01-13,Tuesday,'17:11:25.632000
2ce61130-a008-47c8-bd99-558668ab9196,Onboarding_backpressed,application,2026-01-13 17:11:27.546000+05:30,2026-01-13,Tuesday,'17:11:27.546000
2ce61130-a008-47c8-bd99-558668ab9196,Onboarding_backpressed,application,2026-01-13 17:11:34.840000+05:30,2026-01-13,Tuesday,'17:11:34.840000
2ce61130-a008-47c8-bd99-558668ab9196,Onboarding_backpressed,application,2026-01-13 17:11:35.612000+05:30,2026-01-13,Tuesday,'17:11:35.612000
2ce61130-a008-47c8-bd99-558668ab9196,Onboarding_backpressed,application,2026-01-13 17:11:35.904000+05:30,2026-01-13,Tuesday,'17:11:35.904000
2ce61130-a008-47c8-bd99-558668ab9196,Onboarding_backpressed,application,2026-01-13 17:11:36.059000+05:30,2026-01-13,Tuesday,'17:11:36.059000
2ce61130-a008-47c8-bd99-558668ab9196,Onboarding_backpressed,application,2026-01-13 17:11:36.279000+05:30,2026-01-13,Tuesday,'17:11:36.279000
2ce61130-a008-47c8-bd99-558668ab9196,Push Failure,system,2026-01-14 17:11:24.694000+05:30,2026-01-14,Wednesday,'17:11:24.694000
2ce61130-a008-47c8-bd99-558668ab9196,Push Failure,system,2026-01-15 17:11:41.693000+05:30,2026-01-15,Thursday,'17:11:41.693000
2ce61130-a008-47c8-bd99-558668ab9196,Push Failure,system,2026-01-16 17:11:58.141000+05:30,2026-01-16,Friday,'17:11:58.141000
2ce61130-a008-47c8-bd99-558668ab9196,Push Failure,system,2026-01-17 17:12:24.610000+05:30,2026-01-17,Saturday,'17:12:24.610000
2ce61130-a008-47c8-bd99-558668ab9196,Push Failure,system,2026-01-18 17:12:47.182000+05:30,2026-01-18,Sunday,'17:12:47.182000
