user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
4fa56dc3-09a1-4fee-8253-097a11e323db,DeviceInfo,application,2026-01-11 11:05:29.777000+05:30,2026-01-11,Sunday,'11:05:29.777000
4fa56dc3-09a1-4fee-8253-097a11e323db,Session Started,system,2026-01-11 11:05:49.067000+05:30,2026-01-11,Sunday,'11:05:49.067000
4fa56dc3-09a1-4fee-8253-097a11e323db,App Installed,system,2026-01-11 11:05:49.105000+05:30,2026-01-11,Sunday,'11:05:49.105000
4fa56dc3-09a1-4fee-8253-097a11e323db,app_start,application,2026-01-11 11:05:54.432000+05:30,2026-01-11,Sunday,'11:05:54.432000
4fa56dc3-09a1-4fee-8253-097a11e323db,Push Subscribe Process - Device Registered (Push),system,2026-01-11 11:05:55.424000+05:30,2026-01-11,Sunday,'11:05:55.424000
4fa56dc3-09a1-4fee-8253-097a11e323db,Journey Started,system,2026-01-11 11:06:04.266000+05:30,2026-01-11,Sunday,'11:06:04.266000
4fa56dc3-09a1-4fee-8253-097a11e323db,choose_language,application,2026-01-11 11:06:08.518000+05:30,2026-01-11,Sunday,'11:06:08.518000
4fa56dc3-09a1-4fee-8253-097a11e323db,Onboarding_Language,application,2026-01-11 11:06:08.533000+05:30,2026-01-11,Sunday,'11:06:08.533000
4fa56dc3-09a1-4fee-8253-097a11e323db,generate_otp,application,2026-01-11 11:06:24.304000+05:30,2026-01-11,Sunday,'11:06:24.304000
4fa56dc3-09a1-4fee-8253-097a11e323db,Onboarding_get_otp,application,2026-01-11 11:06:24.305000+05:30,2026-01-11,Sunday,'11:06:24.305000
4fa56dc3-09a1-4fee-8253-097a11e323db,Journey Ended,system,2026-01-11 11:06:24.328000+05:30,2026-01-11,Sunday,'11:06:24.328000
4fa56dc3-09a1-4fee-8253-097a11e323db,Journey Started,system,2026-01-11 11:06:24.328000+05:30,2026-01-11,Sunday,'11:06:24.328000
