user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
67b8b7d1-60dd-46ac-b041-2381fb434529,DeviceInfo,application,2026-01-07 20:34:29.903000+05:30,2026-01-07,Wednesday,'20:34:29.903000
67b8b7d1-60dd-46ac-b041-2381fb434529,App Installed,system,2026-01-07 20:34:30.342000+05:30,2026-01-07,Wednesday,'20:34:30.342000
67b8b7d1-60dd-46ac-b041-2381fb434529,Session Started,system,2026-01-07 20:34:30.342000+05:30,2026-01-07,Wednesday,'20:34:30.342000
67b8b7d1-60dd-46ac-b041-2381fb434529,Journey Started,system,2026-01-07 20:34:30.383000+05:30,2026-01-07,Wednesday,'20:34:30.383000
67b8b7d1-60dd-46ac-b041-2381fb434529,Push Subscribe Process - Device Registered (Push),system,2026-01-07 20:34:31.393000+05:30,2026-01-07,Wednesday,'20:34:31.393000
67b8b7d1-60dd-46ac-b041-2381fb434529,app_start,application,2026-01-07 20:34:31.393000+05:30,2026-01-07,Wednesday,'20:34:31.393000
67b8b7d1-60dd-46ac-b041-2381fb434529,choose_language,application,2026-01-07 20:34:34.703000+05:30,2026-01-07,Wednesday,'20:34:34.703000
67b8b7d1-60dd-46ac-b041-2381fb434529,Onboarding_Language,application,2026-01-07 20:34:34.741000+05:30,2026-01-07,Wednesday,'20:34:34.741000
67b8b7d1-60dd-46ac-b041-2381fb434529,choose_language,application,2026-01-07 20:34:35.181000+05:30,2026-01-07,Wednesday,'20:34:35.181000
67b8b7d1-60dd-46ac-b041-2381fb434529,Onboarding_Language,application,2026-01-07 20:34:35.191000+05:30,2026-01-07,Wednesday,'20:34:35.191000
67b8b7d1-60dd-46ac-b041-2381fb434529,Journey Ended,system,2026-01-07 20:34:35.233000+05:30,2026-01-07,Wednesday,'20:34:35.233000
67b8b7d1-60dd-46ac-b041-2381fb434529,Journey Started,system,2026-01-07 20:34:35.233000+05:30,2026-01-07,Wednesday,'20:34:35.233000
67b8b7d1-60dd-46ac-b041-2381fb434529,Onboarding_get_otp,application,2026-01-07 20:34:46.030000+05:30,2026-01-07,Wednesday,'20:34:46.030000
67b8b7d1-60dd-46ac-b041-2381fb434529,generate_otp,application,2026-01-07 20:34:46.030000+05:30,2026-01-07,Wednesday,'20:34:46.030000
67b8b7d1-60dd-46ac-b041-2381fb434529,_auth_generate-otp,application,2026-01-07 20:34:47.164000+05:30,2026-01-07,Wednesday,'20:34:47.164000
67b8b7d1-60dd-46ac-b041-2381fb434529,get_otp,application,2026-01-07 20:34:47.183000+05:30,2026-01-07,Wednesday,'20:34:47.183000
67b8b7d1-60dd-46ac-b041-2381fb434529,Onboarding_signup_,application,2026-01-07 20:34:47.229000+05:30,2026-01-07,Wednesday,'20:34:47.229000
