user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,DeviceInfo,application,2026-01-09 12:44:30.275000+05:30,2026-01-09,Friday,'12:44:30.275000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,Session Started,system,2026-01-09 12:44:30.870000+05:30,2026-01-09,Friday,'12:44:30.870000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,App Installed,system,2026-01-09 12:44:31.523000+05:30,2026-01-09,Friday,'12:44:31.523000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,Push Subscribe Process - Device Registered (Push),system,2026-01-09 12:44:31.661000+05:30,2026-01-09,Friday,'12:44:31.661000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,app_start,application,2026-01-09 12:44:31.680000+05:30,2026-01-09,Friday,'12:44:31.680000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,Journey Started,system,2026-01-09 12:44:32.333000+05:30,2026-01-09,Friday,'12:44:32.333000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,choose_language,application,2026-01-09 12:45:04.507000+05:30,2026-01-09,Friday,'12:45:04.507000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,Onboarding_Language,application,2026-01-09 12:45:04.542000+05:30,2026-01-09,Friday,'12:45:04.542000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,generate_otp,application,2026-01-09 12:45:19.485000+05:30,2026-01-09,Friday,'12:45:19.485000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,Onboarding_get_otp,application,2026-01-09 12:45:19.515000+05:30,2026-01-09,Friday,'12:45:19.515000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_auth_generate-otp,application,2026-01-09 12:45:20.476000+05:30,2026-01-09,Friday,'12:45:20.476000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,get_otp,application,2026-01-09 12:45:20.488000+05:30,2026-01-09,Friday,'12:45:20.488000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,Journey Ended,system,2026-01-09 12:45:20.523000+05:30,2026-01-09,Friday,'12:45:20.523000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,Journey Started,system,2026-01-09 12:45:20.523000+05:30,2026-01-09,Friday,'12:45:20.523000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,Onboarding_signup_,application,2026-01-09 12:45:20.561000+05:30,2026-01-09,Friday,'12:45:20.561000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,verify_otp,application,2026-01-09 12:45:27.318000+05:30,2026-01-09,Friday,'12:45:27.318000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_auth_verify-otp,application,2026-01-09 12:45:27.557000+05:30,2026-01-09,Friday,'12:45:27.557000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,enter_otp,application,2026-01-09 12:45:27.594000+05:30,2026-01-09,Friday,'12:45:27.594000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,User Login,system,2026-01-09 12:45:27.688000+05:30,2026-01-09,Friday,'12:45:27.688000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,login,application,2026-01-09 12:45:27.935000+05:30,2026-01-09,Friday,'12:45:27.935000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_user,application,2026-01-09 12:45:27.945000+05:30,2026-01-09,Friday,'12:45:27.945000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_from-town,application,2026-01-09 12:45:28.475000+05:30,2026-01-09,Friday,'12:45:28.475000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,Onboarding_Profile Saved,application,2026-01-09 12:45:29.943000+05:30,2026-01-09,Friday,'12:45:29.943000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_user,application,2026-01-09 12:45:31.133000+05:30,2026-01-09,Friday,'12:45:31.133000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_user,application,2026-01-09 12:45:34.189000+05:30,2026-01-09,Friday,'12:45:34.189000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_history_recommended-journey,application,2026-01-09 12:45:34.234000+05:30,2026-01-09,Friday,'12:45:34.234000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_user_device,application,2026-01-09 12:45:34.275000+05:30,2026-01-09,Friday,'12:45:34.275000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_from-town,application,2026-01-09 12:45:34.350000+05:30,2026-01-09,Friday,'12:45:34.350000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_user,application,2026-01-09 12:45:34.475000+05:30,2026-01-09,Friday,'12:45:34.475000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_special-town-search,application,2026-01-09 12:45:34.603000+05:30,2026-01-09,Friday,'12:45:34.603000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_ticket,application,2026-01-09 12:45:34.642000+05:30,2026-01-09,Friday,'12:45:34.642000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_special-town-search,application,2026-01-09 12:45:48.533000+05:30,2026-01-09,Friday,'12:45:48.533000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_elastic-town-search,application,2026-01-09 12:45:48.960000+05:30,2026-01-09,Friday,'12:45:48.960000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_elastic-town-search,application,2026-01-09 12:45:53.035000+05:30,2026-01-09,Friday,'12:45:53.035000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_elastic-town-search,application,2026-01-09 12:45:59.284000+05:30,2026-01-09,Friday,'12:45:59.284000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_elastic-town-search,application,2026-01-09 12:45:59.482000+05:30,2026-01-09,Friday,'12:45:59.482000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_elastic-town-search,application,2026-01-09 12:46:06.914000+05:30,2026-01-09,Friday,'12:46:06.914000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_special-town-search,application,2026-01-09 12:46:21.343000+05:30,2026-01-09,Friday,'12:46:21.343000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_elastic-town-search,application,2026-01-09 12:46:21.598000+05:30,2026-01-09,Friday,'12:46:21.598000
6ed7dcb1-feb4-4dc7-aaa8-9da44c151104,_location_elastic-town-search,application,2026-01-09 12:46:22.863000+05:30,2026-01-09,Friday,'12:46:22.863000
