user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
7656e9cf-be17-47a6-a007-65a532ff4add,DeviceInfo,application,2026-01-02 15:39:56.434000+05:30,2026-01-02,Friday,'15:39:56.434000
7656e9cf-be17-47a6-a007-65a532ff4add,Session Started,system,2026-01-02 15:39:56.942000+05:30,2026-01-02,Friday,'15:39:56.942000
7656e9cf-be17-47a6-a007-65a532ff4add,App Installed,system,2026-01-02 15:39:57.055000+05:30,2026-01-02,Friday,'15:39:57.055000
7656e9cf-be17-47a6-a007-65a532ff4add,app_start,application,2026-01-02 15:39:57.280000+05:30,2026-01-02,Friday,'15:39:57.280000
7656e9cf-be17-47a6-a007-65a532ff4add,Push Subscribe Process - Device Registered (Push),system,2026-01-02 15:39:57.709000+05:30,2026-01-02,Friday,'15:39:57.709000
7656e9cf-be17-47a6-a007-65a532ff4add,Journey Started,system,2026-01-02 15:39:57.878000+05:30,2026-01-02,Friday,'15:39:57.878000
7656e9cf-be17-47a6-a007-65a532ff4add,choose_language,application,2026-01-02 15:39:59.848000+05:30,2026-01-02,Friday,'15:39:59.848000
7656e9cf-be17-47a6-a007-65a532ff4add,Onboarding_Language,application,2026-01-02 15:39:59.877000+05:30,2026-01-02,Friday,'15:39:59.877000
7656e9cf-be17-47a6-a007-65a532ff4add,generate_otp,application,2026-01-02 15:40:10.127000+05:30,2026-01-02,Friday,'15:40:10.127000
7656e9cf-be17-47a6-a007-65a532ff4add,Onboarding_get_otp,application,2026-01-02 15:40:10.150000+05:30,2026-01-02,Friday,'15:40:10.150000
7656e9cf-be17-47a6-a007-65a532ff4add,_auth_generate-otp,application,2026-01-02 15:40:11.040000+05:30,2026-01-02,Friday,'15:40:11.040000
7656e9cf-be17-47a6-a007-65a532ff4add,get_otp,application,2026-01-02 15:40:11.057000+05:30,2026-01-02,Friday,'15:40:11.057000
7656e9cf-be17-47a6-a007-65a532ff4add,Onboarding_signup_,application,2026-01-02 15:40:11.092000+05:30,2026-01-02,Friday,'15:40:11.092000
7656e9cf-be17-47a6-a007-65a532ff4add,Journey Ended,system,2026-01-02 15:40:11.253000+05:30,2026-01-02,Friday,'15:40:11.253000
7656e9cf-be17-47a6-a007-65a532ff4add,Journey Started,system,2026-01-02 15:40:11.253000+05:30,2026-01-02,Friday,'15:40:11.253000
7656e9cf-be17-47a6-a007-65a532ff4add,verify_otp,application,2026-01-02 15:40:17.638000+05:30,2026-01-02,Friday,'15:40:17.638000
7656e9cf-be17-47a6-a007-65a532ff4add,_auth_verify-otp,application,2026-01-02 15:40:17.995000+05:30,2026-01-02,Friday,'15:40:17.995000
7656e9cf-be17-47a6-a007-65a532ff4add,enter_otp,application,2026-01-02 15:40:18.044000+05:30,2026-01-02,Friday,'15:40:18.044000
7656e9cf-be17-47a6-a007-65a532ff4add,User Login,system,2026-01-02 15:40:18.095000+05:30,2026-01-02,Friday,'15:40:18.095000
7656e9cf-be17-47a6-a007-65a532ff4add,login,application,2026-01-02 15:40:18.896000+05:30,2026-01-02,Friday,'15:40:18.896000
7656e9cf-be17-47a6-a007-65a532ff4add,_user,application,2026-01-02 15:40:18.903000+05:30,2026-01-02,Friday,'15:40:18.903000
7656e9cf-be17-47a6-a007-65a532ff4add,_location_from-town,application,2026-01-02 15:40:18.961000+05:30,2026-01-02,Friday,'15:40:18.961000
7656e9cf-be17-47a6-a007-65a532ff4add,Onboarding_Profile Saved,application,2026-01-02 15:40:20.031000+05:30,2026-01-02,Friday,'15:40:20.031000
7656e9cf-be17-47a6-a007-65a532ff4add,_user,application,2026-01-02 15:40:27.195000+05:30,2026-01-02,Friday,'15:40:27.195000
7656e9cf-be17-47a6-a007-65a532ff4add,_user,application,2026-01-02 15:40:29.623000+05:30,2026-01-02,Friday,'15:40:29.623000
7656e9cf-be17-47a6-a007-65a532ff4add,_history_recommended-journey,application,2026-01-02 15:40:29.692000+05:30,2026-01-02,Friday,'15:40:29.692000
7656e9cf-be17-47a6-a007-65a532ff4add,_user_device,application,2026-01-02 15:40:29.969000+05:30,2026-01-02,Friday,'15:40:29.969000
7656e9cf-be17-47a6-a007-65a532ff4add,_user,application,2026-01-02 15:40:29.983000+05:30,2026-01-02,Friday,'15:40:29.983000
7656e9cf-be17-47a6-a007-65a532ff4add,_location_from-town,application,2026-01-02 15:40:30.006000+05:30,2026-01-02,Friday,'15:40:30.006000
7656e9cf-be17-47a6-a007-65a532ff4add,_ticket,application,2026-01-02 15:40:30.320000+05:30,2026-01-02,Friday,'15:40:30.320000
7656e9cf-be17-47a6-a007-65a532ff4add,_location_special-town-search,application,2026-01-02 15:40:30.350000+05:30,2026-01-02,Friday,'15:40:30.350000
7656e9cf-be17-47a6-a007-65a532ff4add,_location_special-town-search,application,2026-01-02 15:40:33.744000+05:30,2026-01-02,Friday,'15:40:33.744000
7656e9cf-be17-47a6-a007-65a532ff4add,_location_elastic-town-search,application,2026-01-02 15:40:33.932000+05:30,2026-01-02,Friday,'15:40:33.932000
7656e9cf-be17-47a6-a007-65a532ff4add,_location_elastic-town-search,application,2026-01-02 15:40:35.841000+05:30,2026-01-02,Friday,'15:40:35.841000
7656e9cf-be17-47a6-a007-65a532ff4add,_location_elastic-town-search,application,2026-01-02 15:40:36.580000+05:30,2026-01-02,Friday,'15:40:36.580000
