user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
8344eac7-ea53-4b35-9d99-45cd2477bd5d,DeviceInfo,application,2026-01-16 18:50:23.608000+05:30,2026-01-16,Friday,'18:50:23.608000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,Session Started,system,2026-01-16 18:50:23.780000+05:30,2026-01-16,Friday,'18:50:23.780000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,App Installed,system,2026-01-16 18:50:23.802000+05:30,2026-01-16,Friday,'18:50:23.802000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,app_start,application,2026-01-16 18:50:24.227000+05:30,2026-01-16,Friday,'18:50:24.227000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,Push Subscribe Process - Device Registered (Push),system,2026-01-16 18:50:25.483000+05:30,2026-01-16,Friday,'18:50:25.483000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,choose_language,application,2026-01-16 18:50:26.911000+05:30,2026-01-16,Friday,'18:50:26.911000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,Onboarding_Language,application,2026-01-16 18:50:26.924000+05:30,2026-01-16,Friday,'18:50:26.924000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,Journey Started,system,2026-01-16 18:50:28.420000+05:30,2026-01-16,Friday,'18:50:28.420000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,generate_otp,application,2026-01-16 18:50:34.406000+05:30,2026-01-16,Friday,'18:50:34.406000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,Onboarding_get_otp,application,2026-01-16 18:50:34.424000+05:30,2026-01-16,Friday,'18:50:34.424000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,_auth_generate-otp,application,2026-01-16 18:50:35.129000+05:30,2026-01-16,Friday,'18:50:35.129000
8344eac7-ea53-4b35-9d99-45cd2477bd5d,get_otp,application,2026-01-16 18:50:35.137000+05:30,2026-01-16,Friday,'18:50:35.137000
