user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
847e1904-d16a-47c0-ab7e-6f565fb2f391,DeviceInfo,application,2026-01-05 16:58:14.415000+05:30,2026-01-05,Monday,'16:58:14.415000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Session Started,system,2026-01-05 16:58:14.725000+05:30,2026-01-05,Monday,'16:58:14.725000
847e1904-d16a-47c0-ab7e-6f565fb2f391,App Installed,system,2026-01-05 16:58:14.753000+05:30,2026-01-05,Monday,'16:58:14.753000
847e1904-d16a-47c0-ab7e-6f565fb2f391,app_start,application,2026-01-05 16:58:15.171000+05:30,2026-01-05,Monday,'16:58:15.171000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Journey Started,system,2026-01-05 16:58:15.220000+05:30,2026-01-05,Monday,'16:58:15.220000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Push Subscribe Process - Device Registered (Push),system,2026-01-05 16:58:15.486000+05:30,2026-01-05,Monday,'16:58:15.486000
847e1904-d16a-47c0-ab7e-6f565fb2f391,choose_language,application,2026-01-05 16:58:17.185000+05:30,2026-01-05,Monday,'16:58:17.185000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Onboarding_Language,application,2026-01-05 16:58:17.200000+05:30,2026-01-05,Monday,'16:58:17.200000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Journey Started,system,2026-01-05 16:58:20.992000+05:30,2026-01-05,Monday,'16:58:20.992000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Journey Ended,system,2026-01-05 16:58:20.993000+05:30,2026-01-05,Monday,'16:58:20.993000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Session Started,system,2026-01-05 17:48:46.723000+05:30,2026-01-05,Monday,'17:48:46.723000
847e1904-d16a-47c0-ab7e-6f565fb2f391,choose_language,application,2026-01-05 17:48:48.553000+05:30,2026-01-05,Monday,'17:48:48.553000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Onboarding_Language,application,2026-01-05 17:48:48.560000+05:30,2026-01-05,Monday,'17:48:48.560000
847e1904-d16a-47c0-ab7e-6f565fb2f391,generate_otp,application,2026-01-05 17:48:54.385000+05:30,2026-01-05,Monday,'17:48:54.385000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Onboarding_get_otp,application,2026-01-05 17:48:54.392000+05:30,2026-01-05,Monday,'17:48:54.392000
847e1904-d16a-47c0-ab7e-6f565fb2f391,_auth_generate-otp,application,2026-01-05 17:48:55.152000+05:30,2026-01-05,Monday,'17:48:55.152000
847e1904-d16a-47c0-ab7e-6f565fb2f391,get_otp,application,2026-01-05 17:48:55.159000+05:30,2026-01-05,Monday,'17:48:55.159000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Onboarding_signup_,application,2026-01-05 17:48:55.183000+05:30,2026-01-05,Monday,'17:48:55.183000
847e1904-d16a-47c0-ab7e-6f565fb2f391,Journey Ended,system,2026-01-05 17:48:55.244000+05:30,2026-01-05,Monday,'17:48:55.244000
