user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
87122ff7-e133-4da2-8690-b7b4800a735b,DeviceInfo,application,2026-01-04 22:16:27.193000+05:30,2026-01-04,Sunday,'22:16:27.193000
87122ff7-e133-4da2-8690-b7b4800a735b,Session Started,system,2026-01-04 22:16:27.662000+05:30,2026-01-04,Sunday,'22:16:27.662000
87122ff7-e133-4da2-8690-b7b4800a735b,App Installed,system,2026-01-04 22:16:27.729000+05:30,2026-01-04,Sunday,'22:16:27.729000
87122ff7-e133-4da2-8690-b7b4800a735b,app_start,application,2026-01-04 22:16:28.462000+05:30,2026-01-04,Sunday,'22:16:28.462000
87122ff7-e133-4da2-8690-b7b4800a735b,Push Subscribe Process - Device Registered (Push),system,2026-01-04 22:16:28.797000+05:30,2026-01-04,Sunday,'22:16:28.797000
87122ff7-e133-4da2-8690-b7b4800a735b,Journey Started,system,2026-01-04 22:16:29.079000+05:30,2026-01-04,Sunday,'22:16:29.079000
87122ff7-e133-4da2-8690-b7b4800a735b,choose_language,application,2026-01-04 22:16:31.615000+05:30,2026-01-04,Sunday,'22:16:31.615000
87122ff7-e133-4da2-8690-b7b4800a735b,Onboarding_Language,application,2026-01-04 22:16:31.630000+05:30,2026-01-04,Sunday,'22:16:31.630000
87122ff7-e133-4da2-8690-b7b4800a735b,generate_otp,application,2026-01-04 22:16:42.042000+05:30,2026-01-04,Sunday,'22:16:42.042000
87122ff7-e133-4da2-8690-b7b4800a735b,Onboarding_get_otp,application,2026-01-04 22:16:42.062000+05:30,2026-01-04,Sunday,'22:16:42.062000
87122ff7-e133-4da2-8690-b7b4800a735b,Journey Ended,system,2026-01-04 22:16:43.367000+05:30,2026-01-04,Sunday,'22:16:43.367000
87122ff7-e133-4da2-8690-b7b4800a735b,Journey Started,system,2026-01-04 22:16:43.367000+05:30,2026-01-04,Sunday,'22:16:43.367000
87122ff7-e133-4da2-8690-b7b4800a735b,_auth_generate-otp,application,2026-01-04 22:16:43.836000+05:30,2026-01-04,Sunday,'22:16:43.836000
87122ff7-e133-4da2-8690-b7b4800a735b,get_otp,application,2026-01-04 22:16:43.849000+05:30,2026-01-04,Sunday,'22:16:43.849000
87122ff7-e133-4da2-8690-b7b4800a735b,Onboarding_signup_,application,2026-01-04 22:16:43.927000+05:30,2026-01-04,Sunday,'22:16:43.927000
87122ff7-e133-4da2-8690-b7b4800a735b,verify_otp,application,2026-01-04 22:16:49.461000+05:30,2026-01-04,Sunday,'22:16:49.461000
87122ff7-e133-4da2-8690-b7b4800a735b,_auth_verify-otp,application,2026-01-04 22:16:49.993000+05:30,2026-01-04,Sunday,'22:16:49.993000
87122ff7-e133-4da2-8690-b7b4800a735b,enter_otp,application,2026-01-04 22:16:50.029000+05:30,2026-01-04,Sunday,'22:16:50.029000
87122ff7-e133-4da2-8690-b7b4800a735b,User Login,system,2026-01-04 22:16:50.107000+05:30,2026-01-04,Sunday,'22:16:50.107000
87122ff7-e133-4da2-8690-b7b4800a735b,login,application,2026-01-04 22:16:51.058000+05:30,2026-01-04,Sunday,'22:16:51.058000
87122ff7-e133-4da2-8690-b7b4800a735b,_user,application,2026-01-04 22:16:51.068000+05:30,2026-01-04,Sunday,'22:16:51.068000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_from-town,application,2026-01-04 22:16:51.436000+05:30,2026-01-04,Sunday,'22:16:51.436000
87122ff7-e133-4da2-8690-b7b4800a735b,Onboarding_Profile Saved,application,2026-01-04 22:16:52.843000+05:30,2026-01-04,Sunday,'22:16:52.843000
87122ff7-e133-4da2-8690-b7b4800a735b,_user,application,2026-01-04 22:17:06.111000+05:30,2026-01-04,Sunday,'22:17:06.111000
87122ff7-e133-4da2-8690-b7b4800a735b,_user,application,2026-01-04 22:17:08.914000+05:30,2026-01-04,Sunday,'22:17:08.914000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_from-town,application,2026-01-04 22:17:08.926000+05:30,2026-01-04,Sunday,'22:17:08.926000
87122ff7-e133-4da2-8690-b7b4800a735b,_history_recommended-journey,application,2026-01-04 22:17:09.180000+05:30,2026-01-04,Sunday,'22:17:09.180000
87122ff7-e133-4da2-8690-b7b4800a735b,_user,application,2026-01-04 22:17:09.242000+05:30,2026-01-04,Sunday,'22:17:09.242000
87122ff7-e133-4da2-8690-b7b4800a735b,_user_device,application,2026-01-04 22:17:09.251000+05:30,2026-01-04,Sunday,'22:17:09.251000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_special-town-search,application,2026-01-04 22:17:09.578000+05:30,2026-01-04,Sunday,'22:17:09.578000
87122ff7-e133-4da2-8690-b7b4800a735b,_ticket,application,2026-01-04 22:17:09.809000+05:30,2026-01-04,Sunday,'22:17:09.809000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_special-town-search,application,2026-01-04 22:17:12.644000+05:30,2026-01-04,Sunday,'22:17:12.644000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:12.963000+05:30,2026-01-04,Sunday,'22:17:12.963000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:14.760000+05:30,2026-01-04,Sunday,'22:17:14.760000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:15.701000+05:30,2026-01-04,Sunday,'22:17:15.701000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:16.461000+05:30,2026-01-04,Sunday,'22:17:16.461000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:16.613000+05:30,2026-01-04,Sunday,'22:17:16.613000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:17.231000+05:30,2026-01-04,Sunday,'22:17:17.231000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:17.472000+05:30,2026-01-04,Sunday,'22:17:17.472000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:17.719000+05:30,2026-01-04,Sunday,'22:17:17.719000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:17.955000+05:30,2026-01-04,Sunday,'22:17:17.955000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:21.460000+05:30,2026-01-04,Sunday,'22:17:21.460000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:25.724000+05:30,2026-01-04,Sunday,'22:17:25.724000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:26.052000+05:30,2026-01-04,Sunday,'22:17:26.052000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:26.351000+05:30,2026-01-04,Sunday,'22:17:26.351000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:26.663000+05:30,2026-01-04,Sunday,'22:17:26.663000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:26.952000+05:30,2026-01-04,Sunday,'22:17:26.952000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:28.053000+05:30,2026-01-04,Sunday,'22:17:28.053000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:32.156000+05:30,2026-01-04,Sunday,'22:17:32.156000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:32.453000+05:30,2026-01-04,Sunday,'22:17:32.453000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:32.993000+05:30,2026-01-04,Sunday,'22:17:32.993000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:33.394000+05:30,2026-01-04,Sunday,'22:17:33.394000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:35.131000+05:30,2026-01-04,Sunday,'22:17:35.131000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:35.737000+05:30,2026-01-04,Sunday,'22:17:35.737000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:37.710000+05:30,2026-01-04,Sunday,'22:17:37.710000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:40.691000+05:30,2026-01-04,Sunday,'22:17:40.691000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:41.063000+05:30,2026-01-04,Sunday,'22:17:41.063000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:44.430000+05:30,2026-01-04,Sunday,'22:17:44.430000
87122ff7-e133-4da2-8690-b7b4800a735b,_location_elastic-town-search,application,2026-01-04 22:17:44.801000+05:30,2026-01-04,Sunday,'22:17:44.801000
87122ff7-e133-4da2-8690-b7b4800a735b,Push Failure,system,2026-01-05 22:16:53.896000+05:30,2026-01-05,Monday,'22:16:53.896000
87122ff7-e133-4da2-8690-b7b4800a735b,Push Failure,system,2026-01-06 22:17:20.617000+05:30,2026-01-06,Tuesday,'22:17:20.617000
87122ff7-e133-4da2-8690-b7b4800a735b,Push Failure,system,2026-01-07 22:17:27.926000+05:30,2026-01-07,Wednesday,'22:17:27.926000
87122ff7-e133-4da2-8690-b7b4800a735b,Push Failure,system,2026-01-08 22:17:56.400000+05:30,2026-01-08,Thursday,'22:17:56.400000
87122ff7-e133-4da2-8690-b7b4800a735b,Push Failure,system,2026-01-09 22:18:27.564000+05:30,2026-01-09,Friday,'22:18:27.564000
87122ff7-e133-4da2-8690-b7b4800a735b,Push Failure,system,2026-01-11 22:18:47.471000+05:30,2026-01-11,Sunday,'22:18:47.471000
87122ff7-e133-4da2-8690-b7b4800a735b,Push Failure,system,2026-01-13 22:19:18.314000+05:30,2026-01-13,Tuesday,'22:19:18.314000
87122ff7-e133-4da2-8690-b7b4800a735b,Push Failure,system,2026-01-15 22:19:38.071000+05:30,2026-01-15,Thursday,'22:19:38.071000
