user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,Session Started,system,2026-01-05 09:27:52.249000+05:30,2026-01-05,Monday,'09:27:52.249000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,Push Subscribe Process - Device Registered (Push),system,2026-01-05 09:27:52.732000+05:30,2026-01-05,Monday,'09:27:52.732000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,choose_language,application,2026-01-05 09:28:02.604000+05:30,2026-01-05,Monday,'09:28:02.604000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,Onboarding_Language,application,2026-01-05 09:28:02.666000+05:30,2026-01-05,Monday,'09:28:02.666000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,choose_language,application,2026-01-05 09:28:03.090000+05:30,2026-01-05,Monday,'09:28:03.090000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,Onboarding_Language,application,2026-01-05 09:28:03.224000+05:30,2026-01-05,Monday,'09:28:03.224000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,Journey Ended,system,2026-01-05 09:28:03.605000+05:30,2026-01-05,Monday,'09:28:03.605000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,Journey Started,system,2026-01-05 09:28:03.605000+05:30,2026-01-05,Monday,'09:28:03.605000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,generate_otp,application,2026-01-05 09:28:16.868000+05:30,2026-01-05,Monday,'09:28:16.868000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,Onboarding_get_otp,application,2026-01-05 09:28:16.890000+05:30,2026-01-05,Monday,'09:28:16.890000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,_auth_generate-otp,application,2026-01-05 09:28:17.812000+05:30,2026-01-05,Monday,'09:28:17.812000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,get_otp,application,2026-01-05 09:28:17.828000+05:30,2026-01-05,Monday,'09:28:17.828000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,Onboarding_signup_,application,2026-01-05 09:28:17.863000+05:30,2026-01-05,Monday,'09:28:17.863000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,verify_otp,application,2026-01-05 09:28:56.135000+05:30,2026-01-05,Monday,'09:28:56.135000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,_auth_verify-otp,application,2026-01-05 09:28:56.481000+05:30,2026-01-05,Monday,'09:28:56.481000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,enter_otp,application,2026-01-05 09:28:56.514000+05:30,2026-01-05,Monday,'09:28:56.514000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,User Login,system,2026-01-05 09:28:56.532000+05:30,2026-01-05,Monday,'09:28:56.532000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,login,application,2026-01-05 09:28:56.735000+05:30,2026-01-05,Monday,'09:28:56.735000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,_user,application,2026-01-05 09:28:56.764000+05:30,2026-01-05,Monday,'09:28:56.764000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,_location_from-town,application,2026-01-05 09:28:57.267000+05:30,2026-01-05,Monday,'09:28:57.267000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,Onboarding_Profile Saved,application,2026-01-05 09:28:58.580000+05:30,2026-01-05,Monday,'09:28:58.580000
a76d80fa-85c6-43cf-a0ff-516befcaf7a0,_user,application,2026-01-05 09:29:00.067000+05:30,2026-01-05,Monday,'09:29:00.067000
