user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,DeviceInfo,application,2026-01-12 00:50:09.064000+05:30,2026-01-12,Monday,'00:50:09.064000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,Session Started,system,2026-01-12 00:50:09.648000+05:30,2026-01-12,Monday,'00:50:09.648000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,App Installed,system,2026-01-12 00:50:09.748000+05:30,2026-01-12,Monday,'00:50:09.748000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,Journey Started,system,2026-01-12 00:50:09.948000+05:30,2026-01-12,Monday,'00:50:09.948000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,app_start,application,2026-01-12 00:50:10.901000+05:30,2026-01-12,Monday,'00:50:10.901000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,choose_language,application,2026-01-12 00:50:18.797000+05:30,2026-01-12,Monday,'00:50:18.797000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,Onboarding_Language,application,2026-01-12 00:50:18.853000+05:30,2026-01-12,Monday,'00:50:18.853000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,generate_otp,application,2026-01-12 00:50:38.898000+05:30,2026-01-12,Monday,'00:50:38.898000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,Onboarding_get_otp,application,2026-01-12 00:50:38.930000+05:30,2026-01-12,Monday,'00:50:38.930000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,_auth_generate-otp,application,2026-01-12 00:50:40.090000+05:30,2026-01-12,Monday,'00:50:40.090000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,get_otp,application,2026-01-12 00:50:40.103000+05:30,2026-01-12,Monday,'00:50:40.103000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,Onboarding_signup_,application,2026-01-12 00:50:40.153000+05:30,2026-01-12,Monday,'00:50:40.153000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,verify_otp,application,2026-01-12 00:50:57.739000+05:30,2026-01-12,Monday,'00:50:57.739000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,_auth_verify-otp,application,2026-01-12 00:50:58+05:30,2026-01-12,Monday,'00:50:58.000000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,enter_otp,application,2026-01-12 00:50:58.033000+05:30,2026-01-12,Monday,'00:50:58.033000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,User Login,system,2026-01-12 00:50:58.112000+05:30,2026-01-12,Monday,'00:50:58.112000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,login,application,2026-01-12 00:51:58.680000+05:30,2026-01-12,Monday,'00:51:58.680000
b08b5ee0-7bd4-4e50-a6e7-dbda0f0039d4,_user,application,2026-01-12 00:51:58.694000+05:30,2026-01-12,Monday,'00:51:58.694000
