user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,DeviceInfo,application,2026-01-12 17:08:31.672000+05:30,2026-01-12,Monday,'17:08:31.672000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,Session Started,system,2026-01-12 17:08:34.393000+05:30,2026-01-12,Monday,'17:08:34.393000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,App Installed,system,2026-01-12 17:08:34.483000+05:30,2026-01-12,Monday,'17:08:34.483000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,Journey Started,system,2026-01-12 17:08:36.092000+05:30,2026-01-12,Monday,'17:08:36.092000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,Push Subscribe Process - Device Registered (Push),system,2026-01-12 17:08:42.878000+05:30,2026-01-12,Monday,'17:08:42.878000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,app_start,application,2026-01-12 17:08:44.536000+05:30,2026-01-12,Monday,'17:08:44.536000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,choose_language,application,2026-01-12 17:08:51.605000+05:30,2026-01-12,Monday,'17:08:51.605000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,Onboarding_Language,application,2026-01-12 17:08:51.614000+05:30,2026-01-12,Monday,'17:08:51.614000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,generate_otp,application,2026-01-12 17:08:57.814000+05:30,2026-01-12,Monday,'17:08:57.814000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,Onboarding_get_otp,application,2026-01-12 17:08:57.852000+05:30,2026-01-12,Monday,'17:08:57.852000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,_auth_generate-otp,application,2026-01-12 17:08:59.359000+05:30,2026-01-12,Monday,'17:08:59.359000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,get_otp,application,2026-01-12 17:08:59.378000+05:30,2026-01-12,Monday,'17:08:59.378000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,Onboarding_signup_,application,2026-01-12 17:08:59.388000+05:30,2026-01-12,Monday,'17:08:59.388000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,Journey Ended,system,2026-01-12 17:08:59.751000+05:30,2026-01-12,Monday,'17:08:59.751000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,Journey Started,system,2026-01-12 17:08:59.751000+05:30,2026-01-12,Monday,'17:08:59.751000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,verify_otp,application,2026-01-12 17:09:10.025000+05:30,2026-01-12,Monday,'17:09:10.025000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,_auth_verify-otp,application,2026-01-12 17:09:10.334000+05:30,2026-01-12,Monday,'17:09:10.334000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,enter_otp,application,2026-01-12 17:09:10.388000+05:30,2026-01-12,Monday,'17:09:10.388000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,User Login,system,2026-01-12 17:09:10.432000+05:30,2026-01-12,Monday,'17:09:10.432000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,login,application,2026-01-12 17:09:11.332000+05:30,2026-01-12,Monday,'17:09:11.332000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,_user,application,2026-01-12 17:09:11.339000+05:30,2026-01-12,Monday,'17:09:11.339000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,_location_from-town,application,2026-01-12 17:09:11.705000+05:30,2026-01-12,Monday,'17:09:11.705000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,Onboarding_Profile Saved,application,2026-01-12 17:09:13.165000+05:30,2026-01-12,Monday,'17:09:13.165000
b3c32fd5-43b9-4e4a-af07-e3eb182d3739,_user,application,2026-01-12 17:09:16.663000+05:30,2026-01-12,Monday,'17:09:16.663000
