user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,DeviceInfo,application,2026-01-08 16:08:51.332000+05:30,2026-01-08,Thursday,'16:08:51.332000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,Session Started,system,2026-01-08 16:08:51.763000+05:30,2026-01-08,Thursday,'16:08:51.763000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,App Installed,system,2026-01-08 16:08:51.790000+05:30,2026-01-08,Thursday,'16:08:51.790000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,Journey Started,system,2026-01-08 16:08:52.126000+05:30,2026-01-08,Thursday,'16:08:52.126000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,app_start,application,2026-01-08 16:08:53.055000+05:30,2026-01-08,Thursday,'16:08:53.055000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,Push Subscribe Process - Device Registered (Push),system,2026-01-08 16:08:53.485000+05:30,2026-01-08,Thursday,'16:08:53.485000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,choose_language,application,2026-01-08 16:08:56.488000+05:30,2026-01-08,Thursday,'16:08:56.488000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,Onboarding_Language,application,2026-01-08 16:08:56.496000+05:30,2026-01-08,Thursday,'16:08:56.496000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,generate_otp,application,2026-01-08 16:09:11.996000+05:30,2026-01-08,Thursday,'16:09:11.996000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,Onboarding_get_otp,application,2026-01-08 16:09:12.010000+05:30,2026-01-08,Thursday,'16:09:12.010000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,Journey Started,system,2026-01-08 16:09:12.644000+05:30,2026-01-08,Thursday,'16:09:12.644000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,Journey Ended,system,2026-01-08 16:09:12.645000+05:30,2026-01-08,Thursday,'16:09:12.645000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,_auth_generate-otp,application,2026-01-08 16:09:13.840000+05:30,2026-01-08,Thursday,'16:09:13.840000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,get_otp,application,2026-01-08 16:09:13.852000+05:30,2026-01-08,Thursday,'16:09:13.852000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,Onboarding_signup_,application,2026-01-08 16:09:13.881000+05:30,2026-01-08,Thursday,'16:09:13.881000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,verify_otp,application,2026-01-08 16:09:15.908000+05:30,2026-01-08,Thursday,'16:09:15.908000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,_auth_verify-otp,application,2026-01-08 16:09:16.185000+05:30,2026-01-08,Thursday,'16:09:16.185000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,enter_otp,application,2026-01-08 16:09:16.198000+05:30,2026-01-08,Thursday,'16:09:16.198000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,User Login,system,2026-01-08 16:09:16.220000+05:30,2026-01-08,Thursday,'16:09:16.220000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,login,application,2026-01-08 16:09:16.592000+05:30,2026-01-08,Thursday,'16:09:16.592000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,_user,application,2026-01-08 16:09:16.599000+05:30,2026-01-08,Thursday,'16:09:16.599000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,_location_from-town,application,2026-01-08 16:09:17.044000+05:30,2026-01-08,Thursday,'16:09:17.044000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,_user,application,2026-01-08 16:09:18.238000+05:30,2026-01-08,Thursday,'16:09:18.238000
c1fcf6e0-6b65-4e4c-89ee-e61fdd48c76a,_location_from-town,application,2026-01-08 16:09:18.505000+05:30,2026-01-08,Thursday,'16:09:18.505000
