user_uuid,event_name,category,event_time,event_date,event_day,event_time_only
e150618b-7795-4263-9f2d-9bf91c4a909b,DeviceInfo,application,2026-01-09 19:24:25.684000+05:30,2026-01-09,Friday,'19:24:25.684000
e150618b-7795-4263-9f2d-9bf91c4a909b,Session Started,system,2026-01-09 19:24:26.205000+05:30,2026-01-09,Friday,'19:24:26.205000
e150618b-7795-4263-9f2d-9bf91c4a909b,App Installed,system,2026-01-09 19:24:26.390000+05:30,2026-01-09,Friday,'19:24:26.390000
e150618b-7795-4263-9f2d-9bf91c4a909b,app_start,application,2026-01-09 19:24:26.527000+05:30,2026-01-09,Friday,'19:24:26.527000
e150618b-7795-4263-9f2d-9bf91c4a909b,Journey Started,system,2026-01-09 19:24:27.299000+05:30,2026-01-09,Friday,'19:24:27.299000
e150618b-7795-4263-9f2d-9bf91c4a909b,choose_language,application,2026-01-09 19:24:40.242000+05:30,2026-01-09,Friday,'19:24:40.242000
e150618b-7795-4263-9f2d-9bf91c4a909b,Onboarding_Language,application,2026-01-09 19:24:40.285000+05:30,2026-01-09,Friday,'19:24:40.285000
e150618b-7795-4263-9f2d-9bf91c4a909b,generate_otp,application,2026-01-09 19:24:48.375000+05:30,2026-01-09,Friday,'19:24:48.375000
e150618b-7795-4263-9f2d-9bf91c4a909b,Onboarding_get_otp,application,2026-01-09 19:24:48.426000+05:30,2026-01-09,Friday,'19:24:48.426000
e150618b-7795-4263-9f2d-9bf91c4a909b,Journey Ended,system,2026-01-09 19:24:49.605000+05:30,2026-01-09,Friday,'19:24:49.605000
e150618b-7795-4263-9f2d-9bf91c4a909b,Journey Started,system,2026-01-09 19:24:49.605000+05:30,2026-01-09,Friday,'19:24:49.605000
e150618b-7795-4263-9f2d-9bf91c4a909b,_auth_generate-otp,application,2026-01-09 19:24:50.004000+05:30,2026-01-09,Friday,'19:24:50.004000
e150618b-7795-4263-9f2d-9bf91c4a909b,get_otp,application,2026-01-09 19:24:50.018000+05:30,2026-01-09,Friday,'19:24:50.018000
e150618b-7795-4263-9f2d-9bf91c4a909b,Onboarding_signup_,application,2026-01-09 19:24:50.082000+05:30,2026-01-09,Friday,'19:24:50.082000
e150618b-7795-4263-9f2d-9bf91c4a909b,verify_otp,application,2026-01-09 19:25:00.096000+05:30,2026-01-09,Friday,'19:25:00.096000
e150618b-7795-4263-9f2d-9bf91c4a909b,_auth_verify-otp,application,2026-01-09 19:25:00.455000+05:30,2026-01-09,Friday,'19:25:00.455000
e150618b-7795-4263-9f2d-9bf91c4a909b,enter_otp,application,2026-01-09 19:25:00.484000+05:30,2026-01-09,Friday,'19:25:00.484000
e150618b-7795-4263-9f2d-9bf91c4a909b,User Login,system,2026-01-09 19:25:00.554000+05:30,2026-01-09,Friday,'19:25:00.554000
e150618b-7795-4263-9f2d-9bf91c4a909b,login,application,2026-01-09 19:25:00.757000+05:30,2026-01-09,Friday,'19:25:00.757000
e150618b-7795-4263-9f2d-9bf91c4a909b,_user,application,2026-01-09 19:25:00.762000+05:30,2026-01-09,Friday,'19:25:00.762000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_from-town,application,2026-01-09 19:25:01.556000+05:30,2026-01-09,Friday,'19:25:01.556000
e150618b-7795-4263-9f2d-9bf91c4a909b,Onboarding_Profile Saved,application,2026-01-09 19:25:06.001000+05:30,2026-01-09,Friday,'19:25:06.001000
e150618b-7795-4263-9f2d-9bf91c4a909b,_user,application,2026-01-09 19:25:20.873000+05:30,2026-01-09,Friday,'19:25:20.873000
e150618b-7795-4263-9f2d-9bf91c4a909b,_user,application,2026-01-09 19:25:24.287000+05:30,2026-01-09,Friday,'19:25:24.287000
e150618b-7795-4263-9f2d-9bf91c4a909b,_history_recommended-journey,application,2026-01-09 19:25:24.475000+05:30,2026-01-09,Friday,'19:25:24.475000
e150618b-7795-4263-9f2d-9bf91c4a909b,_user_device,application,2026-01-09 19:25:24.520000+05:30,2026-01-09,Friday,'19:25:24.520000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_from-town,application,2026-01-09 19:25:24.823000+05:30,2026-01-09,Friday,'19:25:24.823000
e150618b-7795-4263-9f2d-9bf91c4a909b,_user,application,2026-01-09 19:25:24.887000+05:30,2026-01-09,Friday,'19:25:24.887000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_special-town-search,application,2026-01-09 19:25:25.001000+05:30,2026-01-09,Friday,'19:25:25.001000
e150618b-7795-4263-9f2d-9bf91c4a909b,_ticket,application,2026-01-09 19:25:25.038000+05:30,2026-01-09,Friday,'19:25:25.038000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_special-town-search,application,2026-01-09 19:25:25.707000+05:30,2026-01-09,Friday,'19:25:25.707000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:25.830000+05:30,2026-01-09,Friday,'19:25:25.830000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:31.551000+05:30,2026-01-09,Friday,'19:25:31.551000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:31.721000+05:30,2026-01-09,Friday,'19:25:31.721000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:32.466000+05:30,2026-01-09,Friday,'19:25:32.466000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:32.743000+05:30,2026-01-09,Friday,'19:25:32.743000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:34.404000+05:30,2026-01-09,Friday,'19:25:34.404000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:34.657000+05:30,2026-01-09,Friday,'19:25:34.657000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_special-town-search,application,2026-01-09 19:25:37.630000+05:30,2026-01-09,Friday,'19:25:37.630000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:39.319000+05:30,2026-01-09,Friday,'19:25:39.319000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:39.582000+05:30,2026-01-09,Friday,'19:25:39.582000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:39.739000+05:30,2026-01-09,Friday,'19:25:39.739000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:40.019000+05:30,2026-01-09,Friday,'19:25:40.019000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:40.329000+05:30,2026-01-09,Friday,'19:25:40.329000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:40.595000+05:30,2026-01-09,Friday,'19:25:40.595000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:42.059000+05:30,2026-01-09,Friday,'19:25:42.059000
e150618b-7795-4263-9f2d-9bf91c4a909b,_location_elastic-town-search,application,2026-01-09 19:25:42.328000+05:30,2026-01-09,Friday,'19:25:42.328000
e150618b-7795-4263-9f2d-9bf91c4a909b,Buslist_date change,application,2026-01-09 19:25:51.160000+05:30,2026-01-09,Friday,'19:25:51.160000
e150618b-7795-4263-9f2d-9bf91c4a909b,_user,application,2026-01-09 19:25:51.748000+05:30,2026-01-09,Friday,'19:25:51.748000
e150618b-7795-4263-9f2d-9bf91c4a909b,pageview_bus_list,application,2026-01-09 19:25:51.771000+05:30,2026-01-09,Friday,'19:25:51.771000
e150618b-7795-4263-9f2d-9bf91c4a909b,_bus-search_user-bus-search,application,2026-01-09 19:25:51.778000+05:30,2026-01-09,Friday,'19:25:51.778000
e150618b-7795-4263-9f2d-9bf91c4a909b,_bus-search_list,application,2026-01-09 19:26:05.395000+05:30,2026-01-09,Friday,'19:26:05.395000
e150618b-7795-4263-9f2d-9bf91c4a909b,_rewards_best-V2,application,2026-01-09 19:26:07.205000+05:30,2026-01-09,Friday,'19:26:07.205000
e150618b-7795-4263-9f2d-9bf91c4a909b,Buslist_date change,application,2026-01-09 19:26:07.230000+05:30,2026-01-09,Friday,'19:26:07.230000
e150618b-7795-4263-9f2d-9bf91c4a909b,bus_search,application,2026-01-09 19:26:07.934000+05:30,2026-01-09,Friday,'19:26:07.934000
e150618b-7795-4263-9f2d-9bf91c4a909b,bus_result,application,2026-01-09 19:26:07.939000+05:30,2026-01-09,Friday,'19:26:07.939000
e150618b-7795-4263-9f2d-9bf91c4a909b,Journey Started,system,2026-01-09 19:26:12.528000+05:30,2026-01-09,Friday,'19:26:12.528000
e150618b-7795-4263-9f2d-9bf91c4a909b,Buslist_bus_selection,application,2026-01-09 19:28:06.318000+05:30,2026-01-09,Friday,'19:28:06.318000
e150618b-7795-4263-9f2d-9bf91c4a909b,bus_detail,application,2026-01-09 19:28:06.455000+05:30,2026-01-09,Friday,'19:28:06.455000
e150618b-7795-4263-9f2d-9bf91c4a909b,pageview_seat_selection,application,2026-01-09 19:28:06.463000+05:30,2026-01-09,Friday,'19:28:06.463000
e150618b-7795-4263-9f2d-9bf91c4a909b,SeatSelection_Click On Back,application,2026-01-09 19:28:06.499000+05:30,2026-01-09,Friday,'19:28:06.499000
e150618b-7795-4263-9f2d-9bf91c4a909b,_bus-search_v2_layout,application,2026-01-09 19:28:06.878000+05:30,2026-01-09,Friday,'19:28:06.878000
e150618b-7795-4263-9f2d-9bf91c4a909b,Journey Ended,system,2026-01-09 19:28:07.337000+05:30,2026-01-09,Friday,'19:28:07.337000
e150618b-7795-4263-9f2d-9bf91c4a909b,Journey Started,system,2026-01-09 19:28:07.339000+05:30,2026-01-09,Friday,'19:28:07.339000
e150618b-7795-4263-9f2d-9bf91c4a909b,_profile,application,2026-01-09 19:28:07.544000+05:30,2026-01-09,Friday,'19:28:07.544000
